step,phase,m,loss,train_mse,val_mse,val_ssim,grad_norm_illum,grad_norm_upsampler,grad_norm_recon,H_t_min,H_t_max,H_t_mean,H_t_std,H_t_binary_fraction,illum_l2,illum_delta
100,inverse_warmup,1.0,0.021594204008579254,0.002927972935140133,0.004607772920280695,0.8763507604598999,0.0,0.007681576926124256,0.2340992001846652,0.010045974515378475,0.990330696105957,0.4999280571937561,0.20856866240501404,0.028331756591796875,131365.10976663476,0.0
200,inverse_warmup,1.0,0.018352195620536804,0.002035378245636821,0.004905892536044121,0.8750584721565247,0.0,0.026364115390900944,0.24295735735064844,0.010045974515378475,0.990330696105957,0.4999280571937561,0.20856866240501404,0.028331756591796875,131365.10976663476,0.0
300,inverse_warmup,1.0,0.01581990346312523,0.0013929065316915512,0.004623760003596544,0.8815165162086487,0.0,0.04017363278747926,0.15373082743086464,0.010045974515378475,0.990330696105957,0.4999280571937561,0.20856866240501404,0.028331756591796875,131365.10976663476,0.0
400,inverse_warmup,1.0,0.01472032442688942,0.0010673173237591982,0.004704081453382969,0.8795322179794312,0.0,0.0451875186364761,0.2445952020563217,0.010045974515378475,0.990330696105957,0.4999280571937561,0.20856866240501404,0.028331756591796875,131365.10976663476,0.0
500,inverse_warmup,1.0,0.013692888431251049,0.000833644880913198,0.004805423319339752,0.8789897561073303,0.0,0.04760134844054683,0.3305247932192115,0.010045974515378475,0.990330696105957,0.4999280571937561,0.20856866240501404,0.028331756591796875,131365.10976663476,0.0
600,inverse_warmup,1.0,0.012957068160176277,0.0006899917498230934,0.004929187707602978,0.8763899803161621,0.0,0.04951838275623098,0.1693017065272589,0.010045974515378475,0.990330696105957,0.4999280571937561,0.20856866240501404,0.028331756591796875,131365.10976663476,0.0
700,joint_soft,1.0,0.012510307133197784,0.0005950296763330698,0.004820290021598339,0.8788020014762878,7.416640528390417e-07,0.07046067824192552,0.3511574772997468,0.010051457211375237,0.9903254508972168,0.49992334842681885,0.20858383178710938,0.028308868408203125,131374.74411773367,9.634351098909974
800,joint_soft,1.0,0.011709846556186676,0.0004906905232928693,0.004821646027266979,0.8782886266708374,5.899416919419309e-07,0.06650566910736273,0.2430978024393908,0.010055671446025372,0.9903215765953064,0.49991628527641296,0.20860351622104645,0.028289794921875,131386.93414491412,21.824378279357916
900,joint_soft,1.0,0.011572062969207764,0.00047383212950080633,0.004697815049439669,0.8797134160995483,7.781476938362175e-07,0.08344319096907361,0.2823363345308683,0.010059175081551075,0.990321695804596,0.49990904331207275,0.20862583816051483,0.02831268310546875,131400.8141222877,35.70435565293883
1000,joint_soft,1.0,0.010917391628026962,0.0003932401305064559,0.00478147529065609,0.8795374631881714,6.190849148879352e-07,0.07713487161718412,0.2743116510923243,0.010061759501695633,0.9903249740600586,0.4999023973941803,0.20864801108837128,0.02829742431640625,131414.53679102627,49.427024391508894
1100,joint_soft,1.0,0.010653764940798283,0.00036510679638013244,0.004766442812979221,0.8791177868843079,6.632158147112932e-07,0.07254931879603814,0.29059837226070084,0.01006273739039898,0.990329384803772,0.4998958706855774,0.2086702138185501,0.028270721435546875,131428.17232237538,63.06255574061652
1200,joint_soft,1.0,0.010222962126135826,0.00033402370172552764,0.00479863490909338,0.8779241442680359,5.584761311183684e-07,0.05281562848431666,0.29354342464809313,0.010062864981591702,0.9903340935707092,0.49989011883735657,0.2086906135082245,0.02828216552734375,131440.81703945698,75.70727282221196
1300,joint_soft,1.0,0.010068218223750591,0.000317276397254318,0.004701258614659309,0.8789412975311279,6.297166237345664e-07,0.06849462788869554,0.20588758404558413,0.010063696652650833,0.9903391003608704,0.4998841881752014,0.20871086418628693,0.028255462646484375,131453.44496056388,88.33519392911694
1400,joint_soft,1.0,0.00959097407758236,0.0002676883013918996,0.004663066938519478,0.8790711164474487,4.3013397998947767e-07,0.04524400162002869,0.13262939834769705,0.010065278969705105,0.9903438091278076,0.49987882375717163,0.20873042941093445,0.02826690673828125,131465.65884671174,100.54908007697668
1500,joint_soft,1.0,0.010045545175671577,0.0002863275585696101,0.004719526972621679,0.8783501982688904,7.810602937752265e-07,0.07277729347479457,0.35660961039571876,0.010065863840281963,0.9903489351272583,0.49987369775772095,0.20874907076358795,0.0282745361328125,131477.32641029783,112.21664366306504
1600,joint_soft,1.0,0.009580964222550392,0.00025729043409228325,0.004630245268344879,0.8797675967216492,6.35499475265533e-07,0.059869995402504754,0.22853127428180314,0.010067526251077652,0.9903539419174194,0.49986857175827026,0.2087673395872116,0.028289794921875,131488.83718399826,123.72741736349417
1700,joint_soft,1.0,0.009555771946907043,0.0002494501823093742,0.0046770162880420685,0.8787543177604675,7.514794901908317e-07,0.06541326902266828,0.3184803444338441,0.010068586096167564,0.9903580546379089,0.49986401200294495,0.2087840884923935,0.02829742431640625,131499.31905527116,134.2092886363971
1800,joint_soft,1.0,0.009032409638166428,0.0002172577369492501,0.0046096425503492355,0.8783339262008667,4.944297415931942e-07,0.05570693452657775,0.17048687593207157,0.010069483891129494,0.9903620481491089,0.4998592436313629,0.2088005393743515,0.0283050537109375,131509.67550716564,144.56574053087388
