step,phase,m,loss,train_mse,val_mse,val_ssim,grad_norm_illum,grad_norm_upsampler,grad_norm_recon,H_t_min,H_t_max,H_t_mean,H_t_std,H_t_binary_fraction,illum_l2,illum_delta
100,inverse_warmup,1.0,0.008454159833490849,0.0004211569903418422,0.012526566162705421,0.792244553565979,0.0,0.01146271824836731,0.05575731249690179,0.010045974515378475,0.990330696105957,0.4999280571937561,0.20856866240501404,0.028331756591796875,131365.10976663476,0.0
200,inverse_warmup,1.0,0.0030482402071356773,0.0001523116952739656,0.032374124974012375,0.6760625839233398,0.0,0.02371051348745823,0.1652260129368676,0.010045974515378475,0.990330696105957,0.4999280571937561,0.20856866240501404,0.028331756591796875,131365.10976663476,0.0
300,inverse_warmup,1.0,0.00296969641931355,0.00012989537208341062,0.033819980919361115,0.6774258613586426,0.0,0.02136659063398838,0.4593385622444526,0.010045974515378475,0.990330696105957,0.4999280571937561,0.20856866240501404,0.028331756591796875,131365.10976663476,0.0
400,inverse_warmup,1.0,0.00218600663356483,0.00011190576333319768,0.0323309525847435,0.6804593205451965,0.0,0.01919645629823208,0.2506585016626971,0.010045974515378475,0.990330696105957,0.4999280571937561,0.20856866240501404,0.028331756591796875,131365.10976663476,0.0
500,inverse_warmup,1.0,0.002076223958283663,9.278265497414395e-05,0.031451206654310226,0.6826103925704956,0.0,0.019743945449590683,0.2938014134672896,0.010045974515378475,0.990330696105957,0.4999280571937561,0.20856866240501404,0.028331756591796875,131365.10976663476,0.0
600,inverse_warmup,1.0,0.0016894349828362465,4.60437877336517e-05,0.03104444593191147,0.6798804402351379,0.0,0.01577807031571865,0.2541975613356391,0.010045974515378475,0.990330696105957,0.4999280571937561,0.20856866240501404,0.028331756591796875,131365.10976663476,0.0
700,joint_soft,1.0,0.002306947484612465,5.0743074098136276e-05,0.030163530260324478,0.6810410022735596,2.694320073715062e-07,0.01777896285057068,0.40220878164631607,0.010045480914413929,0.9903309345245361,0.49992507696151733,0.20856890082359314,0.028331756591796875,131365.2656679078,0.15590127304312773
800,joint_soft,1.0,0.0017188226338475943,4.1278348362538964e-05,0.029420267790555954,0.6818201541900635,2.9536496981563687e-07,0.018179770559072495,0.3326942945799195,0.010045505128800869,0.9903309345245361,0.4999237656593323,0.20856887102127075,0.028331756591796875,131365.25787284857,0.14810621380456723
900,joint_soft,1.0,0.001452566240914166,3.748020753846504e-05,0.029637306928634644,0.6830267310142517,2.9059589223834337e-07,0.01649520732462406,0.15270083055516218,0.010045480914413929,0.9903309345245361,0.49992257356643677,0.20856881141662598,0.028331756591796875,131365.21889754533,0.10913091056863777
1000,joint_soft,1.0,0.001446517650038004,3.473464312264696e-05,0.03022739663720131,0.6829715371131897,2.1036152020315058e-07,0.013513966463506222,0.19716945555888413,0.010045509785413742,0.9903309345245361,0.49992117285728455,0.2085687518119812,0.028331756591796875,131365.17992223054,0.07015559577848762
