step,phase,m,loss,train_mse,val_mse,val_ssim,grad_norm_illum,grad_norm_upsampler,grad_norm_recon,H_t_min,H_t_max,H_t_mean,H_t_std,H_t_binary_fraction,illum_l2,illum_delta
200,inverse_warmup,1.0,0.10342898219823837,0.059480421245098114,0.06679585576057434,0.5824973980585734,0.0,0.12108521479552888,0.7561131158935128,0.010045974515378475,0.990330696105957,0.4999280571937561,0.20856866240501404,0.028331756591796875,131365.10976663476,0.0
400,inverse_warmup,1.0,0.08931376039981842,0.048452943563461304,0.051128839453061424,0.6201132088899612,0.0,0.11906938821834237,0.2384023965773132,0.010045974515378475,0.990330696105957,0.4999280571937561,0.20856866240501404,0.028331756591796875,131365.10976663476,0.0
600,inverse_warmup,1.0,0.08163776993751526,0.039310261607170105,0.04024624948700269,0.6763985802729925,0.0,0.2506315776247324,0.21778664201774295,0.010045974515378475,0.990330696105957,0.4999280571937561,0.20856866240501404,0.028331756591796875,131365.10976663476,0.0
800,inverse_warmup,1.0,0.07988345623016357,0.038103945553302765,0.03860986450066169,0.6872771133979162,0.0,0.07065236045125926,0.18428908511356987,0.010045974515378475,0.990330696105957,0.4999280571937561,0.20856866240501404,0.028331756591796875,131365.10976663476,0.0
1000,inverse_warmup,1.0,0.07970408350229263,0.03820649906992912,0.03890418199201425,0.6902947922547659,0.0,0.09259576466069347,0.13013928440866876,0.010045974515378475,0.990330696105957,0.4999280571937561,0.20856866240501404,0.028331756591796875,131365.10976663476,0.0
1200,inverse_warmup,1.0,0.07905706763267517,0.037943821400403976,0.03774666630973419,0.6915303369363149,0.0,0.20064407443055557,0.16833029951992745,0.010045974515378475,0.990330696105957,0.4999280571937561,0.20856866240501404,0.028331756591796875,131365.10976663476,0.0
1400,inverse_warmup,1.0,0.07768142223358154,0.03668263554573059,0.03710769861936569,0.6950141390164694,0.0,0.14914398500292614,0.1162315178830309,0.010045974515378475,0.990330696105957,0.4999280571937561,0.20856866240501404,0.028331756591796875,131365.10976663476,0.0
1600,joint_soft,1.0,0.07938997447490692,0.0380835086107254,0.03835875075310469,0.6892595142126083,1.8087682462919474e-07,0.06677682418827223,0.07521363791604524,0.010032543912529945,0.9903167486190796,0.499959260225296,0.20851798355579376,0.028301239013671875,131328.7329414245,36.376825210259994
1800,joint_soft,1.0,0.07977209240198135,0.03840567171573639,0.0371534734343489,0.6931424637635549,1.7822149800394982e-07,0.0604442267062328,0.09423134313799825,0.010002010501921177,0.9902868270874023,0.5000171661376953,0.20842225849628448,0.028232574462890625,131260.36464980585,104.7451168289117
2000,joint_soft,1.0,0.07553742825984955,0.03573299199342728,0.036435700642565884,0.6984475255012512,1.6534792735001247e-07,0.07964738177630945,0.0926338757324985,0.00996255874633789,0.9902510643005371,0.5000693202018738,0.20833471417427063,0.028179168701171875,131197.08094313685,168.0288234979089
2200,joint_soft,1.0,0.07668006420135498,0.036686304956674576,0.03757398327191671,0.6937492440144221,1.883877303043846e-07,0.14718912653121324,0.12971284394539048,0.009907783940434456,0.9902042150497437,0.5001170635223389,0.2082536816596985,0.028171539306640625,131137.37432173942,227.73544489534106
2400,joint_soft,1.0,0.0768083781003952,0.037043146789073944,0.03666153612236182,0.6980834205945333,2.5057244101844844e-07,0.11900299306081184,0.23096404675735802,0.009827963076531887,0.9901387691497803,0.5001567602157593,0.208176389336586,0.028125762939453125,131078.55452361383,286.55524302093545
2600,joint_soft,1.0,0.07589899003505707,0.03630942106246948,0.03567934160431226,0.706689715385437,3.412005469272117e-07,0.19800010396076057,0.13040751623759553,0.009707807563245296,0.9900431632995605,0.5001851320266724,0.20809313654899597,0.028079986572265625,131011.93154823723,353.17821839753015
2800,joint_soft,1.0,0.07405093312263489,0.03469675034284592,0.035225095227360725,0.712317481637001,5.627593395729491e-07,0.26402319748419667,0.15470045539265537,0.009530309587717056,0.9899069666862488,0.5001986026763916,0.20797500014305115,0.027984619140625,130914.78070867322,450.3290579615423
3000,joint_soft,1.0,0.07188582420349121,0.03306867927312851,0.033656880259513855,0.7181878437598547,9.251274377675145e-07,0.09399116885078435,0.08481206707305658,0.009275568649172783,0.9897163510322571,0.5002002716064453,0.20774270594120026,0.02787017822265625,130730.2419488314,634.8678178033588
3200,joint_soft,1.0,0.06711242347955704,0.030193686485290527,0.030193079728633165,0.7468262364466985,1.508002242189832e-06,0.10093039217123811,0.09399480811791426,0.008956605568528175,0.9895310401916504,0.500192403793335,0.20729149878025055,0.02754974365234375,130399.06944453246,966.0403221023007
3400,joint_soft,1.0,0.060875095427036285,0.025980345904827118,0.02567957031230132,0.7785889655351639,1.769923414940422e-06,0.19166232089772614,0.12939116485140256,0.008616524748504162,0.9901944994926453,0.500188946723938,0.20668372511863708,0.027339935302734375,129990.13279476254,1374.9769718722237
