step,phase,m,loss,train_mse,val_mse,val_ssim,grad_norm_illum,grad_norm_upsampler,grad_norm_recon,H_t_min,H_t_max,H_t_mean,H_t_std,H_t_binary_fraction,illum_l2,illum_delta
200,inverse_warmup,1.0,0.09839661419391632,0.05362800508737564,0.055474119571348034,0.5327832599480947,0.0,0.01491058524698019,0.27399745460765246,0.011310596950352192,0.9884657859802246,0.4999101758003235,0.2083292007446289,0.027744293212890625,131045.45043609869,0.0
400,inverse_warmup,1.0,0.0840100646018982,0.04100695997476578,0.040594870845476784,0.6578560570875803,0.0,0.02222132869064808,0.241638378786646,0.011310596950352192,0.9884657859802246,0.4999101758003235,0.2083292007446289,0.027744293212890625,131045.45043609869,0.0
600,inverse_warmup,1.0,0.0748080164194107,0.03433486446738243,0.036572826094925404,0.7038658708333969,0.0,0.031179048120975494,0.07517572493565788,0.011310596950352192,0.9884657859802246,0.4999101758003235,0.2083292007446289,0.027744293212890625,131045.45043609869,0.0
800,inverse_warmup,1.0,0.06969127058982849,0.031225383281707764,0.03203919778267542,0.721497173110644,0.0,0.034550830721855164,0.23918940962834276,0.011310596950352192,0.9884657859802246,0.4999101758003235,0.2083292007446289,0.027744293212890625,131045.45043609869,0.0
1000,inverse_warmup,1.0,0.06655822694301605,0.02949686348438263,0.03138930940379699,0.7383447488149008,0.0,0.037251222878694534,0.21919174109345993,0.011310596950352192,0.9884657859802246,0.4999101758003235,0.2083292007446289,0.027744293212890625,131045.45043609869,0.0
1200,inverse_warmup,1.0,0.06550320982933044,0.02910802885890007,0.029428054112941027,0.7458288272221884,0.0,0.03634479641914368,0.34740572801593234,0.011310596950352192,0.9884657859802246,0.4999101758003235,0.2083292007446289,0.027744293212890625,131045.45043609869,0.0
1400,inverse_warmup,1.0,0.06264269351959229,0.027110138908028603,0.02820506164183219,0.7534012993176779,0.0,0.03530598804354668,0.16344582836574972,0.011310596950352192,0.9884657859802246,0.4999101758003235,0.2083292007446289,0.027744293212890625,131045.45043609869,0.0
1600,joint_soft,1.0,0.06013237312436104,0.025654008612036705,0.025863624333093565,0.7746649384498596,1.4648749129264615e-06,0.03602434694766998,0.13852222143230886,0.011406772769987583,0.9881533980369568,0.4998027980327606,0.20853391289710999,0.027721405029296875,131166.6142888502,121.16385275150242
1800,joint_soft,1.0,0.053365256637334824,0.021469179540872574,0.021787235358109076,0.8016062378883362,1.3165788459446048e-06,0.03303726017475128,0.14704022646990833,0.011526193469762802,0.9877277612686157,0.49959635734558105,0.2089977115392685,0.027736663818359375,131433.49369167662,388.0432555779262
2000,joint_soft,1.0,0.05047231912612915,0.019208241254091263,0.019625069107860327,0.82011845211188,1.2727404055112856e-06,0.03192535787820816,0.3500233939595818,0.011579015292227268,0.9874647855758667,0.4994022250175476,0.20948611199855804,0.0276336669921875,131712.90184336537,667.4514072666789
