step,phase,m,loss,train_mse,val_mse,val_ssim,grad_norm_illum,grad_norm_upsampler,grad_norm_recon,H_t_min,H_t_max,H_t_mean,H_t_std,H_t_binary_fraction,illum_l2,illum_delta
200,inverse_warmup,1.0,0.033736880868673325,0.006403256207704544,0.004712752532213926,0.8699172139167786,0.0,0.009320417070825164,0.19144334864432427,1.1581602133392859e-20,1.0,0.500187873840332,0.4591268301010132,0.8265228271484375,0.0,0.0
400,inverse_warmup,1.0,0.02743736281991005,0.004617748782038689,0.005036571528762579,0.8338937163352966,0.0,0.01190143286719272,0.150701580274581,1.1581602133392859e-20,1.0,0.500187873840332,0.4591268301010132,0.8265228271484375,0.0,0.0
600,inverse_warmup,1.0,0.03949502483010292,0.00673522287979722,0.00426388718187809,0.8672025799751282,0.0,0.024323669745659606,0.2993179780977804,1.1581602133392859e-20,1.0,0.500187873840332,0.4591268301010132,0.8265228271484375,0.0,0.0
800,inverse_warmup,1.0,0.028948292136192322,0.004842989146709442,0.00378655968233943,0.8759579658508301,0.0,0.03034512206325385,0.1759796710331021,1.1581602133392859e-20,1.0,0.500187873840332,0.4591268301010132,0.8265228271484375,0.0,0.0
1000,inverse_warmup,1.0,0.025050077587366104,0.003945493139326572,0.004195317160338163,0.8761718273162842,0.0,0.024885114472022126,0.08186348008517458,1.1581602133392859e-20,1.0,0.500187873840332,0.4591268301010132,0.8265228271484375,0.0,0.0
1200,inverse_warmup,1.0,0.03660522401332855,0.005960241891443729,0.003714954247698188,0.8777089715003967,0.0,0.0562484582930047,0.30621064966351885,1.1581602133392859e-20,1.0,0.500187873840332,0.4591268301010132,0.8265228271484375,0.0,0.0
1400,inverse_warmup,1.0,0.027374695986509323,0.004051932133734226,0.004121697507798672,0.8688011169433594,0.0,0.029146270141526036,0.15015051718795594,1.1581602133392859e-20,1.0,0.500187873840332,0.4591268301010132,0.8265228271484375,0.0,0.0
1600,joint_soft,1.0,0.025663230568170547,0.0037973090074956417,0.00388025538995862,0.8650201559066772,0.0,0.02753054748077618,0.17044130837203764,1.1581602133392859e-20,1.0,0.500187873840332,0.4591268301010132,0.8265228271484375,0.0,0.0
1800,joint_soft,1.0,0.03227346017956734,0.0049647181294858456,0.003879477735608816,0.8708909749984741,0.0,0.0758262824491383,0.26511903866950526,1.1581602133392859e-20,1.0,0.500187873840332,0.4591268301010132,0.8265228271484375,0.0,0.0
2000,joint_soft,1.0,0.024842575192451477,0.003697380656376481,0.0034760350827127695,0.8813347816467285,0.0,0.012678029130971073,0.06077889813335554,1.1581602133392859e-20,1.0,0.500187873840332,0.4591268301010132,0.8265228271484375,0.0,0.0
2200,joint_soft,1.0,0.024286840111017227,0.003702270332723856,0.0035428889095783234,0.8820434212684631,0.0,0.016217650615938023,0.07680167744929503,1.1581602133392859e-20,1.0,0.500187873840332,0.4591268301010132,0.8265228271484375,0.0,0.0
2400,joint_soft,1.0,0.02773832157254219,0.004342092201113701,0.003611691063269973,0.8801248073577881,0.0,0.0779922734413606,0.1432890538523883,1.1581602133392859e-20,1.0,0.500187873840332,0.4591268301010132,0.8265228271484375,0.0,0.0
2600,joint_soft,1.0,0.025343168526887894,0.0038384203799068928,0.004475932102650404,0.8743287920951843,0.0,0.01684487812367574,0.08849778470976008,1.1581602133392859e-20,1.0,0.500187873840332,0.4591268301010132,0.8265228271484375,0.0,0.0
2800,joint_soft,1.0,0.023878738284111023,0.003620762377977371,0.0033638435415923595,0.8824264407157898,0.0,0.013277686836732158,0.0568337431977949,1.1581602133392859e-20,1.0,0.500187873840332,0.4591268301010132,0.8265228271484375,0.0,0.0
3000,joint_soft,1.0,0.02651231549680233,0.004026141948997974,0.0035624795127660036,0.8755531311035156,0.0,0.015035527705921254,0.06227676291683489,1.1581602133392859e-20,1.0,0.500187873840332,0.4591268301010132,0.8265228271484375,0.0,0.0
3200,joint_soft,1.0,0.024916239082813263,0.003436695784330368,0.0034730867482721806,0.880577802658081,0.0,0.030828258396177432,0.12712423278373977,1.1581602133392859e-20,1.0,0.500187873840332,0.4591268301010132,0.8265228271484375,0.0,0.0
3400,joint_soft,1.0,0.023950086906552315,0.0036653000861406326,0.0038800793699920177,0.8800357580184937,0.0,0.015516676119795824,0.049604904640233635,1.1581602133392859e-20,1.0,0.500187873840332,0.4591268301010132,0.8265228271484375,0.0,0.0
3600,joint_soft,1.0,0.025706138461828232,0.0038384338840842247,0.00355707248672843,0.8827050924301147,0.0,0.015194808078875239,0.03699232506222836,1.1581602133392859e-20,1.0,0.500187873840332,0.4591268301010132,0.8265228271484375,0.0,0.0
3800,joint_soft,1.0,0.02393268793821335,0.003406668547540903,0.003450812306255102,0.8827999830245972,0.0,0.009250721834154466,0.0480165527687898,1.1581602133392859e-20,1.0,0.500187873840332,0.4591268301010132,0.8265228271484375,0.0,0.0
4000,joint_soft,1.0,0.023885561153292656,0.003687397576868534,0.00348323374055326,0.8823704719543457,0.0,0.01705337431385494,0.08761610779150235,1.1581602133392859e-20,1.0,0.500187873840332,0.4591268301010132,0.8265228271484375,0.0,0.0
4200,joint_soft,1.0,0.02505010925233364,0.003720569424331188,0.0034790835343301296,0.8821728229522705,0.0,0.015595045742540366,0.03629386639847274,1.1581602133392859e-20,1.0,0.500187873840332,0.4591268301010132,0.8265228271484375,0.0,0.0
4400,joint_soft,1.0,0.024503659456968307,0.0035161853302270174,0.0034122844226658344,0.8832837343215942,0.0,0.02500121178584623,0.07743781625029916,1.1581602133392859e-20,1.0,0.500187873840332,0.4591268301010132,0.8265228271484375,0.0,0.0
4600,joint_soft,1.0,0.023861192166805267,0.003664004150778055,0.0034393814858049154,0.8827345967292786,0.0,0.015022175471281141,0.09607664198285719,1.1581602133392859e-20,1.0,0.500187873840332,0.4591268301010132,0.8265228271484375,0.0,0.0
