step,phase,m,loss,train_mse,val_mse,val_ssim,grad_norm_illum,grad_norm_upsampler,grad_norm_recon,H_t_min,H_t_max,H_t_mean,H_t_std,H_t_binary_fraction,illum_l2,illum_delta
200,inverse_warmup,1.0,0.03376476839184761,0.006365288980305195,0.004353102762252092,0.8735801577568054,0.0,0.010526045335122972,0.27445785426902625,0.010045974515378475,0.990330696105957,0.4999280571937561,0.20856866240501404,0.028331756591796875,131365.10976663476,0.0
400,inverse_warmup,1.0,0.02527279406785965,0.004094159696251154,0.00399405462667346,0.8729762434959412,0.0,0.006097319143642525,0.07252981602830655,0.010045974515378475,0.990330696105957,0.4999280571937561,0.20856866240501404,0.028331756591796875,131365.10976663476,0.0
600,inverse_warmup,1.0,0.038533229380846024,0.006616123951971531,0.0040637049823999405,0.8748931288719177,0.0,0.02039589568783199,0.301434212958178,0.010045974515378475,0.990330696105957,0.4999280571937561,0.20856866240501404,0.028331756591796875,131365.10976663476,0.0
800,inverse_warmup,1.0,0.027710996568202972,0.0041227200999855995,0.0033828825689852238,0.8789476752281189,0.0,0.01566965268104385,0.1702676863791618,0.010045974515378475,0.990330696105957,0.4999280571937561,0.20856866240501404,0.028331756591796875,131365.10976663476,0.0
1000,inverse_warmup,1.0,0.02332919090986252,0.003386013675481081,0.00328338285908103,0.8834706544876099,0.0,0.011151311522898867,0.06730700252186407,0.010045974515378475,0.990330696105957,0.4999280571937561,0.20856866240501404,0.028331756591796875,131365.10976663476,0.0
1200,inverse_warmup,1.0,0.03418198972940445,0.004738823510706425,0.0034256167709827423,0.8826491832733154,0.0,0.03263128950603807,0.2885355448019611,0.010045974515378475,0.990330696105957,0.4999280571937561,0.20856866240501404,0.028331756591796875,131365.10976663476,0.0
1400,inverse_warmup,1.0,0.02682877704501152,0.003970209509134293,0.0031892831902951,0.8711816668510437,0.0,0.030002130255252897,0.24056525961781516,0.010045974515378475,0.990330696105957,0.4999280571937561,0.20856866240501404,0.028331756591796875,131365.10976663476,0.0
1600,joint_soft,1.0,0.023612141609191895,0.003205682151019573,0.003245442407205701,0.8844694495201111,2.58262446095614e-07,0.030469654837781305,0.19162663913333508,0.01005548145622015,0.9903094172477722,0.4999580681324005,0.20851324498653412,0.0282745361328125,131326.5341048792,38.5756617555744
1800,joint_soft,1.0,0.025339312851428986,0.0036781493108719587,0.00313171255402267,0.8862611651420593,5.549066486310039e-07,0.016454488036311294,0.07623735237403954,0.010084320791065693,0.9902198910713196,0.4999966323375702,0.20844797790050507,0.028240203857421875,131280.225228326,84.88453830877552
2000,joint_soft,1.0,0.022718708962202072,0.003010406158864498,0.0028616704512387514,0.8874123096466064,1.4635013201313996e-07,0.012381680735202967,0.07233335015413184,0.010124598629772663,0.9901843070983887,0.5000314116477966,0.2083979845046997,0.028263092041015625,131245.1980683484,119.91169828636339
2200,joint_soft,1.0,0.021676769480109215,0.0029959864914417267,0.0028525555972009897,0.888096034526825,1.7968599763662496e-07,0.015018795457596363,0.04863977883637082,0.01016220636665821,0.9901763796806335,0.500053882598877,0.20836733281612396,0.028224945068359375,131223.03017382277,142.07959281199146
2400,joint_soft,1.0,0.02356855198740959,0.00330350361764431,0.0028586466796696186,0.8876250982284546,5.071933060207812e-07,0.014918584183565231,0.03581629420325017,0.010196125134825706,0.9901797771453857,0.5000711679458618,0.20834551751613617,0.028202056884765625,131207.0710289655,158.038737669267
2600,joint_soft,1.0,0.021896637976169586,0.002798339817672968,0.002786286175251007,0.8901156783103943,1.3432070034014032e-07,0.009330875070636414,0.04721290113781478,0.010232054628431797,0.9902068972587585,0.5000847578048706,0.20832796394824982,0.02816009521484375,131193.93546959403,171.17429704073584
2800,joint_soft,1.0,0.0218422282487154,0.002995886839926243,0.0030509070493280888,0.8860967755317688,2.1331165100946237e-07,0.02719959659475513,0.07644172035651164,0.01026453822851181,0.9902145862579346,0.5000978112220764,0.208313450217247,0.02812957763671875,131182.9998742215,182.10989241325296
3000,joint_soft,1.0,0.023234939202666283,0.003223181003704667,0.0030826954171061516,0.8849790096282959,3.9739845192343637e-07,0.014948404952938633,0.05153583781094267,0.01028041448444128,0.9902262687683105,0.5001059174537659,0.2083045393228531,0.028125762939453125,131175.70897083043,189.40079580433667
