step,phase,m,loss,train_mse,val_mse,val_ssim,grad_norm_illum,grad_norm_upsampler,grad_norm_recon,H_t_min,H_t_max,H_t_mean,H_t_std,H_t_binary_fraction,illum_l2,illum_delta
200,inverse_warmup,1.0,0.029498109593987465,0.004592681769281626,0.0061535220593214035,0.8061068654060364,0.0,0.013230950571596622,0.3676479207195664,0.010045974515378475,0.990330696105957,0.4999280571937561,0.20856866240501404,0.028331756591796875,131365.10976663476,0.0
400,inverse_warmup,1.0,0.026756364852190018,0.003952348604798317,0.00527524296194315,0.8373491168022156,0.0,0.013875671662390232,0.22726391395632378,0.010045974515378475,0.990330696105957,0.4999280571937561,0.20856866240501404,0.028331756591796875,131365.10976663476,0.0
600,inverse_warmup,1.0,0.016971871256828308,0.0016155424527823925,0.005209482274949551,0.8574778437614441,0.0,0.021949203684926033,0.15195089558319352,0.010045974515378475,0.990330696105957,0.4999280571937561,0.20856866240501404,0.028331756591796875,131365.10976663476,0.0
800,inverse_warmup,1.0,0.0226040817797184,0.0029842061921954155,0.005375799257308245,0.8639328479766846,0.0,0.014658727683126926,0.1416972299995401,0.010045974515378475,0.990330696105957,0.4999280571937561,0.20856866240501404,0.028331756591796875,131365.10976663476,0.0
1000,inverse_warmup,1.0,0.023667745292186737,0.002932255156338215,0.005081717390567064,0.8655826449394226,0.0,0.021912354975938797,0.12846431078468684,0.010045974515378475,0.990330696105957,0.4999280571937561,0.20856866240501404,0.028331756591796875,131365.10976663476,0.0
1200,inverse_warmup,1.0,0.01575068011879921,0.001305429614149034,0.005394332110881805,0.8650821447372437,0.0,0.01653156615793705,0.169621201062667,0.010045974515378475,0.990330696105957,0.4999280571937561,0.20856866240501404,0.028331756591796875,131365.10976663476,0.0
1400,inverse_warmup,1.0,0.021570920944213867,0.0025877756997942924,0.005130174104124308,0.8606249690055847,0.0,0.018550202250480652,0.13746315177365437,0.010045974515378475,0.990330696105957,0.4999280571937561,0.20856866240501404,0.028331756591796875,131365.10976663476,0.0
1600,joint_soft,1.0,0.022637126967310905,0.0025010337121784687,0.005825203377753496,0.8312452435493469,8.791406571617699e-07,0.02079177089035511,0.15735445605654866,0.010045557282865047,0.9903283715248108,0.4999268651008606,0.20858091115951538,0.02832794189453125,131373.78539115025,8.675624515482923
1800,joint_soft,1.0,0.014466742053627968,0.000999772921204567,0.005315396934747696,0.8646626472473145,4.945447926729685e-07,0.01853281445801258,0.12299541820249917,0.010047055780887604,0.9903296232223511,0.49990469217300415,0.20860469341278076,0.028350830078125,131390.4101218959,25.300355261133518
2000,joint_soft,1.0,0.02041524089872837,0.0023216232657432556,0.005079903174191713,0.8664236068725586,3.57446026555408e-07,0.012072806246578693,0.13705122022118624,0.010047833435237408,0.9903308153152466,0.499881386756897,0.20862984657287598,0.02835845947265625,131407.99123341017,42.88146677540499
2200,joint_soft,1.0,0.020811108872294426,0.0023024682886898518,0.005436968989670277,0.8432764410972595,1.75920092715387e-07,0.011163569055497646,0.07610157469133515,0.010048288851976395,0.9903319478034973,0.4998592138290405,0.20865711569786072,0.02834320068359375,131426.97245238512,61.86268575035501
2400,joint_soft,1.0,0.01426667533814907,0.0009461963782086968,0.005467692390084267,0.8611152172088623,2.694466161301534e-07,0.017962872982025146,0.09743699353779182,0.010048848576843739,0.9903326630592346,0.49983441829681396,0.20868587493896484,0.02834320068359375,131446.95587194097,81.84610530620557
2600,joint_soft,1.0,0.01889355108141899,0.0018729313742369413,0.006113313604146242,0.8250300288200378,6.502963856291899e-07,0.015182612463831902,0.10945510238324778,0.010049008764326572,0.9903334975242615,0.4998096823692322,0.20871612429618835,0.028369903564453125,131467.97997991755,102.87021328278934
2800,joint_soft,1.0,0.02129191905260086,0.0023958547972142696,0.00551819009706378,0.8500248193740845,3.801035290962318e-07,0.01372488122433424,0.12491568421314986,0.010048991069197655,0.9903334975242615,0.4997856020927429,0.20874790847301483,0.0283966064453125,131489.96640048243,124.85663384766667
3000,joint_soft,1.0,0.013786682859063148,0.0008560195565223694,0.005332631524652243,0.8631290197372437,2.542518586778897e-07,0.015084606595337391,0.14442520942382045,0.010049408301711082,0.990333616733551,0.4997616112232208,0.208780899643898,0.028385162353515625,131512.76671106878,147.65694443401298
3200,joint_soft,1.0,0.01910140924155712,0.0019740709103643894,0.005246974062174559,0.8621732592582703,5.380056791182142e-07,0.013256405480206013,0.13576273228963312,0.010049569420516491,0.9903343319892883,0.4997401833534241,0.20881472527980804,0.028400421142578125,131536.17808040493,171.0683137701708
3400,joint_soft,1.0,0.019825682044029236,0.0019903990905731916,0.005518679972738028,0.8616892695426941,3.5519269658834673e-07,0.01239838544279337,0.07153413068569718,0.010049820877611637,0.9903345704078674,0.4997177720069885,0.20884984731674194,0.028453826904296875,131560.46482131325,195.3550546784827
3600,joint_soft,1.0,0.01303298119455576,0.0007081612711772323,0.005493843927979469,0.8512323498725891,3.0107005954960187e-07,0.014923201873898506,0.1027694486789213,0.010049616917967796,0.9903344511985779,0.49969375133514404,0.2088860273361206,0.028446197509765625,131585.4007707542,220.2910041194409
