step,phase,m,loss,train_mse,val_mse,val_ssim,grad_norm_illum,grad_norm_upsampler,grad_norm_recon,H_t_min,H_t_max,H_t_mean,H_t_std,H_t_binary_fraction,illum_l2,illum_delta
200,inverse_warmup,1.0,0.02951090969145298,0.004966548644006252,0.00536793889477849,0.856082022190094,0.0,0.018295522779226303,0.08190635586076671,0.0055785286240279675,0.986409068107605,0.49952149391174316,0.2080632597208023,0.0278167724609375,511.2979806336027,0.0
400,inverse_warmup,1.0,0.02424309402704239,0.003531424328684807,0.004851684905588627,0.8690171241760254,0.0,0.011582494713366032,0.10131930609026081,0.0055785286240279675,0.986409068107605,0.49952149391174316,0.2080632597208023,0.0278167724609375,511.2979806336027,0.0
600,inverse_warmup,1.0,0.015926113352179527,0.001403400907292962,0.005489695817232132,0.7802988886833191,0.0,0.01753462851047516,0.12316161975396168,0.0055785286240279675,0.986409068107605,0.49952149391174316,0.2080632597208023,0.0278167724609375,511.2979806336027,0.0
800,inverse_warmup,1.0,0.025407295674085617,0.0033987017814069986,0.004791919142007828,0.8705520629882812,0.0,0.012674176134169102,0.137963878627439,0.0055785286240279675,0.986409068107605,0.49952149391174316,0.2080632597208023,0.0278167724609375,511.2979806336027,0.0
1000,inverse_warmup,1.0,0.021324533969163895,0.0025995189789682627,0.0048384880647063255,0.8706185817718506,0.0,0.011610183864831924,0.09515384152091044,0.0055785286240279675,0.986409068107605,0.49952149391174316,0.2080632597208023,0.0278167724609375,511.2979806336027,0.0
1200,inverse_warmup,1.0,0.014674831181764603,0.0010461544152349234,0.004925629124045372,0.8680726885795593,0.0,0.016174854710698128,0.16373828176371732,0.0055785286240279675,0.986409068107605,0.49952149391174316,0.2080632597208023,0.0278167724609375,511.2979806336027,0.0
1400,inverse_warmup,1.0,0.022470731288194656,0.0026582484133541584,0.004895135294646025,0.8705379366874695,0.0,0.012523084878921509,0.115870233621987,0.0055785286240279675,0.986409068107605,0.49952149391174316,0.2080632597208023,0.0278167724609375,511.2979806336027,0.0
1600,joint_soft,1.0,0.019553564488887787,0.0019335693214088678,0.004702304024249315,0.8593486547470093,8.268765668617561e-06,0.013247553259134293,0.12295866994910917,4.7008121327962726e-05,0.9999662637710571,0.6473596096038818,0.44581565260887146,0.9337120056152344,2249.8208817592567,1738.522901125654
1800,joint_soft,1.0,0.013246968388557434,0.0007415370782837272,0.004167070612311363,0.8762090802192688,4.111439011467155e-06,0.016703611239790916,0.11031441695004847,2.4582081096014008e-05,0.9999880790710449,0.6407039761543274,0.4660824239253998,0.9936943054199219,2518.9112727525753,2007.6132921189726
2000,joint_soft,1.0,0.019829463213682175,0.0019103072118014097,0.004211589228361845,0.8748874068260193,2.9313473532965872e-06,0.0153390197083354,0.09329984174900927,1.1342823427185067e-06,0.9999978542327881,0.63840651512146,0.47050705552101135,0.9966773986816406,2691.5293050606006,2180.231324426998
