step,phase,m,loss,train_mse,val_mse,val_ssim,grad_norm_illum,grad_norm_upsampler,grad_norm_recon,H_t_min,H_t_max,H_t_mean,H_t_std,H_t_binary_fraction,illum_l2,illum_delta
200,inverse_warmup,1.0,0.03224166855216026,0.006287986878305674,0.004420379176735878,0.8702536225318909,0.0,0.02021268801390718,0.20388482227161375,0.010045974515378475,0.990330696105957,0.4999280571937561,0.20856866240501404,0.028331756591796875,131365.10976663476,0.0
400,inverse_warmup,1.0,0.03310805931687355,0.006192121189087629,0.008038999512791634,0.8063936829566956,0.0,0.04469151403245241,0.26698886470010347,0.010045974515378475,0.990330696105957,0.4999280571937561,0.20856866240501404,0.028331756591796875,131365.10976663476,0.0
600,inverse_warmup,1.0,0.02878984808921814,0.004814988002181053,0.004021788481622934,0.871146559715271,0.0,0.04137626585799495,0.22477394495012903,0.010045974515378475,0.990330696105957,0.4999280571937561,0.20856866240501404,0.028331756591796875,131365.10976663476,0.0
800,inverse_warmup,1.0,0.02774033322930336,0.004549887031316757,0.0035566454753279686,0.8780354261398315,0.0,0.09200650422685835,0.18586104744020965,0.010045974515378475,0.990330696105957,0.4999280571937561,0.20856866240501404,0.028331756591796875,131365.10976663476,0.0
1000,inverse_warmup,1.0,0.025185156613588333,0.003948892932385206,0.0034194805193692446,0.882173478603363,0.0,0.05748025371473943,0.1599415589807843,0.010045974515378475,0.990330696105957,0.4999280571937561,0.20856866240501404,0.028331756591796875,131365.10976663476,0.0
1200,inverse_warmup,1.0,0.024271218106150627,0.0036960807628929615,0.0032826534006744623,0.88425612449646,0.0,0.045532562122113124,0.13371399054594602,0.010045974515378475,0.990330696105957,0.4999280571937561,0.20856866240501404,0.028331756591796875,131365.10976663476,0.0
1400,inverse_warmup,1.0,0.023981759324669838,0.0036274604499340057,0.003147306153550744,0.8847306966781616,0.0,0.05677216403071717,0.15566425361455005,0.010045974515378475,0.990330696105957,0.4999280571937561,0.20856866240501404,0.028331756591796875,131365.10976663476,0.0
1600,joint_soft,1.0,0.023126089945435524,0.0034593604505062103,0.003190146991983056,0.8853885531425476,2.4721512659198197e-07,0.04397820365376306,0.10504999055641723,0.010066605173051357,0.9903267025947571,0.49995774030685425,0.2085125893354416,0.02829742431640625,131326.28458918649,38.82517744827783
1800,joint_soft,1.0,0.02356957271695137,0.0032466843258589506,0.003233964554965496,0.8840423226356506,2.7353760856385634e-07,0.08514342606581156,0.25789977289628435,0.01009837631136179,0.9903231859207153,0.49999427795410156,0.2084488421678543,0.028331756591796875,131281.39523938645,83.71452724831761
2000,joint_soft,1.0,0.021819476038217545,0.0030618482269346714,0.003107451368123293,0.8860988616943359,1.8600646001232235e-07,0.028032524800349144,0.08385432459567187,0.010122362524271011,0.9903221726417542,0.5000110268592834,0.2084251195192337,0.02832794189453125,131262.84543617055,102.26433046421153
2200,joint_soft,1.0,0.021402204409241676,0.002845413750037551,0.0032439855858683586,0.8838081359863281,1.902061086411777e-07,0.04364168852858698,0.14915884820147124,0.010135523974895477,0.9903225302696228,0.5000151991844177,0.20842669904232025,0.028263092041015625,131261.1135713849,103.99619524987065
2400,joint_soft,1.0,0.02079376019537449,0.0027049328200519085,0.003133677411824465,0.8839783668518066,2.0002561029741628e-07,0.04562886893565265,0.07930991479340771,0.010144024156033993,0.9903263449668884,0.5000114440917969,0.20844246447086334,0.02825927734375,131269.07059928472,96.03916735004168
2600,joint_soft,1.0,0.020565280690789223,0.0026558551471680403,0.003231591545045376,0.884548008441925,1.9244396298745414e-07,0.03254064297875896,0.0708012584531061,0.010144618339836597,0.9903331398963928,0.5000021457672119,0.20846708118915558,0.02826690673828125,131283.07223705575,82.03752957901452
2800,joint_soft,1.0,0.020192166790366173,0.0025271885097026825,0.0032656064722687006,0.8848513960838318,2.0197592220938532e-07,0.05481678988803599,0.07193266316427091,0.010140525177121162,0.9903402924537659,0.49999332427978516,0.2084965705871582,0.028217315673828125,131300.37916167645,64.73060495831305
3000,joint_soft,1.0,0.020008686929941177,0.002440814394503832,0.0032760845497250557,0.8842729926109314,2.347450873685375e-07,0.04641212706312045,0.13996948767567938,0.010133922100067139,0.9903494119644165,0.49997949600219727,0.2085348516702652,0.028232574462890625,131323.68024084612,41.4295257886406
3200,joint_soft,1.0,0.01960393600165844,0.0023081637918949127,0.003209722926840186,0.8839707374572754,2.430458323487983e-07,0.0643116005370048,0.1163646543871488,0.010124532505869865,0.990358293056488,0.4999668002128601,0.20857489109039307,0.028240203857421875,131348.12321460858,16.986552026181016
3400,joint_soft,1.0,0.01924370788037777,0.002116298768669367,0.003493394237011671,0.8827677369117737,2.83363192465913e-07,0.06559501892068169,0.1347622893140302,0.010114424861967564,0.9903672933578491,0.4999527037143707,0.2086200714111328,0.028240203857421875,131375.79637056438,10.686603929614648
3600,joint_soft,1.0,0.018697241321206093,0.0019335009856149554,0.0033318439964205027,0.8838970065116882,2.792206998947222e-07,0.07504677157202708,0.13395114552096452,0.01010448019951582,0.9903765320777893,0.4999346137046814,0.2086736112833023,0.028194427490234375,131409.17569180625,44.06592517148238
3800,joint_soft,1.0,0.01851620338857174,0.0019169066799804568,0.0036192203406244516,0.8804354071617126,2.843194693014084e-07,0.06193256065819332,0.1368761763587562,0.010095651261508465,0.9903857707977295,0.4999197721481323,0.20872366428375244,0.028141021728515625,131440.24832599793,75.13855936317123
