step,phase,epoch,loss,train_mse,train_ssim,val_mse,val_ssim,H_t_min,H_t_max,H_t_mean,H_t_binary_fraction,grad_norm_W,grad_norm_inverse,detector_min,detector_max,detector_mean,sigmoid_m
200,inverse_warmup_m1,4,0.10128836333751678,0.34101277589797974,0.17966154217720032,0.3571054935455322,0.17902565747499466,0.010045974515378475,0.990330696105957,0.4999280571937561,0.028331756591796875,0.0,0.1559372697478454,4.786935329437256,291.58953857421875,62.792320251464844,1.0
400,inverse_warmup_m1,7,0.07804568111896515,0.025032751262187958,0.6410400867462158,0.027327803894877434,0.6259996891021729,0.010045974515378475,0.990330696105957,0.4999280571937561,0.028331756591796875,0.0,0.10409066548277872,2.168027877807617,347.95947265625,58.508907318115234,1.0
600,inverse_warmup_m1,10,0.08186394721269608,0.02418002486228943,0.6297842264175415,0.025181718170642853,0.6565506458282471,0.010045974515378475,0.990330696105957,0.4999280571937561,0.028331756591796875,0.0,0.05583301027770523,3.991346836090088,317.6781311035156,63.3375244140625,1.0
800,inverse_warmup_m1,13,0.07724829018115997,0.02190876007080078,0.6376255750656128,0.024666770361363888,0.6474732756614685,0.010045974515378475,0.990330696105957,0.4999280571937561,0.028331756591796875,0.0,0.035203270698590805,4.645721435546875,300.42034912109375,62.21406555175781,1.0
1000,inverse_warmup_m1,17,0.06651677191257477,0.01854845881462097,0.6942909955978394,0.023904007859528065,0.6601250469684601,0.010045974515378475,0.990330696105957,0.4999280571937561,0.028331756591796875,0.0,0.07741289529758309,2.1217594146728516,346.3183288574219,53.802001953125,1.0
1200,inverse_warmup_m1,20,0.07528714835643768,0.021884478628635406,0.6389365196228027,0.02372544351965189,0.6535018682479858,0.010045974515378475,0.990330696105957,0.4999280571937561,0.028331756591796875,0.0,0.0732037364011462,3.898393392562866,389.23095703125,67.05532836914062,1.0
1400,inverse_warmup_m1,23,0.07589581608772278,0.022389328107237816,0.6581816673278809,0.024479320272803307,0.6647403836250305,0.010045974515378475,0.990330696105957,0.4999280571937561,0.028331756591796875,0.0,0.1253065827783813,3.352581024169922,347.0624694824219,58.11342239379883,1.0
1500,inverse_warmup_m1,25,0.07485540211200714,0.02166731283068657,0.6564328670501709,0.024143585935235023,0.6605320870876312,0.010045974515378475,0.990330696105957,0.4999280571937561,0.028331756591796875,0.0,0.029507120197790455,5.745020389556885,346.08984375,59.81185531616211,1.0
1700,joint_soft_m1,4,0.08275078237056732,0.022029435262084007,0.5957451462745667,0.022969002835452557,0.6414943933486938,0.010057631880044937,0.9903332591056824,0.499895840883255,0.028362274169921875,9.374091547442731e-08,0.054966039146434865,4.708370208740234,310.1950988769531,66.83470153808594,1.0
1900,joint_soft_m1,7,0.08535639941692352,0.022855708375573158,0.6126618981361389,0.023496716283261776,0.6630465686321259,0.010072027333080769,0.990338146686554,0.4998530149459839,0.028377532958984375,8.542632912167392e-08,0.2317028844063046,2.9213035106658936,384.8655090332031,77.41216278076172,1.0
2100,joint_soft_m1,10,0.08087478578090668,0.024743368849158287,0.6438032388687134,0.024621564894914627,0.6685459911823273,0.010092168115079403,0.9903472661972046,0.4997907876968384,0.028392791748046875,1.867010723799467e-07,0.09259722308730159,4.1597771644592285,314.8562927246094,64.33872985839844,1.0
2300,joint_soft_m1,13,0.07903783023357391,0.025214217603206635,0.6555963754653931,0.02503996156156063,0.6679855585098267,0.01012636348605156,0.9903692603111267,0.4996877908706665,0.028408050537109375,2.9600454354294925e-07,0.07642592423096803,5.50579833984375,372.38031005859375,64.38400268554688,1.0
2500,joint_soft_m1,17,0.07837171107530594,0.01899813301861286,0.609649658203125,0.020068115554749966,0.6660255491733551,0.010235995054244995,0.9904775619506836,0.4994639456272125,0.028469085693359375,7.448317660418979e-07,0.08681058457638967,3.28641414642334,365.7593688964844,72.49922180175781,1.0
2700,joint_soft_m1,20,0.05519738048315048,0.012898878194391727,0.710814356803894,0.014200951438397169,0.699972927570343,0.010399648919701576,0.990757405757904,0.4991776943206787,0.02857208251953125,1.1282502327958355e-06,0.09563802912123753,6.462374210357666,326.9050598144531,59.15742492675781,1.0
2900,joint_soft_m1,23,0.05167396366596222,0.011448102071881294,0.7266172170639038,0.011517191771417856,0.7438438534736633,0.01022153627127409,0.9909089207649231,0.4989863634109497,0.02860260009765625,1.0773655958473682e-06,0.24117094037946515,1.7765463590621948,346.16326904296875,63.345088958740234,1.0
3100,joint_soft_m1,26,0.04906582832336426,0.008768899366259575,0.725693941116333,0.008681791834533215,0.7686671614646912,0.010085267946124077,0.9909892678260803,0.49886953830718994,0.02870941162109375,1.0403398391645169e-06,0.15286219040312202,3.225961923599243,385.14398193359375,65.98666381835938,1.0
3300,joint_soft_m1,30,0.043555133044719696,0.00734569551423192,0.7471969723701477,0.008188995067030191,0.7675268352031708,0.010064623318612576,0.9910531640052795,0.4987829327583313,0.02872467041015625,1.056578298630484e-06,0.2418518867927583,2.192108392715454,303.34454345703125,61.65766906738281,1.0
3500,joint_soft_m1,33,0.03975136950612068,0.008843518793582916,0.7783287167549133,0.009886239655315876,0.777123898267746,0.010088753886520863,0.9911237955093384,0.4987107515335083,0.028682708740234375,7.986940318005509e-07,0.17711984559671018,2.4487011432647705,343.8060302734375,58.992042541503906,1.0
3700,joint_soft_m1,36,0.040822144597768784,0.0072519294917583466,0.7627490758895874,0.007015451090410352,0.7797343134880066,0.010108969174325466,0.9911870360374451,0.498645156621933,0.02870941162109375,7.887477408985433e-07,0.10255499632768926,4.383915424346924,300.6449890136719,62.81515121459961,1.0
