step,epoch,loss,train_mse,train_ssim,val_mse,val_ssim,H_t_min,H_t_max,H_t_mean,H_t_binary_fraction,grad_norm_W,grad_norm_inverse,detector_min,detector_max,detector_mean,sigmoid_m
200,4,0.09985800832509995,0.047136932611465454,0.6022627353668213,0.04864209517836571,0.6165376007556915,1.0,1.0,1.0,1.0,0.0,0.6648965029681785,9.76203441619873,577.4625854492188,125.58221435546875,1.0
400,7,0.07905811071395874,0.024691767990589142,0.6471766233444214,0.026396451517939568,0.655263364315033,1.0,1.0,1.0,1.0,0.0,0.0868169334840904,4.469885349273682,695.9929809570312,117.06492614746094,1.0
600,10,0.08203231543302536,0.02432599849998951,0.628860354423523,0.024927077814936638,0.6595086455345154,1.0,1.0,1.0,1.0,0.0,0.04093146515126228,8.060018539428711,625.642578125,126.677490234375,1.0
800,13,0.07728986442089081,0.021884921938180923,0.6447561979293823,0.024436384439468384,0.6561711728572845,1.0,1.0,1.0,1.0,0.0,0.059074378254942314,9.431580543518066,591.3408203125,124.4101791381836,1.0
1000,17,0.06650348007678986,0.018508868291974068,0.6906482577323914,0.023748261854052544,0.6562799215316772,1.0,1.0,1.0,1.0,0.0,0.04927290338981213,4.333203315734863,683.548095703125,107.59225463867188,1.0
1200,20,0.07540547847747803,0.022887054830789566,0.6494134664535522,0.024691365659236908,0.6614283323287964,1.0,1.0,1.0,1.0,0.0,0.07136836171572129,7.880105972290039,758.533203125,134.1014862060547,1.0
1400,23,0.07623697817325592,0.02217707969248295,0.6559416651725769,0.02412621770054102,0.6615085005760193,1.0,1.0,1.0,1.0,0.0,0.14277597833894304,6.856887340545654,664.7596435546875,116.22140502929688,1.0
1600,26,0.0728147029876709,0.021720431745052338,0.6759083867073059,0.024082712829113007,0.6606496870517731,1.0,1.0,1.0,1.0,0.0,0.03702062855922642,5.26084041595459,603.8657836914062,117.23220825195312,1.0
1800,30,0.07759490609169006,0.02223198674619198,0.6149485111236572,0.02425936609506607,0.6287385523319244,1.0,1.0,1.0,1.0,0.0,0.05523602905361055,11.964988708496094,675.0928344726562,124.03053283691406,1.0
2000,33,0.08245621621608734,0.023772113025188446,0.6304105520248413,0.02405551914125681,0.66127809882164,1.0,1.0,1.0,1.0,0.0,0.06117831082424555,7.145852088928223,677.0225219726562,130.39093017578125,1.0
2200,36,0.07303818315267563,0.021630678325891495,0.6754589080810547,0.024299179203808308,0.659547358751297,1.0,1.0,1.0,1.0,0.0,0.11343347577594905,7.963886260986328,623.1690673828125,113.09284210205078,1.0
2400,39,0.07823462784290314,0.02312345802783966,0.6560664176940918,0.02429761178791523,0.6647453904151917,1.0,1.0,1.0,1.0,0.0,0.05131352558720106,6.923903942108154,562.4403686523438,124.97838592529297,1.0
2600,42,0.07525575160980225,0.021871667355298996,0.6546326279640198,0.023703275248408318,0.6567785441875458,1.0,1.0,1.0,1.0,0.0,0.03419777513365553,5.100762844085693,737.0546264648438,117.79509735107422,1.0
2800,46,0.08184585720300674,0.02316019870340824,0.6062331199645996,0.023699289187788963,0.6326296925544739,1.0,1.0,1.0,1.0,0.0,0.06882268248955475,6.418516159057617,755.1642456054688,127.89751434326172,1.0
3000,49,0.08058683574199677,0.023699436336755753,0.625703752040863,0.023743966594338417,0.63936448097229,1.0,1.0,1.0,1.0,0.0,0.09733306410118031,6.872840881347656,701.4033813476562,129.84710693359375,1.0
3200,52,0.08600925654172897,0.024623524397611618,0.603432297706604,0.023294856771826744,0.6521387100219727,1.0,1.0,1.0,1.0,0.0,0.06690785837612608,4.515659332275391,732.955322265625,134.9459228515625,1.0
3400,55,0.06729505956172943,0.02042584866285324,0.6993769407272339,0.02444161381572485,0.6555856168270111,1.0,1.0,1.0,1.0,0.0,0.05518051917858879,9.192045211791992,552.6474609375,109.37153625488281,1.0
3600,59,0.07080283761024475,0.020683158189058304,0.6891235113143921,0.023218795657157898,0.6539030969142914,1.0,1.0,1.0,1.0,0.0,0.08547827008621928,6.481090068817139,566.4259643554688,113.89108276367188,1.0
3800,62,0.07951264083385468,0.023631762713193893,0.6458496451377869,0.023946352303028107,0.6591820418834686,1.0,1.0,1.0,1.0,0.0,0.022745550653072707,10.80437183380127,657.225830078125,126.80384826660156,1.0
4000,65,0.07863466441631317,0.022309347987174988,0.6324998140335083,0.024171355180442333,0.6621232032775879,1.0,1.0,1.0,1.0,0.0,0.057650422182695366,10.336555480957031,755.1444702148438,144.30430603027344,1.0
