step,epoch,loss,train_mse,train_ssim,val_mse,val_ssim,H_t_min,H_t_max,H_t_mean,H_t_binary_fraction,grad_norm_W,grad_norm_inverse,detector_min,detector_max,detector_mean,sigmoid_m
200,4,0.11148665845394135,0.05531761795282364,0.5092107057571411,0.05717252008616924,0.5097171515226364,0.0,1.0,0.625,1.0,0.0,0.759878399958231,39.1391487121582,1209.4749755859375,313.94134521484375,1.0
400,7,0.09401386976242065,0.03529653698205948,0.6014025211334229,0.038409093394875526,0.6143345236778259,0.0,1.0,0.625,1.0,0.0,0.05134960037055363,10.786108016967773,1339.0374755859375,292.6588134765625,1.0
600,10,0.09773239493370056,0.03654590994119644,0.6074732542037964,0.03823406808078289,0.6401037871837616,0.0,1.0,0.625,1.0,0.0,0.055521511045818636,20.700971603393555,1384.8165283203125,316.73486328125,1.0
800,13,0.09426400810480118,0.03591710701584816,0.6303861141204834,0.039166877046227455,0.6550579071044922,0.0,1.0,0.625,1.0,0.0,0.01656945404701413,25.303924560546875,1644.2017822265625,311.0953369140625,1.0
1000,17,0.08139326423406601,0.031183183193206787,0.6787373423576355,0.03942866437137127,0.6590670347213745,0.0,1.0,0.625,1.0,0.0,0.037201201586286564,26.37144660949707,1257.5843505859375,269.0065002441406,1.0
1200,20,0.0897216945886612,0.033678244799375534,0.6192060112953186,0.03750567138195038,0.6351010501384735,0.0,1.0,0.625,1.0,0.0,0.15980627013419058,19.707242965698242,3020.703369140625,335.25408935546875,1.0
1400,23,0.09017300605773926,0.035624049603939056,0.6501065492630005,0.04044411703944206,0.6610827445983887,0.0,1.0,0.625,1.0,0.0,0.05205401869728165,17.485414505004883,1529.1265869140625,290.5761413574219,1.0
1600,26,0.08899237215518951,0.034268785268068314,0.6565485596656799,0.03783763572573662,0.6498483419418335,0.0,1.0,0.625,1.0,0.0,0.0283906757535933,26.66044044494629,1262.147216796875,293.0640869140625,1.0
1800,30,0.09449142962694168,0.03551958501338959,0.6322207450866699,0.0385789442807436,0.6575411558151245,0.0,1.0,0.625,1.0,0.0,0.019915866550611706,27.672815322875977,1479.9791259765625,310.0557861328125,1.0
2000,33,0.10020001232624054,0.03886529058218002,0.6244508624076843,0.03937075287103653,0.6613076031208038,0.0,1.0,0.625,1.0,0.0,0.03604904551678801,16.78044319152832,1465.2183837890625,326.011474609375,1.0
2200,36,0.08513203263282776,0.03283923864364624,0.6646274328231812,0.03855106420814991,0.6562284529209137,0.0,1.0,0.625,1.0,0.0,0.026876223441684534,18.403663635253906,1646.2318115234375,282.6952819824219,1.0
2400,39,0.09563139081001282,0.037733111530542374,0.6395386457443237,0.03917204029858112,0.6597974002361298,0.0,1.0,0.625,1.0,0.0,0.029542749495562588,17.12592887878418,1360.964111328125,312.52850341796875,1.0
2600,42,0.09085716307163239,0.03487665206193924,0.6436930894851685,0.038859689608216286,0.6600283980369568,0.0,1.0,0.625,1.0,0.0,0.02645228156030547,19.16916847229004,1539.7728271484375,294.52886962890625,1.0
2800,46,0.09864076226949692,0.036529190838336945,0.6061030626296997,0.03824608400464058,0.652187705039978,0.0,1.0,0.625,1.0,0.0,0.017214520100843532,30.784242630004883,1608.5205078125,319.719970703125,1.0
3000,49,0.09877825528383255,0.0388922356069088,0.6323856711387634,0.03897090628743172,0.6553327739238739,0.0,1.0,0.625,1.0,0.0,0.066860356491305,32.28158187866211,2464.868408203125,324.57574462890625,1.0
3200,52,0.10474776476621628,0.0415310263633728,0.6085917949676514,0.03969705104827881,0.6647852957248688,0.0,1.0,0.625,1.0,0.0,0.009558332756352388,22.873977661132812,1521.3228759765625,337.2961120605469,1.0
3400,55,0.08218283951282501,0.033446237444877625,0.6964505910873413,0.03939782828092575,0.6635772287845612,0.0,1.0,0.625,1.0,0.0,0.027684491156819733,24.19303321838379,1143.3238525390625,273.432373046875,1.0
3600,59,0.087238609790802,0.03571528568863869,0.6755142211914062,0.03839641064405441,0.6557442843914032,0.0,1.0,0.625,1.0,0.0,0.03245277378469093,29.186166763305664,1457.0784912109375,284.69940185546875,1.0
3800,62,0.09757587313652039,0.03787301108241081,0.6285480856895447,0.03769681788980961,0.6500373482704163,0.0,1.0,0.625,1.0,0.0,0.024859298079517762,28.98208999633789,1543.60107421875,317.05596923828125,1.0
4000,65,0.09635449945926666,0.03722023963928223,0.6206841468811035,0.0397418849170208,0.6635122299194336,0.0,1.0,0.625,1.0,0.0,0.06467224282964293,28.915903091430664,2986.625732421875,360.8448486328125,1.0
