step,epoch,loss,train_mse,train_ssim,val_mse,val_ssim,H_t_min,H_t_max,H_t_mean,H_t_binary_fraction,grad_norm_W,grad_norm_inverse,detector_min,detector_max,detector_mean,sigmoid_m
200,4,0.05395210161805153,0.01357939187437296,0.6880286931991577,0.013784307055175304,0.6926333904266357,1.0,1.0,1.0,1.0,0.0,0.890255238223933,1.1807355880737305,233.8528594970703,31.395559310913086,1.0
400,7,0.03809956833720207,0.007353855296969414,0.7507443428039551,0.007518445607274771,0.7700648605823517,1.0,1.0,1.0,1.0,0.0,0.2611930798171117,0.9694055318832397,222.6326141357422,29.266231536865234,1.0
600,10,0.03759857639670372,0.0060172975063323975,0.7812893986701965,0.005813977448269725,0.8026232719421387,1.0,1.0,1.0,1.0,0.0,0.10632900001282841,1.743040680885315,233.47093200683594,31.66937255859375,1.0
800,13,0.036737337708473206,0.005850696004927158,0.7878960371017456,0.005601134384050965,0.8015373051166534,1.0,1.0,1.0,1.0,0.0,0.05382325660953995,1.4480925798416138,225.53070068359375,31.102548599243164,1.0
1000,17,0.0312206968665123,0.004319669678807259,0.8169552683830261,0.005614434368908405,0.7955686450004578,1.0,1.0,1.0,1.0,0.0,0.20078915692956525,0.6175898909568787,247.2224578857422,26.898059844970703,1.0
1200,20,0.034686651080846786,0.006104373373091221,0.7943018674850464,0.005897109396755695,0.8111326396465302,1.0,1.0,1.0,1.0,0.0,0.10835621101460553,1.6929752826690674,249.79840087890625,33.525367736816406,1.0
1400,23,0.034867413341999054,0.005587376654148102,0.8052840828895569,0.005576675990596414,0.8137808442115784,1.0,1.0,1.0,1.0,0.0,0.10007405772691588,1.5158504247665405,220.89727783203125,29.055349349975586,1.0
1600,26,0.0323382169008255,0.0051149651408195496,0.8118836879730225,0.005570746259763837,0.8043526113033295,1.0,1.0,1.0,1.0,0.0,0.18982328974319593,0.9251964688301086,234.05242919921875,29.308053970336914,1.0
1800,30,0.03488103672862053,0.005368248093873262,0.8013883829116821,0.00534218130633235,0.817461371421814,1.0,1.0,1.0,1.0,0.0,0.14650627364436558,1.6729274988174438,227.32601928710938,31.007633209228516,1.0
2000,33,0.0362493172287941,0.006315442267805338,0.7920565605163574,0.005700709298253059,0.8143742680549622,1.0,1.0,1.0,1.0,0.0,0.10262256508887294,1.5761429071426392,242.55520629882812,32.59773254394531,1.0
2200,36,0.03285222873091698,0.004993673413991928,0.8145300149917603,0.005424119532108307,0.8118016123771667,1.0,1.0,1.0,1.0,0.0,0.15408724335363919,1.2679778337478638,229.29376220703125,28.273210525512695,1.0
2400,39,0.03438935801386833,0.005486017558723688,0.802853524684906,0.005530111957341433,0.8143434226512909,1.0,1.0,1.0,1.0,0.0,0.17260878990749812,1.5964524745941162,234.01870727539062,31.24459457397461,1.0
2600,42,0.0331890806555748,0.005322168581187725,0.806088924407959,0.005326953949406743,0.8138164281845093,1.0,1.0,1.0,1.0,0.0,0.04931823152029632,1.0011898279190063,233.6329345703125,29.448776245117188,1.0
2800,46,0.03687884658575058,0.0057334573939442635,0.7928950786590576,0.005305538885295391,0.8155673146247864,1.0,1.0,1.0,1.0,0.0,0.16320831182624923,1.0590248107910156,230.0126953125,31.974380493164062,1.0
3000,49,0.03414250910282135,0.0056071109138429165,0.8096715807914734,0.005413287319242954,0.8187392354011536,1.0,1.0,1.0,1.0,0.0,0.052584586837888685,1.3817145824432373,235.57034301757812,32.46177673339844,1.0
3200,52,0.038245491683483124,0.006252265069633722,0.7830329537391663,0.005276431795209646,0.8144203424453735,1.0,1.0,1.0,1.0,0.0,0.14960499716053002,0.5644575357437134,237.08737182617188,33.736480712890625,1.0
3400,55,0.028727751225233078,0.004325097426772118,0.8429622650146484,0.005257371347397566,0.820883572101593,1.0,1.0,1.0,1.0,0.0,0.07782568438426102,2.018385648727417,229.29747009277344,27.342884063720703,1.0
3600,59,0.03041568398475647,0.004754037130624056,0.836564302444458,0.0052707865834236145,0.82021763920784,1.0,1.0,1.0,1.0,0.0,0.14146502225255805,1.2439384460449219,235.42144775390625,28.472774505615234,1.0
3800,62,0.034701891243457794,0.006478919647634029,0.7994134426116943,0.0062306595500558615,0.8078550696372986,1.0,1.0,1.0,1.0,0.0,0.1203321704510838,1.3753976821899414,243.64105224609375,31.700963973999023,1.0
4000,65,0.03795653581619263,0.005874785128980875,0.7802550792694092,0.005313927074894309,0.8164975047111511,1.0,1.0,1.0,1.0,0.0,0.1333093727266856,2.339141607284546,233.8393096923828,36.07605743408203,1.0
