variant,seed,compression,pattern,test_mse,test_ssim
bbbc022_x16_uniform_all_ones,42,x16,uniform_all_ones,0.001288110390305519,0.9011914432048798
bbbc022_x16_random_fixed,42,x16,random_fixed,0.0011440992821007967,0.8972567915916443
bbbc022_x16_hadamard_fixed,42,x16,hadamard_fixed,0.0009812933567445725,0.913864403963089
bbbc022_x16_learnable_frequency,42,x16,learnable_frequency,0.0009427021723240614,0.9146611094474792
bbbc022_x64_uniform_all_ones,42,x64,uniform_all_ones,0.0060689388774335384,0.7976288199424744
bbbc022_x64_random_fixed,42,x64,random_fixed,0.0036246069939807057,0.8355351686477661
bbbc022_x64_hadamard_fixed,42,x64,hadamard_fixed,0.0043327538296580315,0.8237095475196838
bbbc022_x64_learnable_frequency,42,x64,learnable_frequency,0.001241438032593578,0.9029650986194611
bbbc022_x256_uniform_all_ones,42,x256,uniform_all_ones,0.025533175095915794,0.6110882759094238
bbbc022_x256_random_fixed,42,x256,random_fixed,0.015209196135401726,0.6749142408370972
bbbc022_x256_hadamard_fixed,42,x256,hadamard_fixed,0.019435863010585308,0.6355020105838776
bbbc022_x256_learnable_frequency,42,x256,learnable_frequency,0.004990288056433201,0.8127557933330536
bbbc022_x1024_uniform_all_ones,42,x1024,uniform_all_ones,0.04047488048672676,0.6021324098110199
bbbc022_x1024_random_fixed,42,x1024,random_fixed,0.04024774953722954,0.5609139204025269
bbbc022_x1024_hadamard_fixed,42,x1024,hadamard_fixed,0.04041967913508415,0.5936276316642761
bbbc022_x1024_learnable_frequency,42,x1024,learnable_frequency,0.023430611938238144,0.6477390229701996
