run_id,dataset,pattern_mode,downscale_factor,num_patterns,compression,upsampling_type,frequency_domain_optimization,noise_mode,photon_count,sigma_read,loss,MSE,SSIM,checkpoint_path,figure_path,notes
smoke_random_fixed_stage1,bbbc022_hoechst,random_fixed,16,4,64.0,locality_aware,False,noise_free,10000.0,0.0,l1,0.082103431224823,0.4666212499141693,./experiments/task_aware_segmentation/_smoke_tmp/smoke_random_fixed/stage1_content_aware/checkpoints/best.pt,./experiments/task_aware_segmentation/_smoke_tmp/smoke_random_fixed/stage1_content_aware/figures/reconstruction.png,test
smoke_learnable_frequency_stage1,bbbc022_hoechst,learnable_frequency,16,4,64.0,locality_aware,True,noise_free,10000.0,0.0,l1,0.1035066619515419,0.4410204291343689,./experiments/task_aware_segmentation/_smoke_tmp/smoke_learnable_frequency/stage1_content_aware/checkpoints/best.pt,./experiments/task_aware_segmentation/_smoke_tmp/smoke_learnable_frequency/stage1_content_aware/eval/final/figures/reconstruction_soft.png,test_soft
smoke_random_fixed_stage1,bbbc022_hoechst,random_fixed,16,4,64.0,locality_aware,False,noise_free,10000.0,0.0,l1,0.08211721479892731,0.4665692448616028,./experiments/task_aware_segmentation/_smoke_tmp/smoke_random_fixed/stage1_content_aware/checkpoints/best.pt,./experiments/task_aware_segmentation/_smoke_tmp/smoke_random_fixed/stage1_content_aware/figures/reconstruction.png,test
smoke_learnable_frequency_stage1,bbbc022_hoechst,learnable_frequency,16,4,64.0,locality_aware,True,noise_free,10000.0,0.0,l1,0.10317300260066986,0.44096946716308594,./experiments/task_aware_segmentation/_smoke_tmp/smoke_learnable_frequency/stage1_content_aware/checkpoints/best.pt,./experiments/task_aware_segmentation/_smoke_tmp/smoke_learnable_frequency/stage1_content_aware/eval/final/figures/reconstruction_soft.png,test_soft
taskaware_x64_random_fixed_stage1,bbbc022_hoechst,random_fixed,16,4,64.0,locality_aware,False,noise_free,10000.0,0.0,l1,0.02285991795361042,0.7429436445236206,./experiments/figure04_segmentation/stage1_frozen/taskaware_x64_random_fixed_seed42/stage1_content_aware/checkpoints/best.pt,./experiments/figure04_segmentation/stage1_frozen/taskaware_x64_random_fixed_seed42/stage1_content_aware/figures/reconstruction.png,test
taskaware_x64_learnable_frequency_stage1,bbbc022_hoechst,learnable_frequency,16,4,64.0,locality_aware,True,noise_free,10000.0,0.0,l1,0.011473807506263256,0.8008075952529907,./experiments/figure04_segmentation/stage1_frozen/taskaware_x64_learnable_frequency_seed42/stage1_content_aware/checkpoints/best.pt,./experiments/figure04_segmentation/stage1_frozen/taskaware_x64_learnable_frequency_seed42/stage1_content_aware/eval/final/figures/reconstruction_soft.png,test_soft
taskaware_x256_random_fixed_stage1,bbbc022_hoechst,random_fixed,32,4,256.0,locality_aware,False,noise_free,10000.0,0.0,l1,0.08282750099897385,0.5348204970359802,./experiments/figure04_segmentation/stage1_frozen/taskaware_x256_random_fixed_seed42/stage1_content_aware/checkpoints/best.pt,./experiments/figure04_segmentation/stage1_frozen/taskaware_x256_random_fixed_seed42/stage1_content_aware/figures/reconstruction.png,test
taskaware_x256_learnable_frequency_stage1,bbbc022_hoechst,learnable_frequency,32,4,256.0,locality_aware,True,noise_free,10000.0,0.0,l1,0.031340427696704865,0.6921508312225342,./experiments/figure04_segmentation/stage1_frozen/taskaware_x256_learnable_frequency_seed42/stage1_content_aware/checkpoints/best.pt,./experiments/figure04_segmentation/stage1_frozen/taskaware_x256_learnable_frequency_seed42/stage1_content_aware/eval/final/figures/reconstruction_soft.png,test_soft
taskaware_x1024_random_fixed_stage1,bbbc022_hoechst,random_fixed,64,4,1024.0,locality_aware,False,noise_free,10000.0,0.0,l1,0.14816851913928986,0.4481821656227112,./experiments/figure04_segmentation/stage1_frozen/taskaware_x1024_random_fixed_seed42/stage1_content_aware/checkpoints/best.pt,./experiments/figure04_segmentation/stage1_frozen/taskaware_x1024_random_fixed_seed42/stage1_content_aware/figures/reconstruction.png,test
taskaware_x1024_learnable_frequency_stage1,bbbc022_hoechst,learnable_frequency,64,4,1024.0,locality_aware,True,noise_free,10000.0,0.0,l1,0.1251315027475357,0.4611841142177582,./experiments/figure04_segmentation/stage1_frozen/taskaware_x1024_learnable_frequency_seed42/stage1_content_aware/checkpoints/best.pt,./experiments/figure04_segmentation/stage1_frozen/taskaware_x1024_learnable_frequency_seed42/stage1_content_aware/eval/final/figures/reconstruction_soft.png,test_soft
