step,epoch,loss,train_mse,train_ssim,val_mse,val_ssim,H_t_min,H_t_max,H_t_mean,H_t_binary_fraction,grad_norm_W,grad_norm_inverse,detector_min,detector_max,detector_mean,sigmoid_m
200,34,0.150031179189682,0.09364926815032959,0.5592312812805176,0.10464303195476532,0.5615052580833435,1.1581602133392859e-20,1.0,0.500187873840332,0.8265228271484375,0.0,0.13972959556149384,15.946333885192871,528.9340209960938,132.87518310546875,1.0
400,67,0.13687396049499512,0.08526688814163208,0.552710771560669,0.10045235604047775,0.5164330005645752,1.1581602133392859e-20,1.0,0.500187873840332,0.8265228271484375,0.0,0.10171912949963718,10.061688423156738,488.48089599609375,131.52191162109375,1.0
600,100,0.1180846244096756,0.06378684937953949,0.5315014123916626,0.10368473082780838,0.43567562103271484,1.1581602133392859e-20,1.0,0.500187873840332,0.8265228271484375,0.0,0.2727238163555317,23.671113967895508,480.8288269042969,146.62791442871094,1.0
800,134,0.13252893090248108,0.07747450470924377,0.5786493420600891,0.0969846248626709,0.563940167427063,1.1581602133392859e-20,1.0,0.500187873840332,0.8265228271484375,0.0,0.15743091597536338,15.946333885192871,528.9340209960938,132.87518310546875,1.0
1000,167,0.11957243084907532,0.0657738745212555,0.611309289932251,0.08887307345867157,0.5587732195854187,1.1581602133392859e-20,1.0,0.500187873840332,0.8265228271484375,0.0,0.26702692148664076,10.061688423156738,488.48089599609375,131.52191162109375,1.0
1200,200,0.0843266099691391,0.04207484424114227,0.6213161945343018,0.08672505617141724,0.5379686951637268,1.1581602133392859e-20,1.0,0.500187873840332,0.8265228271484375,0.0,0.3773411171170233,23.671113967895508,480.8288269042969,146.62791442871094,1.0
1400,234,0.11352945864200592,0.061399344354867935,0.5761909484863281,0.08428362756967545,0.5493856072425842,1.1581602133392859e-20,1.0,0.500187873840332,0.8265228271484375,0.0,0.2682314393833925,15.946333885192871,528.9340209960938,132.87518310546875,1.0
1600,267,0.101803719997406,0.05741043761372566,0.6408526301383972,0.08289488404989243,0.5796570777893066,1.1581602133392859e-20,1.0,0.500187873840332,0.8265228271484375,0.0,0.24795762565441348,10.061688423156738,488.48089599609375,131.52191162109375,1.0
1800,300,0.06449631601572037,0.04138146713376045,0.6577178239822388,0.08098769187927246,0.5615333318710327,1.1581602133392859e-20,1.0,0.500187873840332,0.8265228271484375,0.0,0.2657260078648353,23.671113967895508,480.8288269042969,146.62791442871094,1.0
2000,334,0.10260406136512756,0.0499415323138237,0.590765655040741,0.0783219262957573,0.5508116483688354,1.1581602133392859e-20,1.0,0.500187873840332,0.8265228271484375,0.0,0.40642680127637115,15.946333885192871,528.9340209960938,132.87518310546875,1.0
2200,367,0.09210056066513062,0.04657435417175293,0.6210108995437622,0.07840337604284286,0.5436694622039795,1.1581602133392859e-20,1.0,0.500187873840332,0.8265228271484375,0.0,0.3657422341244965,10.061688423156738,488.48089599609375,131.52191162109375,1.0
2400,400,0.05210238695144653,0.02934383600950241,0.708439290523529,0.07573708146810532,0.5868353247642517,1.1581602133392859e-20,1.0,0.500187873840332,0.8265228271484375,0.0,0.30817790128388617,23.671113967895508,480.8288269042969,146.62791442871094,1.0
2600,434,0.09402245283126831,0.04910615086555481,0.5983726382255554,0.0780423954129219,0.5561379194259644,1.1581602133392859e-20,1.0,0.500187873840332,0.8265228271484375,0.0,0.3163477103408474,15.946333885192871,528.9340209960938,132.87518310546875,1.0
2800,467,0.08447147905826569,0.047161221504211426,0.646877110004425,0.07804383337497711,0.5714547038078308,1.1581602133392859e-20,1.0,0.500187873840332,0.8265228271484375,0.0,0.368865398563405,10.061688423156738,488.48089599609375,131.52191162109375,1.0
3000,500,0.05052853375673294,0.02959977090358734,0.6784675121307373,0.07516293972730637,0.5681736469268799,1.1581602133392859e-20,1.0,0.500187873840332,0.8265228271484375,0.0,0.3981719837416547,23.671113967895508,480.8288269042969,146.62791442871094,1.0
3200,534,0.08950206637382507,0.04485875368118286,0.6354495286941528,0.07457086443901062,0.5844558477401733,1.1581602133392859e-20,1.0,0.500187873840332,0.8265228271484375,0.0,0.330716727034216,15.946333885192871,528.9340209960938,132.87518310546875,1.0
3400,567,0.08079861849546432,0.05693135783076286,0.6441550254821777,0.08655206859111786,0.5719670653343201,1.1581602133392859e-20,1.0,0.500187873840332,0.8265228271484375,0.0,0.41671751001260243,10.061688423156738,488.48089599609375,131.52191162109375,1.0
3600,600,0.04719264805316925,0.03511397913098335,0.6909429430961609,0.07293926179409027,0.5909221172332764,1.1581602133392859e-20,1.0,0.500187873840332,0.8265228271484375,0.0,0.31799187904948695,23.671113967895508,480.8288269042969,146.62791442871094,1.0
3800,634,0.0856192335486412,0.04007217288017273,0.638506293296814,0.07173416018486023,0.5805568099021912,1.1581602133392859e-20,1.0,0.500187873840332,0.8265228271484375,0.0,0.40226598812018033,15.946333885192871,528.9340209960938,132.87518310546875,1.0
4000,667,0.07499678432941437,0.0454140231013298,0.6410872936248779,0.08137616515159607,0.555586576461792,1.1581602133392859e-20,1.0,0.500187873840332,0.8265228271484375,0.0,0.21450070821675063,10.061688423156738,488.48089599609375,131.52191162109375,1.0
