step,epoch,loss,train_mse,train_ssim,val_mse,val_ssim,H_t_min,H_t_max,H_t_mean,H_t_binary_fraction,grad_norm_W,grad_norm_inverse,detector_min,detector_max,detector_mean,sigmoid_m
200,2,0.09521792083978653,0.047863394021987915,0.511056661605835,0.048760417538384594,0.5105005155007044,9.642706125646334e-21,1.0,0.5000282526016235,0.8262901306152344,0.0,0.0864591581513246,0.0,38.04783248901367,4.167065620422363,10.0
400,3,0.08538109064102173,0.0412449911236763,0.6588629484176636,0.04089159828921159,0.6632503966490427,9.642706125646334e-21,1.0,0.5000282526016235,0.8262901306152344,0.0,0.29180143909211104,0.0,37.69948959350586,4.196889877319336,10.0
600,4,0.08001671731472015,0.040469273924827576,0.6800901889801025,0.04173443466424942,0.675906757513682,9.642706125646334e-21,1.0,0.5000282526016235,0.8262901306152344,0.0,0.11724302979368836,0.0,36.30164337158203,4.124481678009033,10.0
800,5,0.08023176342248917,0.038268495351076126,0.683570146560669,0.03832995053380728,0.6863173792759577,9.642706125646334e-21,1.0,0.5000282526016235,0.8262901306152344,0.0,0.14034203262213885,0.0,36.2407341003418,4.143072128295898,10.0
1000,6,0.07808051258325577,0.0374394915997982,0.6905843615531921,0.037962100468575954,0.6899414410193762,9.642706125646334e-21,1.0,0.5000282526016235,0.8262901306152344,0.0,0.07487414829059996,0.0,37.26995849609375,4.174917221069336,10.0
1200,7,0.08261975646018982,0.05770407244563103,0.6368750929832458,0.05820535744229952,0.6360136916240057,9.642706125646334e-21,1.0,0.5000282526016235,0.8262901306152344,0.0,0.2249894245209593,0.0,42.09519577026367,4.180751323699951,10.0
1400,8,0.07855693995952606,0.03815380483865738,0.6877931356430054,0.03803575939188401,0.6916062831878662,9.642706125646334e-21,1.0,0.5000282526016235,0.8262901306152344,0.0,0.10757256645808862,0.0,46.343875885009766,4.183228969573975,10.0
1600,9,0.07835005223751068,0.03810445964336395,0.6886855363845825,0.037458118672172226,0.694361999630928,9.642706125646334e-21,1.0,0.5000282526016235,0.8262901306152344,0.0,0.11867762300153632,0.0,39.868263244628906,4.21754789352417,10.0
1800,10,0.07731803506612778,0.036915138363838196,0.6942051649093628,0.03659214141468207,0.6974183072646459,9.642706125646334e-21,1.0,0.5000282526016235,0.8262901306152344,0.0,0.09331379395381387,0.0,38.807029724121094,4.233567237854004,10.0
2000,11,0.07621470838785172,0.036039743572473526,0.7030260562896729,0.03693501247713963,0.6985631038745245,9.642706125646334e-21,1.0,0.5000282526016235,0.8262901306152344,0.0,0.07450205276511064,0.0,37.109867095947266,4.179030895233154,10.0
2200,12,0.0777571052312851,0.03659367933869362,0.6947896480560303,0.03611112758517265,0.700047954916954,9.642706125646334e-21,1.0,0.5000282526016235,0.8262901306152344,0.0,0.2831825130897371,0.0,39.42216491699219,4.220117092132568,10.0
2400,13,0.07774606347084045,0.038875140249729156,0.6880139112472534,0.03898927724609772,0.6899103770653406,9.642706125646334e-21,1.0,0.5000282526016235,0.8262901306152344,0.0,0.16333993643862238,0.0,36.63407897949219,4.1748762130737305,10.0
2600,14,0.07640945166349411,0.03716610372066498,0.7013037800788879,0.03725185679892699,0.7034135709206263,9.642706125646334e-21,1.0,0.5000282526016235,0.8262901306152344,0.0,0.10821439055656362,0.0,39.99014663696289,4.190640449523926,10.0
2800,15,0.07524892687797546,0.03623988479375839,0.6998785734176636,0.0366112282499671,0.6999218116203944,9.642706125646334e-21,1.0,0.5000282526016235,0.8262901306152344,0.0,0.08341906165512698,0.0,37.818843841552734,4.159702301025391,10.0
3000,16,0.07641597092151642,0.03680233657360077,0.6926308870315552,0.036437300965189934,0.6991077760855356,9.642706125646334e-21,1.0,0.5000282526016235,0.8262901306152344,0.0,0.07706207401723213,0.0,36.58370590209961,4.168339252471924,10.0
3200,18,0.07609705626964569,0.036808691918849945,0.7048608064651489,0.03671505550543467,0.7047741860151291,9.642706125646334e-21,1.0,0.5000282526016235,0.8262901306152344,0.0,0.05518437587291866,0.0,38.361934661865234,4.2417988777160645,10.0
3400,19,0.07601021230220795,0.03601456433534622,0.7022377848625183,0.035836924177904926,0.705423966050148,9.642706125646334e-21,1.0,0.5000282526016235,0.8262901306152344,0.0,0.1724681837493635,0.0,38.290523529052734,4.227783203125,10.0
3600,20,0.07553273439407349,0.03575296327471733,0.7060211896896362,0.035729125452538334,0.7080888599157333,9.642706125646334e-21,1.0,0.5000282526016235,0.8262901306152344,0.0,0.061631021085645166,0.0,38.38279342651367,4.244024276733398,10.0
3800,21,0.07654039561748505,0.03676252067089081,0.6958378553390503,0.036124653493364654,0.7019410183032354,9.642706125646334e-21,1.0,0.5000282526016235,0.8262901306152344,0.0,0.13629115230697228,0.0,40.53044509887695,4.183279991149902,10.0
4000,22,0.07412578910589218,0.035243578255176544,0.7078691720962524,0.035937401466071606,0.7076952407757441,9.642706125646334e-21,1.0,0.5000282526016235,0.8262901306152344,0.0,0.13437452159470437,0.0,39.007389068603516,4.1283464431762695,10.0
