step,phase,epoch,loss,train_mse,train_ssim,val_mse,val_ssim,H_t_min,H_t_max,H_t_mean,H_t_binary_fraction,grad_norm_W,grad_norm_inverse,detector_min,detector_max,detector_mean,sigmoid_m
500,inverse_warmup_m1,6,0.073631651699543,0.03292587399482727,0.7182485461235046,0.034593227008978523,0.7099813024202982,0.009865387342870235,0.990330696105957,0.4997187852859497,0.028219223022460938,0.0,0.16572081032595595,-0.0005435672355815768,34.259517669677734,4.141633987426758,1.0
1000,inverse_warmup_m1,11,0.05590806156396866,0.022433867678046227,0.79103684425354,0.023638094154496987,0.7840248942375183,0.009865387342870235,0.990330696105957,0.4997187852859497,0.028219223022460938,0.0,0.13881636059392802,-0.0004953999305143952,32.78767776489258,4.172590255737305,1.0
1500,inverse_warmup_m1,16,0.049788057804107666,0.01823977380990982,0.8299828767776489,0.019510855277379353,0.8210088759660721,0.009865387342870235,0.990330696105957,0.4997187852859497,0.028219223022460938,0.0,0.22575932451624897,-0.00030236062593758106,33.152042388916016,4.18808650970459,1.0
2000,inverse_warmup_m1,22,0.048063308000564575,0.01648366078734398,0.8448789715766907,0.017976101022213697,0.8344267507394155,0.009865387342870235,0.990330696105957,0.4997187852859497,0.028219223022460938,0.0,0.3185815710222828,-0.00030612945556640625,34.080413818359375,4.249932289123535,1.0
2500,inverse_warmup_m1,27,0.045396432280540466,0.015403996221721172,0.8540815711021423,0.016681679679701727,0.8456027209758759,0.009865387342870235,0.990330696105957,0.4997187852859497,0.028219223022460938,0.0,0.16145767795897722,-0.0003505086060613394,34.514827728271484,4.236790180206299,1.0
3000,inverse_warmup_m1,32,0.04289095103740692,0.01441042497754097,0.8604663610458374,0.016268930087486904,0.8482828885316849,0.009865387342870235,0.990330696105957,0.4997187852859497,0.028219223022460938,0.0,0.10999151874076354,-0.0003385536838322878,32.87226867675781,4.147834777832031,1.0
3500,joint_soft_m1,6,0.025696642696857452,0.005683413241058588,0.9427956342697144,0.005784481142958005,0.9421226233243942,4.285539978443609e-10,1.0,0.5224617719650269,0.9900894165039062,5.458397481561406e-06,0.057173201759654284,-0.00034927192609757185,48.20039749145508,4.388020038604736,1.0
4000,joint_soft_m1,11,0.02251061424612999,0.004432567860931158,0.9565664529800415,0.004651661613024771,0.954284076889356,9.278361499248655e-13,1.0,0.5225456953048706,0.9950084686279297,4.054199962411076e-06,0.0806780391833741,-0.0004955426556989551,47.70307540893555,4.423050880432129,1.0
4500,joint_soft_m1,16,0.021330274641513824,0.004116886295378208,0.9582740068435669,0.00437171869756033,0.9559342314799627,9.278361499248655e-13,1.0,0.5214792490005493,0.9972724914550781,3.179537088726647e-06,0.0812146950682548,-0.0003561369376257062,44.038970947265625,4.395148754119873,1.0
5000,joint_soft_m1,22,0.020191524177789688,0.003506232285872102,0.9656322002410889,0.003806056745816022,0.9628147234519323,4.900386127155813e-14,1.0,0.5208207368850708,0.9982433319091797,2.616987330839038e-06,0.03327951124428208,-0.00035837653558701277,43.66227722167969,4.4048614501953125,1.0
