run_id,seed,photon_count,sigma_read,pattern_mode,test_mse,test_ssim,H_t_binary_fraction,pattern_delta,source
patchmnist_noise_random_fixed_pc10_sr0p0_seed42,42,10.0,0.0,random_fixed,0.020766644428173702,0.8099348247051239,0.76873779296875,0.0,table01 (frozen)
patchmnist_noise_learnable_frequency_pc10_sr0p0_seed42,42,10.0,0.0,learnable_frequency,0.006431430811062455,0.9340930879116058,0.8329792022705078,0.33772557973861694,table01 (frozen)
patchmnist_noise_learnable_spatial_pc10_sr0p0_seed42,42,10.0,0.0,learnable_spatial,0.004931038750025134,0.9481597443421682,1.0,0.44035792350769043,this study
patchmnist_noise_random_fixed_pc10_sr6p0_seed42,42,10.0,6.0,random_fixed,0.023030191659927368,0.7888973653316498,0.76873779296875,0.0,table01 (frozen)
patchmnist_noise_random_fixed_pc10_sr6p0_seed43,43,10.0,6.0,random_fixed,0.02243970613926649,0.7959640870491663,0.7691383361816406,0.0,table01 (frozen)
patchmnist_noise_random_fixed_pc10_sr6p0_seed44,44,10.0,6.0,random_fixed,0.0232219483392934,0.7870514442523321,0.7681179046630859,0.0,table01 (frozen)
patchmnist_noise_learnable_frequency_pc10_sr6p0_seed42,42,10.0,6.0,learnable_frequency,0.007416502611401181,0.9217236191034317,0.8414058685302734,0.34159305691719055,table01 (frozen)
patchmnist_noise_learnable_frequency_pc10_sr6p0_seed43,43,10.0,6.0,learnable_frequency,0.007403512640545766,0.9212977737188339,0.84124755859375,0.3426414728164673,table01 (frozen)
patchmnist_noise_learnable_frequency_pc10_sr6p0_seed44,44,10.0,6.0,learnable_frequency,0.00741340914585938,0.9208884090185165,0.8392868041992188,0.3408437967300415,table01 (frozen)
patchmnist_noise_learnable_spatial_pc10_sr6p0_seed42,42,10.0,6.0,learnable_spatial,0.005717263479406635,0.9376760522524515,1.0,0.44273990392684937,this study
patchmnist_noise_learnable_spatial_pc10_sr6p0_seed43,43,10.0,6.0,learnable_spatial,0.0057046580671643215,0.9372402230898539,1.0,0.4443086087703705,this study
patchmnist_noise_learnable_spatial_pc10_sr6p0_seed44,44,10.0,6.0,learnable_spatial,0.005700310381750266,0.9374190668265024,1.0,0.44256800413131714,this study
patchmnist_noise_random_fixed_pc10000_sr0p0_seed42,42,10000.0,0.0,random_fixed,0.010884614894166589,0.8936946739753088,0.76873779296875,0.0,table01 (frozen)
patchmnist_noise_learnable_frequency_pc10000_sr0p0_seed42,42,10000.0,0.0,learnable_frequency,0.0030056517377185323,0.9696217526992162,0.7172412872314453,0.2880561649799347,table01 (frozen)
patchmnist_noise_learnable_spatial_pc10000_sr0p0_seed42,42,10000.0,0.0,learnable_spatial,0.0029411710565909743,0.9705042243003845,1.0,0.43074285984039307,this study
patchmnist_noise_random_fixed_pc10000_sr6p0_seed42,42,10000.0,6.0,random_fixed,0.010972827828178803,0.8938902616500854,0.76873779296875,0.0,table01 (frozen)
patchmnist_noise_learnable_frequency_pc10000_sr6p0_seed42,42,10000.0,6.0,learnable_frequency,0.0031575608106019595,0.9682308981815974,0.7165393829345703,0.2864300012588501,table01 (frozen)
patchmnist_noise_learnable_spatial_pc10000_sr6p0_seed42,42,10000.0,6.0,learnable_spatial,0.0029338431001330414,0.9708756854136785,1.0,0.4307253956794739,this study
