step,phase,m,loss,train_mse,val_mse,val_ssim,grad_norm_illum,grad_norm_upsampler,grad_norm_recon,H_t_min,H_t_max,H_t_mean,H_t_std,H_t_binary_fraction,illum_l2,illum_delta
200,inverse_warmup,1.0,0.03456989675760269,0.007549844682216644,0.010425782296806574,0.7735380530357361,0.0,0.019573358818888664,0.5870136088973175,0.010045974515378475,0.990330696105957,0.4999280571937561,0.20856866240501404,0.028331756591796875,131365.10976663476,0.0
400,inverse_warmup,1.0,0.02276228740811348,0.0028638639487326145,0.0029945840360596776,0.8736417889595032,0.0,0.01831306703388691,0.13848870694635934,0.010045974515378475,0.990330696105957,0.4999280571937561,0.20856866240501404,0.028331756591796875,131365.10976663476,0.0
600,inverse_warmup,1.0,0.021637773141264915,0.002268225187435746,0.002534005092456937,0.8783093988895416,0.0,0.024238673970103264,0.4374231928367835,0.010045974515378475,0.990330696105957,0.4999280571937561,0.20856866240501404,0.028331756591796875,131365.10976663476,0.0
800,inverse_warmup,1.0,0.026308268308639526,0.0031069153919816017,0.009865769650787115,0.6881517767906189,0.0,0.020851504057645798,0.6197450671375272,0.010045974515378475,0.990330696105957,0.4999280571937561,0.20856866240501404,0.028331756591796875,131365.10976663476,0.0
1000,inverse_warmup,1.0,0.018320973962545395,0.0016688269097357988,0.001725668553262949,0.9004711508750916,0.0,0.01715182699263096,0.25074986405228356,0.010045974515378475,0.990330696105957,0.4999280571937561,0.20856866240501404,0.028331756591796875,131365.10976663476,0.0
1200,inverse_warmup,1.0,0.022170206531882286,0.0021587470546364784,0.0015205564559437335,0.9020428359508514,0.0,0.018799155950546265,0.359676709529135,0.010045974515378475,0.990330696105957,0.4999280571937561,0.20856866240501404,0.028331756591796875,131365.10976663476,0.0
1400,inverse_warmup,1.0,0.018661927431821823,0.0016189866000786424,0.0018872771179303527,0.8892163038253784,0.0,0.008944908156991005,0.1573788899271044,0.010045974515378475,0.990330696105957,0.4999280571937561,0.20856866240501404,0.028331756591796875,131365.10976663476,0.0
1600,joint_soft,1.0,0.018015703186392784,0.0014607012271881104,0.0014042856055311859,0.9006519317626953,1.239891531668036e-07,0.005187694448977709,0.17064239182445193,0.010051187127828598,0.9903290271759033,0.4999336004257202,0.20857124030590057,0.028331756591796875,131367.07410915414,1.964342519378988
1800,joint_soft,1.0,0.015940792858600616,0.0012458211276680231,0.001850371714681387,0.8989135026931763,1.6710718853119033e-07,0.005222474690526724,0.0906459973451339,0.010051031596958637,0.9903305768966675,0.49991610646247864,0.2085760235786438,0.028324127197265625,131370.48825364088,5.378487006120849
2000,joint_soft,1.0,0.015510300174355507,0.0011630314402282238,0.0012184837250970304,0.9072923958301544,4.138879035053833e-07,0.010094105266034603,0.1181964677227384,0.010054651647806168,0.990331768989563,0.49990057945251465,0.2085813581943512,0.028324127197265625,131374.2530635284,9.143296893627848
