step,phase,m,loss,train_mse,val_mse,val_ssim,grad_norm_illum,grad_norm_upsampler,grad_norm_recon,H_t_min,H_t_max,H_t_mean,H_t_std,H_t_binary_fraction,illum_l2,illum_delta
200,inverse_warmup,1.0,0.038360126316547394,0.008839068002998829,0.010647878050804138,0.8163667619228363,0.0,0.020492620766162872,0.5251621889909139,0.010045968927443027,0.990330696105957,0.4999280869960785,0.20856866240501404,0.028331756591796875,513.144960025917,0.0
400,inverse_warmup,1.0,0.023808814585208893,0.003004904370754957,0.002825911622494459,0.874908983707428,0.0,0.01606961339712143,0.7234999728652693,0.010045968927443027,0.990330696105957,0.4999280869960785,0.20856866240501404,0.028331756591796875,513.144960025917,0.0
600,inverse_warmup,1.0,0.02275509014725685,0.002508631907403469,0.00380032230168581,0.8324068188667297,0.0,0.013499362394213676,0.32779934351435897,0.010045968927443027,0.990330696105957,0.4999280869960785,0.20856866240501404,0.028331756591796875,513.144960025917,0.0
800,inverse_warmup,1.0,0.02039586752653122,0.0018377075903117657,0.0037637080531567335,0.8581037521362305,0.0,0.008285120129585266,0.1882581030489499,0.010045968927443027,0.990330696105957,0.4999280869960785,0.20856866240501404,0.028331756591796875,513.144960025917,0.0
1000,inverse_warmup,1.0,0.019516780972480774,0.0016967281699180603,0.00160493073053658,0.8995861411094666,0.0,0.015110315755009651,0.2791681571904185,0.010045968927443027,0.990330696105957,0.4999280869960785,0.20856866240501404,0.028331756591796875,513.144960025917,0.0
1200,inverse_warmup,1.0,0.022701391950249672,0.0022856297437101603,0.0015835744561627507,0.9031596779823303,0.0,0.015140281990170479,0.36812022888749796,0.010045968927443027,0.990330696105957,0.4999280869960785,0.20856866240501404,0.028331756591796875,513.144960025917,0.0
1400,inverse_warmup,1.0,0.018360447138547897,0.0016381250461563468,0.0019272781792096794,0.8974614441394806,0.0,0.010605442337691784,0.15171604195211857,0.010045968927443027,0.990330696105957,0.4999280869960785,0.20856866240501404,0.028331756591796875,513.144960025917,0.0
1600,joint_soft,1.0,0.018472639843821526,0.0015099250013008714,0.0030621786136180162,0.8851413130760193,3.4679078453336842e-06,0.008336219936609268,0.23700303546404575,1.033388343785191e-05,0.999982476234436,0.6747019290924072,0.4457167983055115,0.9637298583984375,2413.1329221574183,1899.9879621315013
1800,joint_soft,1.0,0.01681370846927166,0.0013246661983430386,0.0013212724588811398,0.9062039852142334,1.188694113807287e-06,0.00726031418889761,0.10275373618060865,1.2239435420724476e-07,0.9999996423721313,0.6707231998443604,0.46001413464546204,0.9940071105957031,2762.128436550335,2248.983476524418
2000,joint_soft,1.0,0.015422409400343895,0.0011361164506524801,0.0011920765391550958,0.9125515520572662,1.3293862366481335e-06,0.0055612665601074696,0.14703483952669458,1.624654161203054e-10,1.0,0.6653087735176086,0.4636819660663605,0.9927864074707031,2941.5553708879934,2428.4104108620763
2200,joint_soft,1.0,0.0165144931524992,0.0013402510667219758,0.0012553256237879395,0.8997231423854828,1.496603545092512e-06,0.01986761949956417,0.33821735920170265,1.6092308041670833e-10,1.0,0.6605266332626343,0.4674970805644989,0.9956893920898438,3115.062439181597,2601.9174791556798
2400,joint_soft,1.0,0.018743745982646942,0.0013518368359655142,0.00155297591118142,0.9039567410945892,1.6826451201268355e-06,0.017769861966371536,0.39711921563574254,1.6092308041670833e-10,1.0,0.6523486971855164,0.47041746973991394,0.9943313598632812,3231.733590505257,2718.58863047934
2600,joint_soft,1.0,0.015421192161738873,0.0010350283700972795,0.0011520879925228655,0.9155781269073486,9.766301900526742e-07,0.007237685844302177,0.12373135803505307,2.1132122093869832e-11,1.0,0.6453283429145813,0.4736239016056061,0.9955902099609375,3375.3574625511887,2862.2125025252717
