step,phase,m,loss,train_mse,val_mse,val_ssim,grad_norm_illum,grad_norm_upsampler,grad_norm_recon,H_t_min,H_t_max,H_t_mean,H_t_std,H_t_binary_fraction,illum_l2,illum_delta
200,inverse_warmup,1.0,0.10002148151397705,0.056404031813144684,0.0648579088350137,0.5229108979304632,0.0,0.04518535061121346,0.2137931276738877,0.010045974515378475,0.990330696105957,0.4999280571937561,0.20856866240501404,0.028331756591796875,131365.10976663476,0.0
400,inverse_warmup,1.0,0.08694310486316681,0.044068656861782074,0.045180621556937695,0.6453945835431417,0.0,0.10693735917604016,0.47365677017557173,0.010045974515378475,0.990330696105957,0.4999280571937561,0.20856866240501404,0.028331756591796875,131365.10976663476,0.0
600,inverse_warmup,1.0,0.08133701235055923,0.03967071697115898,0.041039407874147095,0.6757372121016184,0.0,0.11806635310183265,0.11618501310666188,0.010045974515378475,0.990330696105957,0.4999280571937561,0.20856866240501404,0.028331756591796875,131365.10976663476,0.0
800,inverse_warmup,1.0,0.0800015777349472,0.03842050954699516,0.03799184784293175,0.6874547402064005,0.0,0.08601474403913463,0.1807332076716957,0.010045974515378475,0.990330696105957,0.4999280571937561,0.20856866240501404,0.028331756591796875,131365.10976663476,0.0
1000,inverse_warmup,1.0,0.07986293733119965,0.0384514182806015,0.0389100049311916,0.6861084798971812,0.0,0.14706615900321623,0.1796559665121937,0.010045974515378475,0.990330696105957,0.4999280571937561,0.20856866240501404,0.028331756591796875,131365.10976663476,0.0
1200,inverse_warmup,1.0,0.07877743244171143,0.03738173842430115,0.037356591473023094,0.6938141683737437,0.0,0.0995295086581245,0.09925424318919294,0.010045974515378475,0.990330696105957,0.4999280571937561,0.20856866240501404,0.028331756591796875,131365.10976663476,0.0
1400,inverse_warmup,1.0,0.07762132585048676,0.03733423724770546,0.03721218928694725,0.6918969452381134,0.0,0.06582842459872715,0.10928488464065703,0.010045974515378475,0.990330696105957,0.4999280571937561,0.20856866240501404,0.028331756591796875,131365.10976663476,0.0
1600,joint_soft,1.0,0.07920985668897629,0.037954702973365784,0.03706003942837318,0.6968400528033575,1.7151762676803628e-07,0.4112917842308028,0.2693589311053612,0.01003078743815422,0.9903185367584229,0.499955415725708,0.2085181623697281,0.0283050537109375,131328.85769700428,36.252069630485494
1800,joint_soft,1.0,0.07942018657922745,0.038359083235263824,0.036970493694146477,0.6972102125485738,1.961580693432552e-07,0.1891412365484778,0.15161362558991456,0.009995421394705772,0.990292489528656,0.5000154972076416,0.2084217667579651,0.028228759765625,131259.97458479108,105.1351818436815
2000,joint_soft,1.0,0.07563571631908417,0.03630173206329346,0.03709158146133026,0.6969453990459442,1.6985035244942992e-07,0.24781437291233746,0.16829343414035405,0.009948941878974438,0.9902614951133728,0.5000687837600708,0.20833426713943481,0.028179168701171875,131196.6516645909,168.45810204386362
2200,joint_soft,1.0,0.07650373131036758,0.03660646080970764,0.036738825030624866,0.6990268528461456,1.936279545589059e-07,0.08233419959568439,0.07248246233763556,0.00988679938018322,0.9902224540710449,0.5001148581504822,0.20825456082820892,0.02812957763671875,131137.6944741671,227.41529246766004
2400,joint_soft,1.0,0.07648906111717224,0.03660861775279045,0.03609043018271526,0.7040064831574758,2.5316754204141034e-07,0.17634365287067305,0.13858674699955903,0.00979665294289589,0.9901688098907471,0.5001534223556519,0.20817850530147552,0.0281524658203125,131079.1560546527,285.95371198205976
2600,joint_soft,1.0,0.07643185555934906,0.036588817834854126,0.036183529533445835,0.704442615310351,3.630408684784925e-07,0.31465007128770683,0.20396800509207869,0.009663999080657959,0.9900949001312256,0.5001811981201172,0.20809338986873627,0.02802276611328125,131010.0400427387,355.06972389605653
2800,joint_soft,1.0,0.07370001077651978,0.03477630391716957,0.035268449845413365,0.7112526893615723,6.290183023338614e-07,0.2954907567063414,0.16160161860963027,0.009463400579988956,0.9899948835372925,0.5001939535140991,0.20796163380146027,0.027965545654296875,130900.58322253572,464.5265440990479
