step,phase,m,loss,train_mse,val_mse,val_ssim,grad_norm_illum,grad_norm_upsampler,grad_norm_recon,H_t_min,H_t_max,H_t_mean,H_t_std,H_t_binary_fraction,illum_l2,illum_delta
200,inverse_warmup,1.0,0.09838294237852097,0.053009700030088425,0.05449101856599251,0.5775240610043207,0.0,0.01626509614288807,0.13364520107548458,0.011310596950352192,0.9884657859802246,0.4999101758003235,0.2083292007446289,0.027744293212890625,511.8962907660105,0.0
400,inverse_warmup,1.0,0.08460761606693268,0.041666071861982346,0.04190607865651449,0.6528408527374268,0.0,0.02206422947347164,0.14810894951220432,0.011310596950352192,0.9884657859802246,0.4999101758003235,0.2083292007446289,0.027744293212890625,511.8962907660105,0.0
600,inverse_warmup,1.0,0.07537814974784851,0.0343555323779583,0.03540656560411056,0.6997747868299484,0.0,0.03088306076824665,0.15711793368111932,0.011310596950352192,0.9884657859802246,0.4999101758003235,0.2083292007446289,0.027744293212890625,511.8962907660105,0.0
800,inverse_warmup,1.0,0.07009409368038177,0.031333450227975845,0.031944328298171364,0.7236717144648234,0.0,0.035371147096157074,0.1551296337246735,0.011310596950352192,0.9884657859802246,0.4999101758003235,0.2083292007446289,0.027744293212890625,511.8962907660105,0.0
1000,inverse_warmup,1.0,0.0673292726278305,0.02970479428768158,0.030837642184148233,0.7354778200387955,0.0,0.03799975663423538,0.38704029890051866,0.011310596950352192,0.9884657859802246,0.4999101758003235,0.2083292007446289,0.027744293212890625,511.8962907660105,0.0
1200,inverse_warmup,1.0,0.06591786444187164,0.029458316043019295,0.029175260725120705,0.7458513726790746,0.0,0.0384351909160614,0.12511062476589735,0.011310596950352192,0.9884657859802246,0.4999101758003235,0.2083292007446289,0.027744293212890625,511.8962907660105,0.0
1400,inverse_warmup,1.0,0.06306673586368561,0.027629129588603973,0.028361861128360033,0.7534104237953821,0.0,0.036192744970321655,0.15520947192671627,0.011310596950352192,0.9884657859802246,0.4999101758003235,0.2083292007446289,0.027744293212890625,511.8962907660105,0.0
1600,joint_soft,1.0,0.044563714414834976,0.015428390353918076,0.01492190818923215,0.8580339401960373,1.1652486136881635e-05,0.010884926654398441,0.07362444439804199,1.9067765606450848e-06,0.9999996423721313,0.5369158387184143,0.4854946434497833,0.9620132446289062,3295.234589524697,2783.3382987586865
1800,joint_soft,1.0,0.035848282277584076,0.010760405100882053,0.010928961525981625,0.8950919409592947,7.98645578470314e-06,0.01164613664150238,0.13434903103268217,2.392896325531524e-09,1.0,0.5396451950073242,0.49130937457084656,0.9848060607910156,3476.315865970755,2964.4195752047444
2000,joint_soft,1.0,0.033393386751413345,0.00928055215626955,0.009637409277881185,0.9103023807207743,6.391469923983095e-06,0.01185467280447483,0.11286101181876301,7.228777576528955e-10,1.0,0.539064884185791,0.49328967928886414,0.9906883239746094,3616.230910768835,3104.3346200028245
