step,phase,m,loss,train_mse,val_mse,val_ssim,grad_norm_illum,grad_norm_upsampler,grad_norm_recon,H_t_min,H_t_max,H_t_mean,H_t_std,H_t_binary_fraction,illum_l2,illum_delta,H_t_displacement,tau_displacement,illum_frozen
200,inverse_warmup_m1,1.0,0.10314010083675385,0.05722480267286301,0.05813164822757244,0.5129332145055135,0.0,0.017828943207859993,0.16376400241776315,0.010045988485217094,0.990330696105957,0.4999280571937561,0.20856863260269165,0.028331756591796875,131365.09417649728,0.0,0.0,0.0,1
400,inverse_warmup_m1,1.0,0.0885671079158783,0.0440978966653347,0.04516063382228216,0.6089405516783396,0.0,0.020741553977131844,0.13973563223855107,0.010045988485217094,0.990330696105957,0.4999280571937561,0.20856863260269165,0.028331756591796875,131365.09417649728,0.0,0.0,0.0,1
600,inverse_warmup_m1,1.0,0.08069219440221786,0.03850112482905388,0.03871990988651911,0.6655306965112686,0.0,0.027367003262043,0.13784792243183389,0.010045988485217094,0.990330696105957,0.4999280571937561,0.20856863260269165,0.028331756591796875,131365.09417649728,0.0,0.0,0.0,1
800,inverse_warmup_m1,1.0,0.07516950368881226,0.03433464094996452,0.03500728898992141,0.702735091249148,0.0,0.03418450430035591,0.12536973271586488,0.010045988485217094,0.990330696105957,0.4999280571937561,0.20856863260269165,0.028331756591796875,131365.09417649728,0.0,0.0,0.0,1
1000,inverse_warmup_m1,1.0,0.0709923505783081,0.032029978930950165,0.032559389558931194,0.7206443647543589,0.0,0.037232693284749985,0.12166762247420607,0.010045988485217094,0.990330696105957,0.4999280571937561,0.20856863260269165,0.028331756591796875,131365.09417649728,0.0,0.0,0.0,1
1200,inverse_warmup_m1,1.0,0.06914970278739929,0.030512291938066483,0.03163108229637146,0.726592813928922,0.0,0.03628116473555565,0.1405120715652095,0.010045988485217094,0.990330696105957,0.4999280571937561,0.20856863260269165,0.028331756591796875,131365.09417649728,0.0,0.0,0.0,1
1400,inverse_warmup_m1,1.0,0.06596814095973969,0.029573123902082443,0.02956970703477661,0.7402748912572861,0.0,0.04025647044181824,0.09333571021403976,0.010045988485217094,0.990330696105957,0.4999280571937561,0.20856863260269165,0.028331756591796875,131365.09417649728,0.0,0.0,0.0,1
1600,inverse_warmup_m1,1.0,0.06567490845918655,0.029274113476276398,0.030115251584599417,0.7418366918961207,0.0,0.038510024547576904,0.13848579159669067,0.010045988485217094,0.990330696105957,0.4999280571937561,0.20856863260269165,0.028331756591796875,131365.09417649728,0.0,0.0,0.0,1
1800,inverse_warmup_m1,1.0,0.06359589099884033,0.027336817234754562,0.028337241616100073,0.7521494925022125,0.0,0.03595010191202164,0.0828486110469705,0.010045988485217094,0.990330696105957,0.4999280571937561,0.20856863260269165,0.028331756591796875,131365.09417649728,0.0,0.0,0.0,1
2000,inverse_warmup_m1,1.0,0.06343801319599152,0.0271112322807312,0.028186758048832417,0.7558841854333878,0.0,0.037032246589660645,0.11065804169871948,0.010045988485217094,0.990330696105957,0.4999280571937561,0.20856863260269165,0.028331756591796875,131365.09417649728,0.0,0.0,0.0,1
2200,inverse_warmup_m1,1.0,0.06197620928287506,0.026537355035543442,0.027945231491078932,0.7587906022866567,0.0,0.03584541752934456,0.12594886986867934,0.010045988485217094,0.990330696105957,0.4999280571937561,0.20856863260269165,0.028331756591796875,131365.09417649728,0.0,0.0,0.0,1
2400,inverse_warmup_m1,1.0,0.06184161454439163,0.02682529389858246,0.0277428876919051,0.7607233623663584,0.0,0.03794866055250168,0.10763651835709005,0.010045988485217094,0.990330696105957,0.4999280571937561,0.20856863260269165,0.028331756591796875,131365.09417649728,0.0,0.0,0.0,1
2600,inverse_warmup_m1,1.0,0.06107712164521217,0.02619548887014389,0.02722910838201642,0.7641515135765076,0.0,0.036464959383010864,0.10962989867281392,0.010045988485217094,0.990330696105957,0.4999280571937561,0.20856863260269165,0.028331756591796875,131365.09417649728,0.0,0.0,0.0,1
2800,inverse_warmup_m1,1.0,0.05986737087368965,0.02521708980202675,0.026590183687706787,0.7667356232802073,0.0,0.03613899275660515,0.06695832945965938,0.010045988485217094,0.990330696105957,0.4999280571937561,0.20856863260269165,0.028331756591796875,131365.09417649728,0.0,0.0,0.0,1
3000,inverse_warmup_m1,1.0,0.05929721146821976,0.025325709953904152,0.02615820352608959,0.7690037190914154,0.0,0.036762598901987076,0.10050565416546821,0.010045988485217094,0.990330696105957,0.4999280571937561,0.20856863260269165,0.028331756591796875,131365.09417649728,0.0,0.0,0.0,1
3200,inverse_warmup_m1,1.0,0.058550916612148285,0.02489861100912094,0.026366269060721,0.7676583677530289,0.0,0.036115292459726334,0.09872945507493809,0.010045988485217094,0.990330696105957,0.4999280571937561,0.20856863260269165,0.028331756591796875,131365.09417649728,0.0,0.0,0.0,1
3400,inverse_warmup_m1,1.0,0.06060273200273514,0.026254022493958473,0.026204656964788835,0.76692995429039,0.0,0.033915501087903976,0.18094753965411528,0.010045988485217094,0.990330696105957,0.4999280571937561,0.20856863260269165,0.028331756591796875,131365.09417649728,0.0,0.0,0.0,1
3600,inverse_warmup_m1,1.0,0.05893637239933014,0.0248631052672863,0.025956145953387022,0.7709424992402395,0.0,0.03577561303973198,0.13331356778041925,0.010045988485217094,0.990330696105957,0.4999280571937561,0.20856863260269165,0.028331756591796875,131365.09417649728,0.0,0.0,0.0,1
3800,inverse_warmup_m1,1.0,0.059245601296424866,0.025670263916254044,0.026121228312452633,0.7732634842395782,0.0,0.03719539940357208,0.1418751218327996,0.010045988485217094,0.990330696105957,0.4999280571937561,0.20856863260269165,0.028331756591796875,131365.09417649728,0.0,0.0,0.0,1
