step,phase,m,loss,train_mse,val_mse,val_ssim,grad_norm_illum,grad_norm_upsampler,grad_norm_recon,H_t_min,H_t_max,H_t_mean,H_t_std,H_t_binary_fraction,illum_l2,illum_delta,H_t_displacement,tau_displacement,illum_frozen
200,inverse_warmup_m1,1.0,0.10453261435031891,0.05872197076678276,0.060287470618883766,0.5243645111719767,0.0,0.02042350172996521,0.4892829702500556,0.010045968927443027,0.990330696105957,0.4999280869960785,0.20856866240501404,0.028331756591796875,513.144960025917,0.0,0.0,0.0,1
400,inverse_warmup_m1,1.0,0.08863721042871475,0.04469854384660721,0.04484669677913189,0.6207617421944936,0.0,0.019917728379368782,0.12097702365150373,0.010045968927443027,0.990330696105957,0.4999280869960785,0.20856866240501404,0.028331756591796875,513.144960025917,0.0,0.0,0.0,1
600,inverse_warmup_m1,1.0,0.08115939795970917,0.039545029401779175,0.03842026460915804,0.675109843413035,0.0,0.028246639296412468,0.23465743264764952,0.010045968927443027,0.990330696105957,0.4999280869960785,0.20856866240501404,0.028331756591796875,513.144960025917,0.0,0.0,0.0,1
800,inverse_warmup_m1,1.0,0.07543965429067612,0.03465541452169418,0.034113047954936825,0.7036484181880951,0.0,0.03483467549085617,0.21051573959280276,0.010045968927443027,0.990330696105957,0.4999280869960785,0.20856866240501404,0.028331756591796875,513.144960025917,0.0,0.0,0.0,1
1000,inverse_warmup_m1,1.0,0.07098213583230972,0.03237735480070114,0.03252290499707063,0.7191005498170853,0.0,0.03836340457201004,0.17927415570304012,0.010045968927443027,0.990330696105957,0.4999280869960785,0.20856866240501404,0.028331756591796875,513.144960025917,0.0,0.0,0.0,1
1200,inverse_warmup_m1,1.0,0.06931829452514648,0.03157981485128403,0.03137094217042128,0.7335448314746221,0.0,0.03954574465751648,0.20348423018928777,0.010045968927443027,0.990330696105957,0.4999280869960785,0.20856866240501404,0.028331756591796875,513.144960025917,0.0,0.0,0.0,1
1400,inverse_warmup_m1,1.0,0.06643340736627579,0.029781170189380646,0.03069481315712134,0.7304612745841345,0.0,0.03692404553294182,0.2552712306215839,0.010045968927443027,0.990330696105957,0.4999280869960785,0.20856866240501404,0.028331756591796875,513.144960025917,0.0,0.0,0.0,1
1600,inverse_warmup_m1,1.0,0.06530579924583435,0.02822699025273323,0.029699796500305336,0.7422397683064142,0.0,0.03790615499019623,0.1564306891947595,0.010045968927443027,0.990330696105957,0.4999280869960785,0.20856866240501404,0.028331756591796875,513.144960025917,0.0,0.0,0.0,1
1800,inverse_warmup_m1,1.0,0.0638774111866951,0.02825270965695381,0.029056986793875694,0.7487509548664093,0.0,0.03656576946377754,0.25272956987009976,0.010045968927443027,0.990330696105957,0.4999280869960785,0.20856866240501404,0.028331756591796875,513.144960025917,0.0,0.0,0.0,1
2000,inverse_warmup_m1,1.0,0.06398186832666397,0.027483075857162476,0.02804306661710143,0.754311258594195,0.0,0.03645766153931618,0.13869863788325812,0.010045968927443027,0.990330696105957,0.4999280869960785,0.20856866240501404,0.028331756591796875,513.144960025917,0.0,0.0,0.0,1
2200,inverse_warmup_m1,1.0,0.06228315085172653,0.02685340866446495,0.027607785382618506,0.7593786269426346,0.0,0.03742821142077446,0.1454765981196087,0.010045968927443027,0.990330696105957,0.4999280869960785,0.20856866240501404,0.028331756591796875,513.144960025917,0.0,0.0,0.0,1
2400,inverse_warmup_m1,1.0,0.0617845356464386,0.026337755843997,0.027633728925138712,0.7613168110450109,0.0,0.037234921008348465,0.10640091895530736,0.010045968927443027,0.990330696105957,0.4999280869960785,0.20856866240501404,0.028331756591796875,513.144960025917,0.0,0.0,0.0,1
2600,inverse_warmup_m1,1.0,0.06117420643568039,0.025756876915693283,0.026980632139990728,0.7606976826985677,0.0,0.03612643480300903,0.11344692308303986,0.010045968927443027,0.990330696105957,0.4999280869960785,0.20856866240501404,0.028331756591796875,513.144960025917,0.0,0.0,0.0,1
2800,inverse_warmup_m1,1.0,0.06048538535833359,0.025657914578914642,0.026974072214215994,0.7663508206605911,0.0,0.03653053566813469,0.10809816145706881,0.010045968927443027,0.990330696105957,0.4999280869960785,0.20856866240501404,0.028331756591796875,513.144960025917,0.0,0.0,0.0,1
3000,inverse_warmup_m1,1.0,0.059637170284986496,0.025414559990167618,0.02701915443564455,0.7624906500180563,0.0,0.03652742877602577,0.1613694151093351,0.010045968927443027,0.990330696105957,0.4999280869960785,0.20856866240501404,0.028331756591796875,513.144960025917,0.0,0.0,0.0,1
3200,inverse_warmup_m1,1.0,0.05934897065162659,0.024594366550445557,0.026618462211141985,0.7684385379155477,0.0,0.035164084285497665,0.1853661154998582,0.010045968927443027,0.990330696105957,0.4999280869960785,0.20856866240501404,0.028331756591796875,513.144960025917,0.0,0.0,0.0,1
3400,inverse_warmup_m1,1.0,0.05999328941106796,0.0257449708878994,0.02613299945369363,0.7703278859456381,0.0,0.03673410415649414,0.12125659575693228,0.010045968927443027,0.990330696105957,0.4999280869960785,0.20856866240501404,0.028331756591796875,513.144960025917,0.0,0.0,0.0,1
3600,inverse_warmup_m1,1.0,0.05842865630984306,0.024715540930628777,0.02580815569187204,0.7732537935177485,0.0,0.03624850511550903,0.10496785220761827,0.010045968927443027,0.990330696105957,0.4999280869960785,0.20856866240501404,0.028331756591796875,513.144960025917,0.0,0.0,0.0,1
3800,inverse_warmup_m1,1.0,0.058934345841407776,0.025113966315984726,0.027619038708508015,0.7646392285823822,0.0,0.03497706726193428,0.13731707352233663,0.010045968927443027,0.990330696105957,0.4999280869960785,0.20856866240501404,0.028331756591796875,513.144960025917,0.0,0.0,0.0,1
4000,inverse_warmup_m1,1.0,0.058408066630363464,0.02490844950079918,0.02687827202801903,0.7493176857630411,0.0,0.0360536091029644,0.14808511748923772,0.010045968927443027,0.990330696105957,0.4999280869960785,0.20856866240501404,0.028331756591796875,513.144960025917,0.0,0.0,0.0,1
4200,inverse_warmup_m1,1.0,0.05802281200885773,0.02426106669008732,0.025518164193878572,0.775675430893898,0.0,0.03454606607556343,0.10806751127613555,0.010045968927443027,0.990330696105957,0.4999280869960785,0.20856866240501404,0.028331756591796875,513.144960025917,0.0,0.0,0.0,1
4400,inverse_warmup_m1,1.0,0.05714213103055954,0.023619728162884712,0.025440618861466646,0.7794264058272043,0.0,0.03276454284787178,0.09508443271251808,0.010045968927443027,0.990330696105957,0.4999280869960785,0.20856866240501404,0.028331756591796875,513.144960025917,0.0,0.0,0.0,1
4600,inverse_warmup_m1,1.0,0.05740641802549362,0.023457717150449753,0.024929753815134365,0.7793348083893458,0.0,0.03321933001279831,0.1390303086311261,0.010045968927443027,0.990330696105957,0.4999280869960785,0.20856866240501404,0.028331756591796875,513.144960025917,0.0,0.0,0.0,1
4800,inverse_warmup_m1,1.0,0.056887198239564896,0.02345573902130127,0.024734202306717634,0.7836433748404185,0.0,0.033438682556152344,0.11511891653737827,0.010045968927443027,0.990330696105957,0.4999280869960785,0.20856866240501404,0.028331756591796875,513.144960025917,0.0,0.0,0.0,1
5000,inverse_warmup_m1,1.0,0.05649644881486893,0.023134510964155197,0.024812714972843725,0.7819851239522299,0.0,0.03177668899297714,0.1578709186705659,0.010045968927443027,0.990330696105957,0.4999280869960785,0.20856866240501404,0.028331756591796875,513.144960025917,0.0,0.0,0.0,1
