step,phase,m,loss,train_mse,val_mse,val_ssim,grad_norm_illum,grad_norm_upsampler,grad_norm_recon,H_t_min,H_t_max,H_t_mean,H_t_std,H_t_binary_fraction,illum_l2,illum_delta
200,inverse_warmup,1.0,0.04607575386762619,0.012496251612901688,0.016208413057029247,0.7128996849060059,0.0,0.06634653023011779,0.18357422362833956,0.010045974515378475,0.990330696105957,0.4999280571937561,0.20856866240501404,0.028331756591796875,131365.10976663476,0.0
400,inverse_warmup,1.0,0.02443442866206169,0.0032322295010089874,0.004166256636381149,0.8603808879852295,0.0,0.10978010951756004,0.6035259664780371,0.010045974515378475,0.990330696105957,0.4999280571937561,0.20856866240501404,0.028331756591796875,131365.10976663476,0.0
600,inverse_warmup,1.0,0.017474662512540817,0.0015880060382187366,0.0033550590742379427,0.805570125579834,0.0,0.029639663053385414,0.32370760216888056,0.010045974515378475,0.990330696105957,0.4999280571937561,0.20856866240501404,0.028331756591796875,131365.10976663476,0.0
800,inverse_warmup,1.0,0.02039102092385292,0.0016829773085191846,0.003976988838985562,0.8675953149795532,0.0,0.051564243524682404,0.6547938051842218,0.010045974515378475,0.990330696105957,0.4999280571937561,0.20856866240501404,0.028331756591796875,131365.10976663476,0.0
1000,inverse_warmup,1.0,0.01678495481610298,0.0013357718707993627,0.0012701392406597733,0.8986788988113403,0.0,0.03214569094485542,0.09123105361096974,0.010045974515378475,0.990330696105957,0.4999280571937561,0.20856866240501404,0.028331756591796875,131365.10976663476,0.0
1200,inverse_warmup,1.0,0.018865816295146942,0.001532534952275455,0.0011634741676971316,0.9098297357559204,0.0,0.09295414408891839,0.5060019109274619,0.010045974515378475,0.990330696105957,0.4999280571937561,0.20856866240501404,0.028331756591796875,131365.10976663476,0.0
1400,inverse_warmup,1.0,0.018975622951984406,0.0014810542343184352,0.002437463612295687,0.8864367306232452,0.0,0.05075433099179039,0.5875423752245094,0.010045974515378475,0.990330696105957,0.4999280571937561,0.20856866240501404,0.028331756591796875,131365.10976663476,0.0
1600,joint_soft,1.0,0.018172791227698326,0.00138328957837075,0.0016077578766271472,0.9042254388332367,3.202565324045281e-07,0.01770276810875731,0.0752891803541789,0.010048502124845982,0.9903568625450134,0.49993035197257996,0.20854999125003815,0.028316497802734375,131352.3096409043,12.800125730456784
1800,joint_soft,1.0,0.01839454285800457,0.0014943568967282772,0.0015242662047967315,0.9060353338718414,1.2127848947329767e-07,0.03805406820534562,0.25541156274646143,0.010064134374260902,0.9903953671455383,0.4999314546585083,0.20852306485176086,0.028270721435546875,131334.54954428403,30.560222350730328
2000,joint_soft,1.0,0.018932979553937912,0.0014256100403144956,0.0010818070149980485,0.9130879640579224,1.0553840184002183e-06,0.04441810051553645,0.4537304284940549,0.010085557587444782,0.990423858165741,0.49992769956588745,0.20850688219070435,0.028255462646484375,131323.29816144583,41.81160518893739
2200,joint_soft,1.0,0.015525954775512218,0.0011247448856011033,0.0010059182823169976,0.9091826975345612,1.9385085181511386e-07,0.01196764738272709,0.06250703699177357,0.01010308787226677,0.9904587268829346,0.499925434589386,0.2084953486919403,0.0282745361328125,131314.9389216627,50.17084497207543
2400,joint_soft,1.0,0.016939394176006317,0.0012558724265545607,0.0012887672055512667,0.9063697755336761,1.284777681576088e-06,0.04421986505815992,0.3540459820311708,0.010119429789483547,0.9904900789260864,0.49992263317108154,0.20849037170410156,0.028263092041015625,131310.2678087285,54.84195790626109
2600,joint_soft,1.0,0.02824230119585991,0.0029762897174805403,0.001663072151131928,0.9028523564338684,3.398862418180215e-06,0.07905159385536424,0.5523254404117932,0.01014039572328329,0.9905160069465637,0.49990904331207275,0.2084876298904419,0.02826690673828125,131307.53836699552,57.57139963924419
2800,joint_soft,1.0,0.01558903232216835,0.0011211421806365252,0.0010529806022532284,0.915102481842041,4.099816806046874e-07,0.02310066670995227,0.16584877474568804,0.010157722048461437,0.9905277490615845,0.4999019503593445,0.20848651230335236,0.028289794921875,131305.77589733058,59.33386930418783
3000,joint_soft,1.0,0.018100928515195847,0.0013613548362627625,0.0010157189681194723,0.913777768611908,1.8651647906153812e-06,0.025421347773266222,0.22272229047953926,0.010172048583626747,0.9905287623405457,0.4998937249183655,0.2084813266992569,0.02825927734375,131301.99352637416,63.116240260598715
3200,joint_soft,1.0,0.016405820846557617,0.0012212356086820364,0.0010581467067822814,0.9141968786716461,2.332278882022365e-06,0.04444188039663893,0.3025012897210287,0.010179858654737473,0.9905232787132263,0.4998917281627655,0.2084684818983078,0.028278350830078125,131292.93878956325,72.1709770715097
3400,joint_soft,1.0,0.018922913819551468,0.0015011178329586983,0.001926907163579017,0.8414826095104218,3.2850223306013504e-06,0.06199800170866289,0.37449373450437234,0.01018004585057497,0.9905390739440918,0.4998823404312134,0.20846185088157654,0.0282745361328125,131288.1966971898,76.91306944497046
3600,joint_soft,1.0,0.015871642157435417,0.0012021755101159215,0.0013181010726839304,0.908970981836319,2.1359792299335822e-06,0.05224020554413802,0.32107856001378854,0.010184643790125847,0.9905582666397095,0.4998638331890106,0.20846235752105713,0.02825164794921875,131287.77551623,77.3342504047614
3800,joint_soft,1.0,0.015148654580116272,0.0010986601701006293,0.0010220499243587255,0.91139155626297,2.6160385004914133e-06,0.03037230644292533,0.08800382051897276,0.010184097103774548,0.9905433058738708,0.4998595118522644,0.20845714211463928,0.028263092041015625,131283.95362724265,81.15613939211471
4000,joint_soft,1.0,0.014279564842581749,0.0010076130274683237,0.0009306402062065899,0.9187169969081879,1.352541289634246e-06,0.011860239473827952,0.09194779008776245,0.010194065049290657,0.9905216693878174,0.4998560845851898,0.2084544152021408,0.028263092041015625,131281.35623918576,83.75352744900738
4200,joint_soft,1.0,0.014388691633939743,0.0009992406703531742,0.0011406774865463376,0.9145106673240662,3.721833365943894e-07,0.010819995754460795,0.056445102711691904,0.010199903510510921,0.9904943108558655,0.4998573064804077,0.20844729244709015,0.02823638916015625,131276.19251029487,88.91725633988972
