step,phase,epoch,loss,train_mse,train_ssim,val_mse,val_ssim,H_t_min,H_t_max,H_t_mean,H_t_binary_fraction,grad_norm_W,grad_norm_inverse,detector_min,detector_max,detector_mean,sigmoid_m
200,inverse_warmup_m1,34,0.10324545204639435,0.056664422154426575,0.45424866676330566,0.06847862154245377,0.44238269329071045,0.010045974515378475,0.990330696105957,0.4999280571937561,0.028331756591796875,0.0,0.3464691167954367,26.534330368041992,1431.5966796875,252.7412109375,1.0
400,inverse_warmup_m1,67,0.09472107887268066,0.038372013717889786,0.6131012439727783,0.04522185027599335,0.6156200170516968,0.010045974515378475,0.990330696105957,0.4999280571937561,0.028331756591796875,0.0,0.09528819131153286,14.133932113647461,847.3480834960938,238.61550903320312,1.0
600,inverse_warmup_m1,100,0.08340416848659515,0.03842160850763321,0.6252890825271606,0.04454144462943077,0.6104857921600342,0.010045974515378475,0.990330696105957,0.4999280571937561,0.028331756591796875,0.0,0.19314700734316564,26.287328720092773,552.9122314453125,244.37350463867188,1.0
800,inverse_warmup_m1,134,0.08986097574234009,0.03859332948923111,0.5803709030151367,0.043623968958854675,0.5762694478034973,0.010045974515378475,0.990330696105957,0.4999280571937561,0.028331756591796875,0.0,0.20256456546062265,26.534330368041992,1431.5966796875,252.7412109375,1.0
1000,inverse_warmup_m1,167,0.0912468209862709,0.03423397243022919,0.5684416890144348,0.042936645448207855,0.5515601634979248,0.010045974515378475,0.990330696105957,0.4999280571937561,0.028331756591796875,0.0,0.07216234029132808,14.133932113647461,847.3480834960938,238.61550903320312,1.0
1200,inverse_warmup_m1,200,0.07549750804901123,0.03722727671265602,0.5954326391220093,0.04371839389204979,0.5700823664665222,0.010045974515378475,0.990330696105957,0.4999280571937561,0.028331756591796875,0.0,0.2863986795990897,26.287328720092773,552.9122314453125,244.37350463867188,1.0
1400,inverse_warmup_m1,234,0.0880587249994278,0.03685953468084335,0.5967097282409668,0.04270429536700249,0.5908387899398804,0.010045974515378475,0.990330696105957,0.4999280571937561,0.028331756591796875,0.0,0.2528961083762803,26.534330368041992,1431.5966796875,252.7412109375,1.0
1500,inverse_warmup_m1,250,0.07501944899559021,0.03772205859422684,0.5988496541976929,0.04423883184790611,0.5678792595863342,0.010045974515378475,0.990330696105957,0.4999280571937561,0.028331756591796875,0.0,0.13177841631260984,26.287328720092773,552.9122314453125,244.37350463867188,1.0
1700,joint_soft_m1,34,0.09383612126111984,0.037256740033626556,0.5845621824264526,0.043656621128320694,0.5682737231254578,0.010042057372629642,0.9903380274772644,0.49992454051971436,0.028331756591796875,1.3285877287216863e-07,0.059240596063108164,19.179485321044922,747.6365966796875,247.05677795410156,1.0
1900,joint_soft_m1,67,0.09726603329181671,0.03812980651855469,0.5722637176513672,0.043432969599962234,0.598784327507019,0.010032345540821552,0.9903584122657776,0.49991676211357117,0.028324127197265625,1.1679106393103211e-07,0.10540709732460277,13.721871376037598,655.6832885742188,252.55526733398438,1.0
2100,joint_soft_m1,100,0.06375488638877869,0.035360172390937805,0.6267523765563965,0.04401399940252304,0.5745858550071716,0.010016970336437225,0.9903861284255981,0.49990394711494446,0.028301239013671875,3.9791575545677915e-07,0.1198847489616951,36.176334381103516,716.1488037109375,219.47830200195312,1.0
2300,joint_soft_m1,134,0.09648466110229492,0.03814653307199478,0.5250324606895447,0.04611169546842575,0.5036906599998474,0.009999003261327744,0.990416407585144,0.49988606572151184,0.02832794189453125,2.194410768652233e-07,0.0970672301103433,19.160390853881836,748.0549926757812,247.03929138183594,1.0
2500,joint_soft_m1,167,0.09408466517925262,0.036575332283973694,0.5478214025497437,0.04401850327849388,0.5463929772377014,0.009978566318750381,0.9904558062553406,0.4998626112937927,0.02832794189453125,2.0189349925203715e-07,0.10260988551182132,13.714319229125977,657.4518432617188,252.58135986328125,1.0
