step,epoch,loss,train_mse,train_ssim,val_mse,val_ssim,H_t_min,H_t_max,H_t_mean,H_t_binary_fraction,grad_norm_W,grad_norm_inverse,detector_min,detector_max,detector_mean,sigmoid_m
200,34,0.052144065499305725,0.017554933205246925,0.7112670540809631,0.020548954606056213,0.72069251537323,1.1581602133392859e-20,1.0,0.500187873840332,0.8265228271484375,0.0,0.31539510616282057,0.2735748589038849,127.86473083496094,15.805384635925293,1.0
400,67,0.03653637319803238,0.005999797489494085,0.7729511260986328,0.009197445586323738,0.7576971054077148,1.1581602133392859e-20,1.0,0.500187873840332,0.8265228271484375,0.0,0.09977935822060272,0.12586794793605804,128.82748413085938,14.922130584716797,1.0
600,100,0.021573655307292938,0.00231636269018054,0.8575041890144348,0.008350997231900692,0.7521081566810608,1.1581602133392859e-20,1.0,0.500187873840332,0.8265228271484375,0.0,0.2808611870955201,1.1771999597549438,118.22029876708984,15.290740966796875,1.0
800,134,0.033884741365909576,0.006650396157056093,0.792079746723175,0.009132830426096916,0.774264931678772,1.1581602133392859e-20,1.0,0.500187873840332,0.8265228271484375,0.0,0.24892861274778177,0.2735748589038849,127.86473083496094,15.805384635925293,1.0
1000,167,0.029600299894809723,0.0037021231837570667,0.8225246667861938,0.007345773279666901,0.7846478223800659,1.1581602133392859e-20,1.0,0.500187873840332,0.8265228271484375,0.0,0.2175635089808352,0.12586794793605804,128.82748413085938,14.922130584716797,1.0
1200,200,0.018034566193819046,0.001659568166360259,0.8989169597625732,0.007247847504913807,0.7786496877670288,1.1581602133392859e-20,1.0,0.500187873840332,0.8265228271484375,0.0,0.2862017684310555,1.1771999597549438,118.22029876708984,15.290740966796875,1.0
1400,234,0.027609169483184814,0.004226168617606163,0.7859301567077637,0.007799980230629444,0.7554470300674438,1.1581602133392859e-20,1.0,0.500187873840332,0.8265228271484375,0.0,0.1165055679913629,0.2735748589038849,127.86473083496094,15.805384635925293,1.0
1600,267,0.02678174339234829,0.0031403102912008762,0.7893859148025513,0.0069784983061254025,0.7423967719078064,1.1581602133392859e-20,1.0,0.500187873840332,0.8265228271484375,0.0,0.22828512989772357,0.12586794793605804,128.82748413085938,14.922130584716797,1.0
1800,300,0.015611662529408932,0.0022561289370059967,0.8903064727783203,0.00754016637802124,0.7754088044166565,1.1581602133392859e-20,1.0,0.500187873840332,0.8265228271484375,0.0,0.1889292666187257,1.1771999597549438,118.22029876708984,15.290740966796875,1.0
2000,334,0.02572392299771309,0.003796184668317437,0.8131142854690552,0.007319959811866283,0.776095449924469,1.1581602133392859e-20,1.0,0.500187873840332,0.8265228271484375,0.0,0.09886521814368635,0.2735748589038849,127.86473083496094,15.805384635925293,1.0
2200,367,0.024701042100787163,0.002745436504483223,0.834552526473999,0.00689583458006382,0.7781911492347717,1.1581602133392859e-20,1.0,0.500187873840332,0.8265228271484375,0.0,0.1966833833808123,0.12586794793605804,128.82748413085938,14.922130584716797,1.0
2400,400,0.015483349561691284,0.0016410696553066373,0.9071357250213623,0.006823417730629444,0.7931898236274719,1.1581602133392859e-20,1.0,0.500187873840332,0.8265228271484375,0.0,0.25868673743789533,1.1771999597549438,118.22029876708984,15.290740966796875,1.0
2600,434,0.02415352314710617,0.0033721800427883863,0.8408879637718201,0.006789511069655418,0.798915684223175,1.1581602133392859e-20,1.0,0.500187873840332,0.8265228271484375,0.0,0.09933130076167525,0.2735748589038849,127.86473083496094,15.805384635925293,1.0
2800,467,0.022964753210544586,0.0026241582818329334,0.853313684463501,0.007086825091391802,0.7973171472549438,1.1581602133392859e-20,1.0,0.500187873840332,0.8265228271484375,0.0,0.15716033695307932,0.12586794793605804,128.82748413085938,14.922130584716797,1.0
3000,500,0.015182120725512505,0.001403577858582139,0.9108010530471802,0.0071812840178608894,0.7962153553962708,1.1581602133392859e-20,1.0,0.500187873840332,0.8265228271484375,0.0,0.36505717618185485,1.1771999597549438,118.22029876708984,15.290740966796875,1.0
3200,534,0.024580150842666626,0.0034285192377865314,0.8421415686607361,0.006857308559119701,0.8002088665962219,1.1581602133392859e-20,1.0,0.500187873840332,0.8265228271484375,0.0,0.17919071658484814,0.2735748589038849,127.86473083496094,15.805384635925293,1.0
3400,567,0.022407542914152145,0.003095249179750681,0.844997763633728,0.0077315811067819595,0.7843244671821594,1.1581602133392859e-20,1.0,0.500187873840332,0.8265228271484375,0.0,0.17034731518501608,0.12586794793605804,128.82748413085938,14.922130584716797,1.0
3600,600,0.013829601928591728,0.001982110785320401,0.9051150679588318,0.007224617525935173,0.7984048128128052,1.1581602133392859e-20,1.0,0.500187873840332,0.8265228271484375,0.0,0.23305520672177352,1.1771999597549438,118.22029876708984,15.290740966796875,1.0
3800,634,0.02387339249253273,0.0032107438892126083,0.8419932126998901,0.006542979273945093,0.7984386086463928,1.1581602133392859e-20,1.0,0.500187873840332,0.8265228271484375,0.0,0.22306170560125863,0.2735748589038849,127.86473083496094,15.805384635925293,1.0
4000,667,0.021626858040690422,0.0024623489007353783,0.8551931977272034,0.006910998374223709,0.798692524433136,1.1581602133392859e-20,1.0,0.500187873840332,0.8265228271484375,0.0,0.16004864165705346,0.12586794793605804,128.82748413085938,14.922130584716797,1.0
