step,phase,epoch,loss,train_mse,train_ssim,val_mse,val_ssim,H_t_min,H_t_max,H_t_mean,H_t_binary_fraction,grad_norm_W,grad_norm_inverse,detector_min,detector_max,detector_mean,sigmoid_m
500,inverse_warmup_m1,6,0.08968843519687653,0.05617205798625946,0.6278024911880493,0.05773077936222156,0.6232317636410395,0.009865387342870235,0.990330696105957,0.4997187852859497,0.028219223022460938,0.0,0.1663647955222149,-1.945127248764038,38.12778091430664,5.144482135772705,1.0
1000,inverse_warmup_m1,11,0.07910992205142975,0.03769727796316147,0.6774113178253174,0.038449800262848534,0.6765432904163996,0.009865387342870235,0.990330696105957,0.4997187852859497,0.028219223022460938,0.0,0.0780734022993621,-1.8461238145828247,38.300811767578125,5.1683454513549805,1.0
1500,inverse_warmup_m1,16,0.07732949405908585,0.03711296617984772,0.6878862977027893,0.03763718685756127,0.6855458617210388,0.009865387342870235,0.990330696105957,0.4997187852859497,0.028219223022460938,0.0,0.06898941678405635,-1.8495174646377563,37.05043029785156,5.188985824584961,1.0
2000,inverse_warmup_m1,22,0.07532770186662674,0.035290420055389404,0.6943153142929077,0.03657329082489014,0.6877952168385187,0.009865387342870235,0.990330696105957,0.4997187852859497,0.028219223022460938,0.0,0.08935119611827264,-1.93916916847229,38.114803314208984,5.24793004989624,1.0
2500,inverse_warmup_m1,27,0.07432195544242859,0.03635135665535927,0.6944889426231384,0.037544888133804,0.6895759950081507,0.009865387342870235,0.990330696105957,0.4997187852859497,0.028219223022460938,0.0,0.05000489382766133,-2.0953540802001953,36.714599609375,5.236021041870117,1.0
3000,inverse_warmup_m1,32,0.0732654482126236,0.034122537821531296,0.705398440361023,0.035753825989862285,0.6994294573863348,0.009865387342870235,0.990330696105957,0.4997187852859497,0.028219223022460938,0.0,0.08910781606098256,-2.052382230758667,35.33121109008789,5.146576881408691,1.0
3500,joint_soft_m1,6,0.06876321136951447,0.03154778480529785,0.7242807149887085,0.03230202694733938,0.7222248613834381,0.009853452444076538,0.9902899861335754,0.49933940172195435,0.0289764404296875,6.186668315422139e-07,0.048203797778927276,-2.1616694927215576,39.941627502441406,5.196276664733887,1.0
4000,joint_soft_m1,11,0.0632820874452591,0.027092142030596733,0.7576621770858765,0.028476220555603504,0.7497903605302175,0.009851554408669472,0.9902414679527283,0.4988507628440857,0.029954910278320312,6.321062642200559e-07,0.07677765193296253,-2.1179585456848145,35.94948196411133,5.22139835357666,1.0
4500,joint_soft_m1,16,0.05925770848989487,0.02488739788532257,0.7741384506225586,0.025635997919986647,0.770892878373464,0.009859706275165081,0.9901953339576721,0.49831002950668335,0.031002044677734375,5.906546221012832e-07,0.06387630889732986,-1.9668080806732178,35.213104248046875,5.199721336364746,1.0
5000,joint_soft_m1,22,0.05586492642760277,0.022229380905628204,0.7937735915184021,0.02301154549544056,0.7896038442850113,0.009873010218143463,0.9901556968688965,0.4977508783340454,0.03202056884765625,5.811864411953138e-07,0.05950473306167908,-1.9872068166732788,38.66572570800781,5.213266372680664,1.0
