run_id,base_run_id,seed,photon_count,sigma_read,pattern_mode,test_mse,test_ssim,H_t_binary_fraction,pattern_delta
patchmnist_noise_random_fixed_pc10_sr0p0_seed42,patchmnist_noise_random_fixed_pc10_sr0p0,42,10.0,0.0,random_fixed,0.020766644428173702,0.8099348247051239,0.76873779296875,0.0
patchmnist_noise_random_fixed_pc10_sr2p7_seed42,patchmnist_noise_random_fixed_pc10_sr2p7,42,10.0,2.7,random_fixed,0.021130189144363005,0.8062288959821066,0.76873779296875,0.0
patchmnist_noise_random_fixed_pc10_sr2p0_seed42,patchmnist_noise_random_fixed_pc10_sr2p0,42,10.0,2.0,random_fixed,0.020697231870144606,0.8100889722506205,0.76873779296875,0.0
patchmnist_noise_random_fixed_pc10_sr6p0_seed42,patchmnist_noise_random_fixed_pc10_sr6p0,42,10.0,6.0,random_fixed,0.023030191659927368,0.7888973653316498,0.76873779296875,0.0
patchmnist_noise_random_fixed_pc10_sr6p0_seed43,patchmnist_noise_random_fixed_pc10_sr6p0,43,10.0,6.0,random_fixed,0.02243970613926649,0.7959640870491663,0.7691383361816406,0.0
patchmnist_noise_random_fixed_pc10_sr6p0_seed44,patchmnist_noise_random_fixed_pc10_sr6p0,44,10.0,6.0,random_fixed,0.0232219483392934,0.7870514442523321,0.7681179046630859,0.0
patchmnist_noise_random_fixed_pc10000_sr0p0_seed42,patchmnist_noise_random_fixed_pc10000_sr0p0,42,10000.0,0.0,random_fixed,0.010884614894166589,0.8936946739753088,0.76873779296875,0.0
patchmnist_noise_random_fixed_pc10000_sr2p7_seed42,patchmnist_noise_random_fixed_pc10000_sr2p7,42,10000.0,2.7,random_fixed,0.010944167928149303,0.8918276180823644,0.76873779296875,0.0
patchmnist_noise_random_fixed_pc10000_sr2p0_seed42,patchmnist_noise_random_fixed_pc10000_sr2p0,42,10000.0,2.0,random_fixed,0.010901865704605976,0.8932992021242777,0.76873779296875,0.0
patchmnist_noise_random_fixed_pc10000_sr6p0_seed42,patchmnist_noise_random_fixed_pc10000_sr6p0,42,10000.0,6.0,random_fixed,0.010972827828178803,0.8938902616500854,0.76873779296875,0.0
patchmnist_noise_learnable_frequency_pc10_sr0p0_seed42,patchmnist_noise_learnable_frequency_pc10_sr0p0,42,10.0,0.0,learnable_frequency,0.006431430811062455,0.9340930879116058,0.8329792022705078,0.33772557973861694
patchmnist_noise_learnable_frequency_pc10_sr2p7_seed42,patchmnist_noise_learnable_frequency_pc10_sr2p7,42,10.0,2.7,learnable_frequency,0.006598673838501175,0.9309859226147333,0.8348903656005859,0.3388747572898865
patchmnist_noise_learnable_frequency_pc10_sr2p0_seed42,patchmnist_noise_learnable_frequency_pc10_sr2p0,42,10.0,2.0,learnable_frequency,0.006568689752991001,0.9318027844031652,0.8344211578369141,0.3385787904262543
patchmnist_noise_learnable_frequency_pc10_sr6p0_seed42,patchmnist_noise_learnable_frequency_pc10_sr6p0,42,10.0,6.0,learnable_frequency,0.007416502611401181,0.9217236191034317,0.8414058685302734,0.34159305691719055
patchmnist_noise_learnable_frequency_pc10_sr6p0_seed43,patchmnist_noise_learnable_frequency_pc10_sr6p0,43,10.0,6.0,learnable_frequency,0.007403512640545766,0.9212977737188339,0.84124755859375,0.3426414728164673
patchmnist_noise_learnable_frequency_pc10_sr6p0_seed44,patchmnist_noise_learnable_frequency_pc10_sr6p0,44,10.0,6.0,learnable_frequency,0.00741340914585938,0.9208884090185165,0.8392868041992188,0.3408437967300415
patchmnist_noise_learnable_frequency_pc10000_sr0p0_seed42,patchmnist_noise_learnable_frequency_pc10000_sr0p0,42,10000.0,0.0,learnable_frequency,0.0030056517377185323,0.9696217526992162,0.7172412872314453,0.2880561649799347
patchmnist_noise_learnable_frequency_pc10000_sr2p7_seed42,patchmnist_noise_learnable_frequency_pc10000_sr2p7,42,10000.0,2.7,learnable_frequency,0.0030972514650784433,0.9690941423177719,0.7184200286865234,0.28777697682380676
patchmnist_noise_learnable_frequency_pc10000_sr2p0_seed42,patchmnist_noise_learnable_frequency_pc10000_sr2p0,42,10000.0,2.0,learnable_frequency,0.003180823056027293,0.9674545327822367,0.7187614440917969,0.2857664227485657
patchmnist_noise_learnable_frequency_pc10000_sr6p0_seed42,patchmnist_noise_learnable_frequency_pc10000_sr6p0,42,10000.0,6.0,learnable_frequency,0.0031575608106019595,0.9682308981815974,0.7165393829345703,0.2864300012588501
