step,phase,epoch,loss,train_mse,train_ssim,val_mse,val_ssim,H_t_min,H_t_max,H_t_mean,H_t_binary_fraction,grad_norm_W,grad_norm_inverse,detector_min,detector_max,detector_mean,sigmoid_m
500,inverse_warmup_m1,6,0.08453888446092606,0.041112832725048065,0.6471520662307739,0.04248470844080051,0.6415864080190659,0.009865387342870235,0.990330696105957,0.4997187852859497,0.028219223022460938,0.0,0.10462151517427348,-0.5435672998428345,37.30757522583008,5.143539905548096,1.0
1000,inverse_warmup_m1,11,0.07595618814229965,0.035245753824710846,0.6975985765457153,0.036262619930009045,0.6947081138690313,0.009865387342870235,0.990330696105957,0.4997187852859497,0.028219223022460938,0.0,0.06654824308283312,-0.49539995193481445,37.80899429321289,5.168818473815918,1.0
1500,inverse_warmup_m1,16,0.07477128505706787,0.035255201160907745,0.7082553505897522,0.035882536632319294,0.7054627190033594,0.009865387342870235,0.990330696105957,0.4997187852859497,0.028219223022460938,0.0,0.13000638822194752,-0.3998914957046509,36.88861846923828,5.188677787780762,1.0
2000,inverse_warmup_m1,22,0.07167842984199524,0.03261657431721687,0.7200483083724976,0.03403014503419399,0.71217313905557,0.009865387342870235,0.990330696105957,0.4997187852859497,0.028219223022460938,0.0,0.07390644118062396,-0.3061295747756958,36.911678314208984,5.247644424438477,1.0
2500,inverse_warmup_m1,27,0.07117532193660736,0.032565802335739136,0.719709038734436,0.033838691500326,0.7144182175397873,0.009865387342870235,0.990330696105957,0.4997187852859497,0.028219223022460938,0.0,0.10997802153803371,-0.35050857067108154,36.494293212890625,5.235449314117432,1.0
3000,inverse_warmup_m1,32,0.0693666934967041,0.031937941908836365,0.7204707860946655,0.033424103943010174,0.7145282377799352,0.009865387342870235,0.990330696105957,0.4997187852859497,0.028219223022460938,0.0,0.07009200490993982,-0.338553786277771,36.03227615356445,5.146426200866699,1.0
3500,joint_soft_m1,6,0.06404043734073639,0.027904555201530457,0.7536774277687073,0.02877117320895195,0.7501665751139323,0.009853219613432884,0.9902682900428772,0.49915027618408203,0.029022216796875,7.093517524481285e-07,0.07061098620568808,-0.3492720127105713,40.4474983215332,5.194363594055176,1.0
4000,joint_soft_m1,11,0.05791002884507179,0.02391899935901165,0.7838540077209473,0.025196545757353306,0.7763066391150156,0.009863073006272316,0.9902061820030212,0.4984978139400482,0.029977798461914062,6.450546266023593e-07,0.07688130537448094,-0.4955427646636963,36.119747161865234,5.217746257781982,1.0
4500,joint_soft_m1,16,0.05436839908361435,0.021478649228811264,0.8019849061965942,0.02207562110076348,0.7990134755770365,0.009889259934425354,0.9901525378227234,0.49782219529151917,0.0309600830078125,6.241982646315591e-07,0.05245814936606396,-0.3561370372772217,34.2573356628418,5.192904472351074,1.0
5000,joint_soft_m1,22,0.0509943962097168,0.01940276473760605,0.817847728729248,0.019801489853610594,0.8164615531762441,0.009926609694957733,0.9901087284088135,0.49714553356170654,0.031993865966796875,6.010602078276861e-07,0.051662346726176395,-0.3583766222000122,37.152191162109375,5.21025276184082,1.0
