dataset,condition,checkpoint,psnr,ssim,stitched_psnr,stitched_ssim,tiles,images
Set5,swinir_wo_li,best,25.5531,0.7201,22.9616,0.6484,105,5
Set14,swinir_wo_li,best,23.6209,0.6379,21.7406,0.5533,668,14
BSD100,swinir_wo_li,best,23.9084,0.5902,22.0837,0.5253,3500,100
Urban100,swinir_wo_li,best,22.5532,0.5833,19.7074,0.5181,18221,100
Manga109,swinir_wo_li,best,24.2128,0.7224,21.0396,0.6664,23504,109
Set5,swinir_wo_li,final,25.5531,0.7201,22.9616,0.6484,105,5
Set14,swinir_wo_li,final,23.6209,0.6379,21.7406,0.5533,668,14
BSD100,swinir_wo_li,final,23.9084,0.5902,22.0837,0.5253,3500,100
Urban100,swinir_wo_li,final,22.5532,0.5833,19.7074,0.5181,18221,100
Manga109,swinir_wo_li,final,24.2128,0.7224,21.0396,0.6664,23504,109
Set5,swinir_with_li,best,27.4522,0.7768,24.7928,0.7272,105,5
Set14,swinir_with_li,best,25.1715,0.6882,23.1115,0.6122,668,14
BSD100,swinir_with_li,best,25.1189,0.6279,23.0734,0.5681,3500,100
Urban100,swinir_with_li,best,23.8965,0.6434,20.7888,0.5845,18221,100
Manga109,swinir_with_li,best,26.0899,0.7799,22.8287,0.7329,23504,109
Set5,swinir_with_li,final,27.1250,0.7769,24.5727,0.7282,105,5
Set14,swinir_with_li,final,25.0491,0.6876,22.9287,0.6096,668,14
BSD100,swinir_with_li,final,24.8926,0.6246,22.8999,0.5636,3500,100
Urban100,swinir_with_li,final,24.0178,0.6484,20.7663,0.5887,18221,100
Manga109,swinir_with_li,final,26.1037,0.7834,22.6893,0.7360,23504,109
