track,variant,seed,run_dir,test_mse,test_ssim,best_val_mse,min_train_mse,overfit_gap,best_m
proxy_bbbc022,A,42,A_seed42,0.0038895891048014164,0.874504566192627,0.0033444585278630257,,0.00016691582277417183,8.0
proxy_bbbc022,A,43,A_seed43,0.0032766188960522413,0.8830351233482361,0.003270567860454321,,-0.0002978164702653885,2.0
proxy_bbbc022,A,44,A_seed44,0.003708413802087307,0.8766406774520874,0.0030422250274568796,,-0.0004061192739754915,8.0
proxy_bbbc022,B,42,B_seed42,0.002732791006565094,0.8866550326347351,0.0022785852197557688,,0.00043990754056721926,8.0
proxy_bbbc022,B,43,B_seed43,0.00239995657466352,0.8929576873779297,0.002429278800264001,,-4.668976180255413e-05,8.0
proxy_bbbc022,B,44,B_seed44,0.0029861540533602238,0.8842741847038269,0.002467676065862179,,0.0007096859626471996,8.0
proxy_bbbc022,C,42,C_seed42,0.005739422980695963,0.8544553518295288,0.0048212287947535515,,0.0033782250247895718,8.0
proxy_bbbc022,C,43,C_seed43,0.0048081111162900925,0.8661349415779114,0.004786903969943523,,0.004298914805985987,8.0
proxy_bbbc022,C,44,C_seed44,0.005415949039161205,0.859879732131958,0.004521587863564491,,0.0036414965288713574,8.0
proxy_bbbc022,D,42,D_seed42,0.004995865747332573,0.8634495735168457,0.004181751981377602,,0.002968780230730772,1.0
proxy_bbbc022,D,43,D_seed43,0.0040818508714437485,0.8695402145385742,0.004035703372210264,,0.0035461660590954125,8.0
proxy_bbbc022,D,44,D_seed44,0.004670723807066679,0.8657993078231812,0.003897187765687704,,0.0031082831555977464,8.0
patchmnist_sanity,B,42,patchmnist_B_seed42,0.011501484472925464,0.8952933798233668,0.011492775675530234,,9.859531807402712e-05,8.0
patchmnist_sanity,B,43,patchmnist_B_seed43,0.007445311872288585,0.9277697205543518,0.00744592984362195,,-0.0001489899198835092,8.0
patchmnist_sanity,C,42,patchmnist_C_seed42,0.006950633289913337,0.9357160727183024,0.00693701390021791,,0.000282507816640039,8.0
patchmnist_sanity,C,43,patchmnist_C_seed43,0.006981881490598123,0.9349700709184011,0.006990064129543801,,0.00023753168837477735,8.0
trainsize,B,42,trainsize_B_n168,0.0027520281728357077,0.885494589805603,0.0023475538473576307,0.0019030349794775248,5.167420022189617e-05,8.0
trainsize,B,42,trainsize_B_n42,0.003624115139245987,0.877616822719574,0.003107451368123293,0.0006514158449135721,4.560314118862152e-05,1.0
trainsize,B,42,trainsize_B_n84,0.0029605545569211245,0.8825235366821289,0.0024691622238606215,0.0013922909274697304,0.001076871296390891,8.0
trainsize,C,42,trainsize_C_n168,0.005793123971670866,0.8563967347145081,0.0048207188956439495,0.0005828854627907276,0.003473169053904712,8.0
trainsize,C,42,trainsize_C_n42,0.008973225019872189,0.8134340047836304,0.0077987294644117355,0.00018242881924379617,0.007612987901666202,8.0
trainsize,C,42,trainsize_C_n84,0.006817440502345562,0.8408682942390442,0.005643054842948914,0.0003948274243157357,0.004983453894965351,8.0
overfit,B,42,overfit_B_n1,0.007291078567504883,0.8618881702423096,0.004604059271514416,0.0002114744856953621,0.004376856086309999,1.0
overfit,B,42,overfit_B_n8,0.0046141198836266994,0.8763660192489624,0.004255317151546478,0.0007682722061872482,0.0023211262887343764,1.0
overfit,C,42,overfit_C_n1,0.020686741918325424,0.7401176691055298,0.012526566162705421,2.211515311500989e-05,0.01210540917236358,1.0
overfit,C,42,overfit_C_n8,0.02352491393685341,0.7345892190933228,0.019918961450457573,0.00014174275565892458,0.01928482309449464,1.0
