step,phase,m,loss,train_mse,val_mse,val_ssim,grad_norm_illum,grad_norm_upsampler,grad_norm_recon,H_t_min,H_t_max,H_t_mean,H_t_std,H_t_binary_fraction,illum_l2,illum_delta
200,inverse_warmup,1.0,0.09984506666660309,0.054783400148153305,0.05399463108430306,0.6105814427137375,0.0,0.05455494282030491,0.49867187766925347,0.011310596950352192,0.9884657859802246,0.4999101758003235,0.2083292007446289,0.027744293212890625,131045.45043609869,0.0
400,inverse_warmup,1.0,0.08688513189554214,0.04447139799594879,0.04581646962712208,0.641850084066391,0.0,0.07092877793592635,0.2649987631382089,0.011310596950352192,0.9884657859802246,0.4999101758003235,0.2083292007446289,0.027744293212890625,131045.45043609869,0.0
600,inverse_warmup,1.0,0.0835748240351677,0.041184619069099426,0.04216562521954378,0.6586079100767771,0.0,0.10003452949168078,0.1912277458077895,0.011310596950352192,0.9884657859802246,0.4999101758003235,0.2083292007446289,0.027744293212890625,131045.45043609869,0.0
800,inverse_warmup,1.0,0.08121988922357559,0.0392356812953949,0.03870203221837679,0.6787858307361603,0.0,0.12405720344403069,0.11870623913876788,0.011310596950352192,0.9884657859802246,0.4999101758003235,0.2083292007446289,0.027744293212890625,131045.45043609869,0.0
1000,inverse_warmup,1.0,0.08046774566173553,0.03887080401182175,0.03819891872505347,0.6870564917723337,0.0,0.11804207294745143,0.12980008028174864,0.011310596950352192,0.9884657859802246,0.4999101758003235,0.2083292007446289,0.027744293212890625,131045.45043609869,0.0
1200,inverse_warmup,1.0,0.07875542342662811,0.03752601146697998,0.03776228241622448,0.6854683756828308,0.0,0.24121934914170678,0.14821753552528488,0.011310596950352192,0.9884657859802246,0.4999101758003235,0.2083292007446289,0.027744293212890625,131045.45043609869,0.0
1400,inverse_warmup,1.0,0.07947368919849396,0.038395803421735764,0.037453457402686276,0.6939338395992914,0.0,0.12760296847006883,0.10659459856100126,0.011310596950352192,0.9884657859802246,0.4999101758003235,0.2083292007446289,0.027744293212890625,131045.45043609869,0.0
1600,joint_soft,1.0,0.07818138599395752,0.03764703869819641,0.037748867024978004,0.6912608544031779,1.948776855442702e-07,0.18343754854083727,0.22068318579523954,0.011293146759271622,0.9884562492370605,0.49993187189102173,0.20827585458755493,0.027759552001953125,131006.96824215115,38.48219394753687
1800,joint_soft,1.0,0.07785744220018387,0.037491776049137115,0.037869786843657494,0.6922219047943751,1.912465279474418e-07,0.09575824104890639,0.11575873826241051,0.011245759204030037,0.9884342551231384,0.4999850392341614,0.2081758826971054,0.027675628662109375,130934.91268565462,110.53775044406939
2000,joint_soft,1.0,0.0768963098526001,0.03636058419942856,0.041498022774855294,0.6492466330528259,2.057488472928526e-07,0.12351011396520893,0.1199765252767749,0.011168869212269783,0.9884063005447388,0.5000337362289429,0.20808446407318115,0.027629852294921875,130868.04052938211,177.40990671658074
2200,joint_soft,1.0,0.07643415778875351,0.03629733622074127,0.036439962374667324,0.70170330007871,2.391261375578324e-07,0.31321421469183564,0.22939709988540546,0.011039439588785172,0.9883680939674377,0.5000749826431274,0.207999587059021,0.02756500244140625,130804.36738886053,241.083047238164
2400,joint_soft,1.0,0.07680178433656693,0.036871183663606644,0.03662164695560932,0.6989878316720327,3.459568063135521e-07,0.07128210895241605,0.08437612636704496,0.010799940675497055,0.9883059859275818,0.5001063942909241,0.20791243016719818,0.027515411376953125,130736.39456555317,309.0558705455187
2600,joint_soft,1.0,0.07633443176746368,0.036488428711891174,0.03636062238365412,0.7065993547439575,4.869073109148303e-07,0.10843443087263493,0.1163086877527033,0.010344361886382103,0.9882026314735413,0.5001250505447388,0.20780321955680847,0.027500152587890625,130647.94684953912,397.503586559571
2800,joint_soft,1.0,0.07399926334619522,0.03451670706272125,0.035303303971886635,0.7015625437100729,8.131739832606399e-07,0.22729570723613426,0.16861760718436963,0.009491592645645142,0.9880146384239197,0.5001257658004761,0.2076130509376526,0.02735137939453125,130496.07454632496,549.375889773728
3000,joint_soft,1.0,0.06949898600578308,0.031987980008125305,0.03200328629463911,0.7259137481451035,1.4363301943376428e-06,0.14922894724925867,0.13585249908546063,0.008034178987145424,0.9880474805831909,0.5001018643379211,0.2072487771511078,0.027217864990234375,130223.29917491724,822.1512611814542
3200,joint_soft,1.0,0.06304602324962616,0.027422763407230377,0.02802464459091425,0.7609706570704778,1.6991383517961367e-06,0.15293692598447253,0.10030459885996558,0.006344516295939684,0.9892221689224243,0.5000694990158081,0.20670351386070251,0.02715301513671875,129854.57268806516,1190.8777480335266
3400,joint_soft,1.0,0.057712212204933167,0.024325625970959663,0.024097306188195944,0.7865906109412512,1.88891431207594e-06,0.2752453335090986,0.2039393891414651,0.005237750709056854,0.9900728464126587,0.5000418424606323,0.2061331570148468,0.027191162109375,129502.92067748898,1542.529758609715
3600,joint_soft,1.0,0.053317371755838394,0.02158035710453987,0.021119721078624327,0.8094866027434667,1.8506292462916463e-06,0.348979078150142,0.31288701925846646,0.004546120297163725,0.9908058047294617,0.5000209808349609,0.2056134194135666,0.027172088623046875,129197.14968992157,1848.3007461771194
3800,joint_soft,1.0,0.05040225759148598,0.019466690719127655,0.019073582875231903,0.828227827946345,1.811968672882358e-06,0.23710077983259625,0.15836641573430174,0.004083068110048771,0.9919874668121338,0.5000026822090149,0.20515860617160797,0.02716827392578125,128937.22875880341,2108.2216772952816
4000,joint_soft,1.0,0.048642128705978394,0.018460724502801895,0.018116618506610394,0.8356472651163737,1.7952796724785003e-06,0.10670998713833517,0.08807193650654827,0.0037437540013343096,0.9928261041641235,0.4999883472919464,0.20476239919662476,0.027187347412109375,128715.583765137,2329.8666709616955
4200,joint_soft,1.0,0.04682408273220062,0.01741369068622589,0.01809176957855622,0.8345333933830261,1.7309685063082725e-06,0.19416197519115022,0.12055751523915358,0.0034901013132184744,0.9934934973716736,0.4999726712703705,0.2044343501329422,0.0271453857421875,128537.89380567895,2507.556630419742
4400,joint_soft,1.0,0.04641725867986679,0.016895953565835953,0.016565200096617144,0.8513942211866379,1.8387432874078513e-06,0.2486203598493746,0.1688381850367631,0.003287742380052805,0.9940139651298523,0.4999622702598572,0.20411927998065948,0.027126312255859375,128364.47309127242,2680.9773448262713
4600,joint_soft,1.0,0.044987209141254425,0.01636897586286068,0.01635507447645068,0.8559531470139822,1.7462635923948255e-06,0.14488313190783136,0.10455771632932503,0.003126010298728943,0.9944408535957336,0.499953955411911,0.20383544266223907,0.02704620361328125,128207.79133890421,2837.6590971944825
4800,joint_soft,1.0,0.04330369085073471,0.015299670398235321,0.015941923096155126,0.85834934314092,1.6936190831984277e-06,0.2008973421279933,0.1669179519773577,0.0030024813022464514,0.9948009252548218,0.4999474287033081,0.20357641577720642,0.02693939208984375,128063.55622112015,2981.8942149785435
5000,joint_soft,1.0,0.04302918538451195,0.01526045985519886,0.015462676528841257,0.8602092216412226,1.7552511053509079e-06,0.39595354873439975,0.33375090689568876,0.0028998428024351597,0.9950926303863525,0.49994146823883057,0.20334093272686005,0.026859283447265625,127930.5171411419,3114.9332949567906
5200,joint_soft,1.0,0.04287318140268326,0.014968497678637505,0.01451564704378446,0.8691353499889374,1.6732033145672176e-06,0.2894459998190961,0.2545384087914105,0.0028083231300115585,0.9953439831733704,0.49993622303009033,0.20312389731407166,0.026763916015625,127805.79266997252,3239.657766126169
5400,joint_soft,1.0,0.04164464771747589,0.014359211549162865,0.01435251006235679,0.8711759795745214,1.6997719285427593e-06,0.20171060488202497,0.11137178658971646,0.002730298088863492,0.9955475330352783,0.4999315142631531,0.20292074978351593,0.026653289794921875,127685.76628583156,3359.6841502671305
5600,harden_m2,2.0,0.040873751044273376,0.013694803230464458,0.013620635805030664,0.8769050339857737,1.5439001117556472e-06,0.1151271972988589,0.10191443789016456,7.207909220596775e-06,0.9999806880950928,0.5000039935112,0.3080902695655823,0.2474365234375,127406.25893573675,3639.191500361936
5800,harden_m2,2.0,0.03962269425392151,0.013202506117522717,0.013200851390138268,0.88046462337176,1.5472156746909604e-06,0.08643817050025676,0.07271076272706777,7.092487976478878e-06,0.999981164932251,0.500093400478363,0.3073637783527374,0.24578094482421875,127163.70400393345,3881.746432165237
6000,harden_m2,2.0,0.03811877965927124,0.012459497898817062,0.012463560638328394,0.885986328125,1.5800635537743801e-06,0.21944784205146875,0.18511629013054745,6.929361461516237e-06,0.9999817609786987,0.5001693367958069,0.30688613653182983,0.24431610107421875,126996.89344232007,4048.5569937786204
6200,harden_m2,2.0,0.03782624751329422,0.012212811037898064,0.01202851541650792,0.8889250059922537,1.5628066876161029e-06,0.08259500829737142,0.07368672855653444,6.797527021262795e-06,0.9999823570251465,0.5002444982528687,0.30653247237205505,0.2431488037109375,126865.18551596416,4180.264920134534
6400,harden_m2,2.0,0.036921847611665726,0.011733180843293667,0.011594046683361134,0.8932378739118576,1.4979129900893895e-06,0.0932690046182181,0.11684829531193218,6.6730867729347665e-06,0.9999829530715942,0.5003207921981812,0.30626752972602844,0.241729736328125,126760.83786406589,4284.612572032798
6600,harden_m4,4.0,0.03631997108459473,0.01130057405680418,0.010841053910553455,0.8974914799133936,1.6451152760055265e-06,0.1121814301085652,0.09847005684490662,4.265965011795991e-11,1.0,0.5012156367301941,0.3927619755268097,0.5629386901855469,126538.02691681264,4507.423519286051
6800,harden_m4,4.0,0.03450405225157738,0.010362770408391953,0.010314321843907237,0.9032824834187826,1.5754491187180975e-06,0.04579980931480641,0.07541296429793015,4.207540565959178e-11,1.0,0.501690149307251,0.391917884349823,0.5601043701171875,126369.40186611631,4676.048569982377
7000,harden_m4,4.0,0.033773280680179596,0.009943047538399696,0.009932085794086257,0.9075248638788859,1.6031161749197054e-06,0.0905579191132395,0.06792481190368208,4.1476135026474736e-11,1.0,0.5020888447761536,0.39162707328796387,0.55877685546875,126285.15694253224,4760.2934935664525
7200,harden_m4,4.0,0.033254414796829224,0.009796489030122757,0.009490569975847999,0.9101171592871348,1.5970346112226252e-06,0.13174114244480767,0.12964309304699084,4.092667524324689e-11,1.0,0.5024482011795044,0.39158666133880615,0.5580978393554688,126244.66810127071,4800.782334827978
7400,harden_m4,4.0,0.032266393303871155,0.009171036072075367,0.009097727326055368,0.9152641147375107,1.5985571053533931e-06,0.21545531061406437,0.18189782950109126,4.06306481515184e-11,1.0,0.5027576684951782,0.39168575406074524,0.5582046508789062,126232.90626457112,4812.5441715275665
7600,harden_m8,8.0,0.03140348196029663,0.008741077035665512,0.008569883493085703,0.9181882441043854,2.022313765337458e-06,0.08003981462454617,0.06330110622511613,1.5951462206036433e-21,1.0,0.5050836205482483,0.44321900606155396,0.7624473571777344,126156.73198050115,4888.71845559754
7800,harden_m8,8.0,0.030228327959775925,0.008096868172287941,0.008224182839815816,0.9204348276058832,2.0692336875072215e-06,0.042746929284279964,0.04532054911333831,1.6120912052832803e-21,1.0,0.5059869289398193,0.44245854020118713,0.7597999572753906,126100.37601847188,4945.074417626805
8000,harden_m8,8.0,0.030269403010606766,0.008014371618628502,0.00796309249320378,0.9242277989784876,2.0789939298992977e-06,0.08756177961701525,0.11346050960279361,1.6160563609808321e-21,1.0,0.5066407918930054,0.44249436259269714,0.7604637145996094,126086.37141261541,4959.079023483282
8200,harden_m8,8.0,0.029815267771482468,0.00784094724804163,0.007697227837828298,0.9266395469506582,1.9992783109046286e-06,0.06993616470152836,0.05589506091093746,1.6137340554500573e-21,1.0,0.5071674585342407,0.44280874729156494,0.7623176574707031,126093.2297627434,4952.220673355288
8400,harden_m8,8.0,0.029274653643369675,0.007634388282895088,0.007608911138959229,0.9276929398377737,2.0525462787190918e-06,0.06210251608122665,0.05131448262409328,1.58992787416117e-21,1.0,0.5076534748077393,0.4431615173816681,0.7644462585449219,126110.481594513,4934.9688415856945
8500,harden_m8,8.0,0.02924121916294098,0.007594919763505459,0.00744592984362195,0.9279225319623947,2.013888433793909e-06,0.07295986118907342,0.05450292589185554,1.5823101788764746e-21,1.0,0.5078551173210144,0.44333988428115845,0.7656707763671875,126121.8773092123,4923.573126886389
