step,phase,m,loss,train_mse,val_mse,val_ssim,grad_norm_illum,grad_norm_upsampler,grad_norm_recon,H_t_min,H_t_max,H_t_mean,H_t_std,H_t_binary_fraction,illum_l2,illum_delta
200,inverse_warmup,1.0,0.10283251106739044,0.058002084493637085,0.05806325220813354,0.5395876715580622,0.0,0.016994602978229523,0.15538082912204734,0.010045974515378475,0.990330696105957,0.4999280571937561,0.20856866240501404,0.028331756591796875,131365.10976663476,0.0
400,inverse_warmup,1.0,0.08822966367006302,0.04444194585084915,0.046701960265636444,0.622753436366717,0.0,0.021211521700024605,0.18182547264726906,0.010045974515378475,0.990330696105957,0.4999280571937561,0.20856866240501404,0.028331756591796875,131365.10976663476,0.0
600,inverse_warmup,1.0,0.08075294643640518,0.0389767624437809,0.037878586910665035,0.6759801059961319,0.0,0.02785266935825348,0.16366959245299037,0.010045974515378475,0.990330696105957,0.4999280571937561,0.20856866240501404,0.028331756591796875,131365.10976663476,0.0
800,inverse_warmup,1.0,0.0747394934296608,0.03417991101741791,0.034015155086914696,0.7072980354229609,0.0,0.03457409888505936,0.14896614448985346,0.010045974515378475,0.990330696105957,0.4999280571937561,0.20856866240501404,0.028331756591796875,131365.10976663476,0.0
1000,inverse_warmup,1.0,0.0711604505777359,0.031192436814308167,0.0330239525064826,0.7161302814881007,0.0,0.03389415889978409,0.2388858221944238,0.010045974515378475,0.990330696105957,0.4999280571937561,0.20856866240501404,0.028331756591796875,131365.10976663476,0.0
1200,inverse_warmup,1.0,0.06916879862546921,0.03109957091510296,0.03067023865878582,0.734972948829333,0.0,0.038459133356809616,0.13893816773766907,0.010045974515378475,0.990330696105957,0.4999280571937561,0.20856866240501404,0.028331756591796875,131365.10976663476,0.0
1400,inverse_warmup,1.0,0.0661473497748375,0.030136093497276306,0.030259087216109037,0.7399560163418452,0.0,0.03945925086736679,0.2463782306859942,0.010045974515378475,0.990330696105957,0.4999280571937561,0.20856866240501404,0.028331756591796875,131365.10976663476,0.0
1600,joint_soft,1.0,0.06245850771665573,0.02634771168231964,0.026980876301725704,0.763465498884519,1.4079224683882785e-06,0.03743439540266991,0.1581315157576342,0.010038641281425953,0.9902527332305908,0.49981898069381714,0.20882996916770935,0.028331756591796875,131523.0053184613,157.89555182654294
1800,joint_soft,1.0,0.0561198927462101,0.02278308942914009,0.02328882956256469,0.7915958066781362,1.3163522680770257e-06,0.03645586222410202,0.10571998112840025,0.010031705722212791,0.9901042580604553,0.4996134340763092,0.20942620933055878,0.028350830078125,131875.1564776323,510.04671099752886
2000,joint_soft,1.0,0.052017271518707275,0.02000321075320244,0.019938526830325525,0.8147379557291666,1.2322552720434032e-06,0.034418825060129166,0.11515437120664633,0.010014171712100506,0.9899531006813049,0.4994257092475891,0.21002541482448578,0.0284271240234375,132223.4114217297,858.3016550949251
