step,phase,m,loss,train_mse,val_mse,val_ssim,grad_norm_illum,grad_norm_upsampler,grad_norm_recon,H_t_min,H_t_max,H_t_mean,H_t_std,H_t_binary_fraction,illum_l2,illum_delta
200,inverse_warmup,1.0,0.027239631861448288,0.004778202623128891,0.004629840608686209,0.8702778816223145,0.0,0.004296774198555212,0.046285085202649665,3.839338133649564e-20,1.0,0.5003856420516968,0.45911145210266113,0.8265495300292969,0.0,0.0
400,inverse_warmup,1.0,0.029662150889635086,0.004830564837902784,0.004313413519412279,0.8722641468048096,0.0,0.008048748146083359,0.1703143471606687,3.839338133649564e-20,1.0,0.5003856420516968,0.45911145210266113,0.8265495300292969,0.0,0.0
600,inverse_warmup,1.0,0.0268583744764328,0.0041804201900959015,0.003967996221035719,0.8764812350273132,0.0,0.02191492719595409,0.24537364364873063,3.839338133649564e-20,1.0,0.5003856420516968,0.45911145210266113,0.8265495300292969,0.0,0.0
800,inverse_warmup,1.0,0.024613361805677414,0.003853307571262121,0.003946216311305761,0.8765349984169006,0.0,0.014669626843976383,0.10180861695842963,3.839338133649564e-20,1.0,0.5003856420516968,0.45911145210266113,0.8265495300292969,0.0,0.0
1000,inverse_warmup,1.0,0.0267416313290596,0.003953993320465088,0.0036834976635873318,0.8750032186508179,0.0,0.015595847532986408,0.12037489139411445,3.839338133649564e-20,1.0,0.5003856420516968,0.45911145210266113,0.8265495300292969,0.0,0.0
1200,inverse_warmup,1.0,0.02523183450102806,0.003675343468785286,0.003619008231908083,0.8732937574386597,0.0,0.03275177064570707,0.2563230166139132,3.839338133649564e-20,1.0,0.5003856420516968,0.45911145210266113,0.8265495300292969,0.0,0.0
1400,inverse_warmup,1.0,0.024469295516610146,0.003706618444994092,0.0035404060035943985,0.8808307647705078,0.0,0.017185851565381563,0.13493980361349828,3.839338133649564e-20,1.0,0.5003856420516968,0.45911145210266113,0.8265495300292969,0.0,0.0
1600,joint_soft,1.0,0.02919756807386875,0.00451689725741744,0.005007777828723192,0.8307998180389404,0.0,0.02606334134534516,0.24390908576578105,3.839338133649564e-20,1.0,0.5003856420516968,0.45911145210266113,0.8265495300292969,0.0,0.0
1800,joint_soft,1.0,0.023030638694763184,0.0030795112252235413,0.003639125730842352,0.8768825531005859,0.0,0.01826917125199382,0.14688640081979548,3.839338133649564e-20,1.0,0.5003856420516968,0.45911145210266113,0.8265495300292969,0.0,0.0
2000,joint_soft,1.0,0.023951612412929535,0.003671398852020502,0.0034560030326247215,0.8833706378936768,0.0,0.016476776567467065,0.08378935294117663,3.839338133649564e-20,1.0,0.5003856420516968,0.45911145210266113,0.8265495300292969,0.0,0.0
2200,joint_soft,1.0,0.027689674869179726,0.004354819655418396,0.0040546925738453865,0.8770959377288818,0.0,0.020718632798875,0.11516496637505019,3.839338133649564e-20,1.0,0.5003856420516968,0.45911145210266113,0.8265495300292969,0.0,0.0
2400,joint_soft,1.0,0.023272497579455376,0.003228688146919012,0.00345101417042315,0.8814483284950256,0.0,0.03699092170769581,0.18800780288723357,3.839338133649564e-20,1.0,0.5003856420516968,0.45911145210266113,0.8265495300292969,0.0,0.0
2600,joint_soft,1.0,0.02388918772339821,0.003645850345492363,0.003603839548304677,0.8784803748130798,0.0,0.01703178832132159,0.0873723960808967,3.839338133649564e-20,1.0,0.5003856420516968,0.45911145210266113,0.8265495300292969,0.0,0.0
2800,joint_soft,1.0,0.025812774896621704,0.003769466420635581,0.0034073705319315195,0.8801629543304443,0.0,0.027649733678174533,0.13524688221023248,3.839338133649564e-20,1.0,0.5003856420516968,0.45911145210266113,0.8265495300292969,0.0,0.0
3000,joint_soft,1.0,0.022254887968301773,0.003011846449226141,0.00336097227409482,0.8821649551391602,0.0,0.03243175280053905,0.12717881677657394,3.839338133649564e-20,1.0,0.5003856420516968,0.45911145210266113,0.8265495300292969,0.0,0.0
3200,joint_soft,1.0,0.0236903578042984,0.0035505834966897964,0.0033828660380095243,0.8832364678382874,0.0,0.01703557318943643,0.07613258120467369,3.839338133649564e-20,1.0,0.5003856420516968,0.45911145210266113,0.8265495300292969,0.0,0.0
3400,joint_soft,1.0,0.025619080290198326,0.003699472639709711,0.0034479587338864803,0.8804634809494019,0.0,0.022848727550814664,0.10208825307117891,3.839338133649564e-20,1.0,0.5003856420516968,0.45911145210266113,0.8265495300292969,0.0,0.0
3600,joint_soft,1.0,0.021820373833179474,0.0029561948031187057,0.003283482976257801,0.8831618428230286,0.0,0.028775871794827896,0.11372080778697038,3.839338133649564e-20,1.0,0.5003856420516968,0.45911145210266113,0.8265495300292969,0.0,0.0
3800,joint_soft,1.0,0.023376114666461945,0.0034600223880261183,0.0034735288936644793,0.884178638458252,0.0,0.01680733566808656,0.059648850370895005,3.839338133649564e-20,1.0,0.5003856420516968,0.45911145210266113,0.8265495300292969,0.0,0.0
4000,joint_soft,1.0,0.025463953614234924,0.0036882837302982807,0.0033946875482797623,0.8803709149360657,0.0,0.02921654645218003,0.12198622314444775,3.839338133649564e-20,1.0,0.5003856420516968,0.45911145210266113,0.8265495300292969,0.0,0.0
4200,joint_soft,1.0,0.021375924348831177,0.002843668684363365,0.0034104252699762583,0.8819431066513062,0.0,0.017269070182989947,0.05950894864845023,3.839338133649564e-20,1.0,0.5003856420516968,0.45911145210266113,0.8265495300292969,0.0,0.0
4400,joint_soft,1.0,0.02309124916791916,0.003420333843678236,0.003332756459712982,0.8834583759307861,0.0,0.015041064866844093,0.05019961356027713,3.839338133649564e-20,1.0,0.5003856420516968,0.45911145210266113,0.8265495300292969,0.0,0.0
4600,joint_soft,1.0,0.0257367305457592,0.0036834911443293095,0.00333710596896708,0.8825924396514893,0.0,0.024239368974995363,0.1052911642872485,3.839338133649564e-20,1.0,0.5003856420516968,0.45911145210266113,0.8265495300292969,0.0,0.0
4800,joint_soft,1.0,0.02129019796848297,0.0027928180061280727,0.0032728840596973896,0.8849425911903381,0.0,0.02872893319278543,0.1043936684559109,3.839338133649564e-20,1.0,0.5003856420516968,0.45911145210266113,0.8265495300292969,0.0,0.0
