step,phase,m,loss,train_mse,val_mse,val_ssim,grad_norm_illum,grad_norm_upsampler,grad_norm_recon,H_t_min,H_t_max,H_t_mean,H_t_std,H_t_binary_fraction,illum_l2,illum_delta
200,inverse_warmup,1.0,0.029410239309072495,0.00491739809513092,0.005444682203233242,0.8476986885070801,0.0,0.01659270003437996,0.06507080544433808,0.005578533746302128,0.986409068107605,0.49952149391174316,0.2080632597208023,0.0278167724609375,130892.29086542875,0.0
400,inverse_warmup,1.0,0.025312911719083786,0.0036847623996436596,0.0047850776463747025,0.8698133826255798,0.0,0.012846929021179676,0.179278970819369,0.005578533746302128,0.986409068107605,0.49952149391174316,0.2080632597208023,0.0278167724609375,130892.29086542875,0.0
600,inverse_warmup,1.0,0.015291672199964523,0.0013609902234748006,0.004807769320905209,0.868381679058075,0.0,0.018569711595773697,0.09891050591893671,0.005578533746302128,0.986409068107605,0.49952149391174316,0.2080632597208023,0.0278167724609375,130892.29086542875,0.0
800,inverse_warmup,1.0,0.02528262883424759,0.0035514975897967815,0.004938736092299223,0.8568576574325562,0.0,0.022839251905679703,0.1579439186128621,0.005578533746302128,0.986409068107605,0.49952149391174316,0.2080632597208023,0.0278167724609375,130892.29086542875,0.0
1000,inverse_warmup,1.0,0.021764811128377914,0.0027383435517549515,0.005056287627667189,0.8456112146377563,0.0,0.011019454337656498,0.10041913375603047,0.005578533746302128,0.986409068107605,0.49952149391174316,0.2080632597208023,0.0278167724609375,130892.29086542875,0.0
1200,inverse_warmup,1.0,0.015623392537236214,0.0011238058796152472,0.00501137925311923,0.8695744276046753,0.0,0.016694681718945503,0.1869704919470828,0.005578533746302128,0.986409068107605,0.49952149391174316,0.2080632597208023,0.0278167724609375,130892.29086542875,0.0
1400,inverse_warmup,1.0,0.022089488804340363,0.002567591145634651,0.005124947987496853,0.8580868244171143,0.0,0.01659270189702511,0.09439909706926825,0.005578533746302128,0.986409068107605,0.49952149391174316,0.2080632597208023,0.0278167724609375,130892.29086542875,0.0
1600,joint_soft,1.0,0.019319094717502594,0.0021449103951454163,0.0048515088856220245,0.8680977821350098,2.1377063319505396e-07,0.010625781491398811,0.10575855230154398,0.005579136777669191,0.9864128828048706,0.4995022118091583,0.20807240903377533,0.027820587158203125,130898.68228519338,6.391419764637249
1800,joint_soft,1.0,0.013293368741869926,0.0008172653615474701,0.004924015607684851,0.8669218420982361,2.648570216479129e-07,0.016751861199736595,0.07638062312951228,0.005580301396548748,0.9864112734794617,0.4994754195213318,0.20809294283390045,0.02783203125,130912.989485383,20.698619954258902
2000,joint_soft,1.0,0.021383490413427353,0.002496997592970729,0.004901898093521595,0.8703590631484985,1.327917857452121e-06,0.023959409445524216,0.12526633816029495,0.005581745877861977,0.9864110350608826,0.49944907426834106,0.20811517536640167,0.027851104736328125,130928.40571854528,36.11485311653814
2200,joint_soft,1.0,0.01837126724421978,0.00188593624625355,0.004818714689463377,0.863257110118866,1.824356559154694e-07,0.01103049423545599,0.07802521834607155,0.005583459045737982,0.9864104390144348,0.49942123889923096,0.20813894271850586,0.027828216552734375,130944.86021222826,52.56934679951519
2400,joint_soft,1.0,0.013477972708642483,0.0007805712521076202,0.004915048833936453,0.8679056763648987,3.2868783250705746e-07,0.016019515693187714,0.13485681409693664,0.005584949627518654,0.9864107966423035,0.4993956685066223,0.20816421508789062,0.02782440185546875,130962.32911795666,70.03825252791285
2600,joint_soft,1.0,0.020059742033481598,0.0020247912034392357,0.0050696711987257,0.8667758703231812,1.2058929996783263e-06,0.02149316668510437,0.11051110698848639,0.005586191546171904,0.9864115118980408,0.4993705153465271,0.20819073915481567,0.02783203125,130980.66348892878,88.37262350003584
2800,joint_soft,1.0,0.017865654081106186,0.001706077135168016,0.004909122362732887,0.8707795143127441,3.281947726918588e-07,0.011686916463077068,0.1055422041557797,0.005587980151176453,0.9864126443862915,0.49934375286102295,0.20821847021579742,0.027866363525390625,130999.80433573174,107.51347030299075
