step,phase,m,loss,train_mse,val_mse,val_ssim,grad_norm_illum,grad_norm_upsampler,grad_norm_recon,H_t_min,H_t_max,H_t_mean,H_t_std,H_t_binary_fraction,illum_l2,illum_delta
200,inverse_warmup,1.0,0.027935180813074112,0.004277267027646303,0.00523031409829855,0.862524151802063,0.0,0.018242226913571358,0.21623860018671331,0.010045968927443027,0.990330696105957,0.4999280869960785,0.20856866240501404,0.028331756591796875,513.144960025917,0.0
400,inverse_warmup,1.0,0.027212806046009064,0.004268866032361984,0.005685100331902504,0.8094844818115234,0.0,0.020701786503195763,0.18108755968675788,0.010045968927443027,0.990330696105957,0.4999280869960785,0.20856866240501404,0.028331756591796875,513.144960025917,0.0
600,inverse_warmup,1.0,0.01723652333021164,0.001727126887999475,0.005070304498076439,0.8631130456924438,0.0,0.021042287349700928,0.1925997788886473,0.010045968927443027,0.990330696105957,0.4999280869960785,0.20856866240501404,0.028331756591796875,513.144960025917,0.0
800,inverse_warmup,1.0,0.02352050505578518,0.003304096171632409,0.005282373167574406,0.8618505001068115,0.0,0.024748072028160095,0.176537033733022,0.010045968927443027,0.990330696105957,0.4999280869960785,0.20856866240501404,0.028331756591796875,513.144960025917,0.0
1000,inverse_warmup,1.0,0.024962667375802994,0.003368176519870758,0.006060850340873003,0.8247564435005188,0.0,0.01305290125310421,0.14904092944856648,0.010045968927443027,0.990330696105957,0.4999280869960785,0.20856866240501404,0.028331756591796875,513.144960025917,0.0
1200,inverse_warmup,1.0,0.016348514705896378,0.0013430709950625896,0.005513761658221483,0.842454731464386,0.0,0.021389460191130638,0.2257141584464191,0.010045968927443027,0.990330696105957,0.4999280869960785,0.20856866240501404,0.028331756591796875,513.144960025917,0.0
1400,inverse_warmup,1.0,0.02143631875514984,0.0026085996069014072,0.005202231928706169,0.8648674488067627,0.0,0.012426817789673805,0.13113326957804802,0.010045968927443027,0.990330696105957,0.4999280869960785,0.20856866240501404,0.028331756591796875,513.144960025917,0.0
1600,joint_soft,1.0,0.024009138345718384,0.0031311374623328447,0.005126471631228924,0.8435751795768738,1.8410644770483486e-05,0.014056295156478882,0.1434275811661093,5.088526813779026e-05,0.9999721050262451,0.6628962159156799,0.4433571696281433,0.9356193542480469,2375.9130876359936,1862.7681276100766
1800,joint_soft,1.0,0.014357110485434532,0.0009759094100445509,0.004614339675754309,0.8690509796142578,3.983320766565157e-06,0.017029933631420135,0.10674738877840866,3.373564686626196e-05,0.9999889135360718,0.6556095480918884,0.4628596901893616,0.9931106567382812,2623.6838605289317,2110.5389005030147
2000,joint_soft,1.0,0.019303079694509506,0.0018504969775676727,0.004517631139606237,0.8617948293685913,3.531012680468848e-06,0.02209768071770668,0.15375895048010385,1.1047885891457554e-05,0.9999984502792358,0.6548807621002197,0.4668831527233124,0.9976844787597656,2790.872085925831,2277.727125899914
2200,joint_soft,1.0,0.01986541599035263,0.0019900603219866753,0.0043824161402881145,0.8714084029197693,1.929705831571482e-06,0.01233446691185236,0.09502595658579752,2.0149659576418344e-06,1.0,0.6535855531692505,0.46847426891326904,0.9978370666503906,2904.3253949927857,2391.1804349668687
2400,joint_soft,1.0,0.013048085384070873,0.0007047557737678289,0.004751991480588913,0.8572574257850647,1.9644755866465857e-06,0.0163466427475214,0.0874584667434203,6.608519242945476e-07,1.0,0.6531006097793579,0.46964916586875916,0.998443603515625,3006.942300743398,2493.797340717481
2600,joint_soft,1.0,0.019072674214839935,0.0018459456041455269,0.00454962532967329,0.864840567111969,2.508458237571176e-06,0.02564319223165512,0.17556426661783214,2.9858497896384506e-07,1.0,0.6528262495994568,0.4704461991786957,0.9988937377929688,3091.3453381982413,2578.2003781723242
2800,joint_soft,1.0,0.019161641597747803,0.0017469099257141352,0.0044805253855884075,0.8697295784950256,1.490474915044615e-06,0.01309148222208023,0.10745023875343136,2.009286532711485e-07,1.0,0.6523376703262329,0.4710105061531067,0.9988288879394531,3161.7381295736686,2648.5931695477516
3000,joint_soft,1.0,0.01294221356511116,0.0006923236651346087,0.005286890082061291,0.8278234004974365,1.4454529946306138e-06,0.01557050459086895,0.11056472577324769,2.0094186936603364e-07,1.0,0.6517787575721741,0.4715440571308136,0.9990692138671875,3222.0463994176125,2708.9014393916955
3200,joint_soft,1.0,0.01750360056757927,0.0014970264164730906,0.004378178622573614,0.8718661665916443,1.2199440106996917e-06,0.015410088002681732,0.11342044079369819,2.0095318120638694e-07,1.0,0.6519756317138672,0.4721080958843231,0.9995841979980469,3289.0453022115703,2775.9003421856532
3400,joint_soft,1.0,0.01850569248199463,0.001552865607663989,0.004303768277168274,0.872073233127594,1.1291048167549889e-06,0.011828625574707985,0.09826147023423788,7.079737684989595e-08,1.0,0.6518769860267639,0.47236135601997375,0.9995803833007812,3339.0962849250095,2825.9513248990925
3600,joint_soft,1.0,0.012960648164153099,0.0006968975067138672,0.004936858545988798,0.8428841829299927,1.210739014823048e-06,0.015270866453647614,0.07463087611843318,9.418488211565545e-10,1.0,0.6516686677932739,0.4725286066532135,0.9995918273925781,3381.797007509469,2868.652047483552
3800,joint_soft,1.0,0.01629185676574707,0.0012745906133204699,0.00431907968595624,0.8712504506111145,1.011899257719051e-06,0.012821062467992306,0.06751200296810793,9.412991497370626e-10,1.0,0.651651918888092,0.47276052832603455,0.9996719360351562,3428.7039825566744,2915.5590225307574
4000,joint_soft,1.0,0.017952054738998413,0.0014608800411224365,0.004308643750846386,0.8722921013832092,1.05598121535877e-06,0.013953909277915955,0.0948116185682783,9.412991497370626e-10,1.0,0.6515874862670898,0.4729669988155365,0.9996223449707031,3467.8686537987564,2954.7236937728394
4200,joint_soft,1.0,0.013523144647479057,0.0007600480457767844,0.004185565281659365,0.8748531341552734,9.517518719803775e-07,0.01389356516301632,0.12515107807002673,9.412991497370626e-10,1.0,0.6516395211219788,0.47319790720939636,0.9997825622558594,3508.189419059353,2995.044459033436
4400,joint_soft,1.0,0.01595865562558174,0.001201082137413323,0.004265857860445976,0.8706312775611877,8.615155024926935e-07,0.012575005181133747,0.0872939635039488,9.412991497370626e-10,1.0,0.6514988541603088,0.4732256233692169,0.9998283386230469,3539.4745372724465,3026.3295772465294
4600,joint_soft,1.0,0.017900589853525162,0.001429158728569746,0.004516135901212692,0.8616912364959717,9.744419458002085e-07,0.011589927598834038,0.12078342173564346,9.412991497370626e-10,1.0,0.6514499187469482,0.4733593165874481,0.9997100830078125,3572.175807543632,3059.030847517715
4800,joint_soft,1.0,0.012827087193727493,0.0006751257460564375,0.004316835198551416,0.873236894607544,9.780128493730444e-07,0.013701030053198338,0.13839380646565783,9.412991497370626e-10,1.0,0.6515038013458252,0.4735186696052551,0.999786376953125,3605.332023545127,3092.18706351921
5000,joint_soft,1.0,0.01611676998436451,0.0012129717506468296,0.004181751981377602,0.8741397857666016,8.081888154265471e-07,0.009410849772393703,0.10354990236163823,9.412991497370626e-10,1.0,0.6514043807983398,0.47356218099594116,0.9997711181640625,3631.2356023810958,3118.0906423551787
5200,joint_soft,1.0,0.017657149583101273,0.0014135291567072272,0.004275798797607422,0.8747284412384033,9.031250556290615e-07,0.012721837498247623,0.0913855872406969,9.412991497370626e-10,1.0,0.6514464020729065,0.47370851039886475,0.9998550415039062,3662.123291206892,3148.978331180975
5400,joint_soft,1.0,0.012267354875802994,0.0005766341928392649,0.004386378452181816,0.8734773993492126,8.933528761190246e-07,0.013154681771993637,0.09963135986754301,9.412991497370626e-10,1.0,0.6513503193855286,0.4737198054790497,0.9998550415039062,3684.951288687545,3171.806328661628
