step,phase,m,loss,train_mse,val_mse,val_ssim,grad_norm_illum,grad_norm_upsampler,grad_norm_recon,H_t_min,H_t_max,H_t_mean,H_t_std,H_t_binary_fraction,illum_l2,illum_delta
200,inverse_warmup,1.0,0.03373850882053375,0.0063571808859705925,0.004348718095570803,0.8742040395736694,0.0,0.010613452533606295,0.2698386020889223,0.010045974515378475,0.990330696105957,0.4999280571937561,0.20856866240501404,0.028331756591796875,131365.10976663476,0.0
400,inverse_warmup,1.0,0.02564225345849991,0.004163880832493305,0.0040144058875739574,0.8718405365943909,0.0,0.011062047457068224,0.14590849120058746,0.010045974515378475,0.990330696105957,0.4999280571937561,0.20856866240501404,0.028331756591796875,131365.10976663476,0.0
600,inverse_warmup,1.0,0.038726840168237686,0.006431954447180033,0.0037398487329483032,0.8741260766983032,0.0,0.02325383224371192,0.3142604379712348,0.010045974515378475,0.990330696105957,0.4999280571937561,0.20856866240501404,0.028331756591796875,131365.10976663476,0.0
800,inverse_warmup,1.0,0.027778642252087593,0.004458172712475061,0.003623774042353034,0.8557794094085693,0.0,0.023481280231048892,0.20420341107364184,0.010045974515378475,0.990330696105957,0.4999280571937561,0.20856866240501404,0.028331756591796875,131365.10976663476,0.0
1000,inverse_warmup,1.0,0.024587396532297134,0.003630218096077442,0.0034911378752440214,0.874232828617096,0.0,0.02876364824630555,0.22174788828551362,0.010045974515378475,0.990330696105957,0.4999280571937561,0.20856866240501404,0.028331756591796875,131365.10976663476,0.0
1200,inverse_warmup,1.0,0.0351065918803215,0.005180955398827791,0.0032770715188235044,0.8835509419441223,0.0,0.051088780899469145,0.3044624650473309,0.010045974515378475,0.990330696105957,0.4999280571937561,0.20856866240501404,0.028331756591796875,131365.10976663476,0.0
1400,inverse_warmup,1.0,0.024827338755130768,0.0035341852344572544,0.003249423112720251,0.8828729391098022,0.0,0.020980203171878143,0.09459408280110393,0.010045974515378475,0.990330696105957,0.4999280571937561,0.20856866240501404,0.028331756591796875,131365.10976663476,0.0
1600,joint_soft,1.0,0.022686216980218887,0.0031735619995743036,0.00335242529399693,0.8813452124595642,2.25957123234366e-07,0.017636467583019396,0.09401146806759696,0.010058700107038021,0.9903124570846558,0.49995627999305725,0.2085108608007431,0.028263092041015625,131324.8342698364,40.27549679836375
1800,joint_soft,1.0,0.026214390993118286,0.003784795291721821,0.0030709204729646444,0.8867297768592834,8.948329082159034e-07,0.037603295837805646,0.15950692163944008,0.010089538991451263,0.9902238249778748,0.4999903440475464,0.2084483653306961,0.028240203857421875,131280.3812304032,84.7285362315597
2000,joint_soft,1.0,0.022875145077705383,0.002949469955638051,0.0029291659593582153,0.8844592571258545,2.1522318149891362e-07,0.022069739699052317,0.12416594597222484,0.010130230337381363,0.9901946187019348,0.5000211000442505,0.20840242505073547,0.028232574462890625,131247.94441056973,117.16535606503021
2200,joint_soft,1.0,0.0217120498418808,0.0029848339036107063,0.0030193347483873367,0.886082649230957,1.442849253407985e-07,0.014534024178519601,0.05677619073899232,0.01016605831682682,0.9901592135429382,0.5000375509262085,0.2083786278963089,0.028228759765625,131230.37306965183,134.73669698293088
2400,joint_soft,1.0,0.023683302104473114,0.0033065162133425474,0.0029064768459647894,0.8875217437744141,1.7891956076709903e-06,0.017650165250516367,0.07810866191005619,0.010199177078902721,0.9901885390281677,0.5000596046447754,0.20835037529468536,0.028179168701171875,131210.55177080844,154.55799582632608
2600,joint_soft,1.0,0.021960724145174026,0.0028181616216897964,0.00284443493001163,0.8877506256103516,1.26414875012415e-07,0.013799325047081012,0.039855601171980615,0.010238604620099068,0.9902008175849915,0.5000764727592468,0.2083289623260498,0.02813720703125,131195.03600365375,170.07376298101735
2800,joint_soft,1.0,0.021780334413051605,0.0030138446018099785,0.0031212810426950455,0.8759536743164062,1.2253524346306222e-06,0.024415423159088002,0.09306977743802125,0.010253745131194592,0.9901375770568848,0.500078558921814,0.2083246409893036,0.028156280517578125,131190.6338120218,174.47595461294986
3000,joint_soft,1.0,0.023110510781407356,0.003166496055200696,0.002788677578791976,0.8893846869468689,1.1912399031643872e-06,0.015394733073830543,0.04523113440489696,0.010276970453560352,0.9901812672615051,0.5000914335250854,0.20831014215946198,0.0281219482421875,131180.25217234492,184.85759428984602
3200,joint_soft,1.0,0.022096777334809303,0.002821939531713724,0.002754812128841877,0.8867831826210022,1.9386661165299302e-07,0.015347022103970773,0.08628742472335581,0.010298152454197407,0.9902196526527405,0.5001016855239868,0.20829814672470093,0.028118133544921875,131171.02509319654,194.08467343822122
3400,joint_soft,1.0,0.021143943071365356,0.002839169930666685,0.0027924722526222467,0.8890853524208069,2.0035578529586928e-07,0.013261487468319538,0.042639472275047545,0.01030756626278162,0.9902419447898865,0.5001088976860046,0.20829012989997864,0.028087615966796875,131164.44396253125,200.66580410351162
3600,joint_soft,1.0,0.02313590981066227,0.003153843805193901,0.0028858608566224575,0.8881067633628845,2.0788588699360844e-06,0.019357338887584667,0.09096354353722616,0.010310397483408451,0.9902687072753906,0.5001140236854553,0.20828408002853394,0.028079986572265625,131159.18975047077,205.9200161639892
