step,phase,m,loss,train_mse,val_mse,val_ssim,grad_norm_illum,grad_norm_upsampler,grad_norm_recon,H_t_min,H_t_max,H_t_mean,H_t_std,H_t_binary_fraction,illum_l2,illum_delta
200,inverse_warmup,1.0,0.029111534357070923,0.0044929711148142815,0.006135174538940191,0.8067832589149475,0.0,0.012349162250757217,0.3463031903253286,0.010045974515378475,0.990330696105957,0.4999280571937561,0.20856866240501404,0.028331756591796875,131365.10976663476,0.0
400,inverse_warmup,1.0,0.02684430032968521,0.0039299181662499905,0.0055097052827477455,0.8150589466094971,0.0,0.021472519263625145,0.12589927932669465,0.010045974515378475,0.990330696105957,0.4999280571937561,0.20856866240501404,0.028331756591796875,131365.10976663476,0.0
600,inverse_warmup,1.0,0.015956489369273186,0.0014969664625823498,0.005399699788540602,0.8630074262619019,0.0,0.018713846802711487,0.10617280673572524,0.010045974515378475,0.990330696105957,0.4999280571937561,0.20856866240501404,0.028331756591796875,131365.10976663476,0.0
800,inverse_warmup,1.0,0.02478145621716976,0.003628543810918927,0.00557680893689394,0.8517206311225891,0.0,0.02114366553723812,0.2713607632098576,0.010045974515378475,0.990330696105957,0.4999280571937561,0.20856866240501404,0.028331756591796875,131365.10976663476,0.0
1000,inverse_warmup,1.0,0.02415085770189762,0.0031331838108599186,0.004996987991034985,0.8666465282440186,0.0,0.018999222666025162,0.12982058183610706,0.010045974515378475,0.990330696105957,0.4999280571937561,0.20856866240501404,0.028331756591796875,131365.10976663476,0.0
1200,inverse_warmup,1.0,0.014893507584929466,0.0011679248418658972,0.00544734438881278,0.8629716634750366,0.0,0.01712365448474884,0.1034355570197285,0.010045974515378475,0.990330696105957,0.4999280571937561,0.20856866240501404,0.028331756591796875,131365.10976663476,0.0
1400,inverse_warmup,1.0,0.02099124900996685,0.0024988565128296614,0.005322205368429422,0.8589730262756348,0.0,0.012658643536269665,0.14182457878178278,0.010045974515378475,0.990330696105957,0.4999280571937561,0.20856866240501404,0.028331756591796875,131365.10976663476,0.0
1600,joint_soft,1.0,0.02251436747610569,0.0028007659129798412,0.005328353028744459,0.8593026995658875,6.796698812649993e-07,0.017413513734936714,0.13807472940328902,0.010048791766166687,0.9903333783149719,0.4999031126499176,0.20857945084571838,0.0283355712890625,131372.6239975437,7.514230908942409
1800,joint_soft,1.0,0.014479965902864933,0.0010272751096636057,0.005478501319885254,0.8605502843856812,5.440608674689429e-07,0.01844979077577591,0.1337975683491142,0.010049332864582539,0.9903354644775391,0.4998806416988373,0.2086029201745987,0.028347015380859375,131388.92933577014,23.819569135375787
2000,joint_soft,1.0,0.020619502291083336,0.0024034101516008377,0.005362605210393667,0.8623859286308289,6.920215582795208e-07,0.01584203541278839,0.15577538436580476,0.010049977339804173,0.9903380274772644,0.49985796213150024,0.208627849817276,0.028350830078125,131406.2534889417,41.14372230693698
