step,epoch,loss,train_mse,train_ssim,val_mse,val_ssim,H_t_min,H_t_max,H_t_mean,H_t_binary_fraction,grad_norm_W,grad_norm_inverse,detector_min,detector_max,detector_mean,sigmoid_m
200,11,0.07494784891605377,0.03312402218580246,0.6654022932052612,0.03718397642175356,0.6413085063298544,7.355450656767149e-22,1.0,0.5000897645950317,0.8257412910461426,0.0,0.09973916695168207,0.0,41.375946044921875,4.189997673034668,10.0
400,22,0.05442603677511215,0.02010798454284668,0.8067625761032104,0.02489245931307475,0.7732790559530258,7.355450656767149e-22,1.0,0.5000897645950317,0.8257412910461426,0.0,0.15677655829709855,0.0,40.071475982666016,4.209864139556885,10.0
600,32,0.04739674553275108,0.016435347497463226,0.838029146194458,0.02186155893529455,0.7983612219492594,7.355450656767149e-22,1.0,0.5000897645950317,0.8257412910461426,0.0,0.152858206941903,0.0,38.384666442871094,4.192931175231934,10.0
800,43,0.045222166925668716,0.01513034850358963,0.8505859375,0.02105637624238928,0.8070897807677587,7.355450656767149e-22,1.0,0.5000897645950317,0.8257412910461426,0.0,0.19039796729181477,0.0,39.82548522949219,4.191118240356445,10.0
1000,53,0.04242229089140892,0.015331044793128967,0.848988950252533,0.02090159896761179,0.8105806758006414,7.355450656767149e-22,1.0,0.5000897645950317,0.8257412910461426,0.0,0.14240049917881636,0.0,44.7532958984375,4.147237777709961,10.0
1200,64,0.042076267302036285,0.013575920835137367,0.8267467021942139,0.01980403531342745,0.7783582458893458,7.355450656767149e-22,1.0,0.5000897645950317,0.8257412910461426,0.0,0.16129847355035584,0.0,39.952789306640625,4.203781604766846,10.0
1400,74,0.040761154145002365,0.013067182153463364,0.8701328635215759,0.019801047630608082,0.8204037050406138,7.355450656767149e-22,1.0,0.5000897645950317,0.8257412910461426,0.0,0.18727854095191196,0.0,39.057796478271484,4.178807258605957,10.0
1600,85,0.04010628163814545,0.01211676374077797,0.8799946308135986,0.01840316333497564,0.8317055851221085,7.355450656767149e-22,1.0,0.5000897645950317,0.8257412910461426,0.0,0.17815726848309976,0.0,40.41920852661133,4.208294868469238,10.0
1800,95,0.03811073303222656,0.011226395145058632,0.8833479881286621,0.017591755061099928,0.8339726775884628,7.355450656767149e-22,1.0,0.5000897645950317,0.8257412910461426,0.0,0.12722757909747018,0.0,39.15357971191406,4.189940929412842,10.0
2000,106,0.03713878616690636,0.010713634081184864,0.8885365128517151,0.01729025924578309,0.8367725859085718,7.355450656767149e-22,1.0,0.5000897645950317,0.8257412910461426,0.0,0.14021475162748456,0.0,44.537086486816406,4.171419143676758,10.0
2200,116,0.0384431928396225,0.01104483287781477,0.8873225450515747,0.017317143734544516,0.8379176557064056,7.355450656767149e-22,1.0,0.5000897645950317,0.8257412910461426,0.0,0.22993744794048784,0.0,38.978702545166016,4.186753749847412,10.0
2400,127,0.03652811050415039,0.010160990059375763,0.8947417736053467,0.016569900481651228,0.843051865696907,7.355450656767149e-22,1.0,0.5000897645950317,0.8257412910461426,0.0,0.1450795880792159,0.0,39.23178482055664,4.200630187988281,10.0
2600,137,0.03519674763083458,0.010234950110316277,0.89003586769104,0.01687052721778552,0.8376301676034927,7.355450656767149e-22,1.0,0.5000897645950317,0.8257412910461426,0.0,0.17352973337953145,0.0,39.051692962646484,4.185083389282227,10.0
2800,148,0.03466933220624924,0.009738815948367119,0.8983597755432129,0.016660892094175022,0.8434228201707205,7.355450656767149e-22,1.0,0.5000897645950317,0.8257412910461426,0.0,0.1405149036912398,0.0,42.878868103027344,4.193950176239014,10.0
3000,158,0.03437370806932449,0.009660404175519943,0.8971399068832397,0.016472111611316603,0.8435325026512146,7.355450656767149e-22,1.0,0.5000897645950317,0.8257412910461426,0.0,0.1582517787667873,0.0,37.77312088012695,4.202437877655029,10.0
3200,169,0.034185562282800674,0.009740542620420456,0.8972100615501404,0.016613703065862257,0.843217541774114,7.355450656767149e-22,1.0,0.5000897645950317,0.8257412910461426,0.0,0.15115109761917336,0.0,40.27131652832031,4.183059215545654,10.0
3400,179,0.03449080511927605,0.009746536612510681,0.8960368037223816,0.01649940727899472,0.8412159780661265,7.355450656767149e-22,1.0,0.5000897645950317,0.8257412910461426,0.0,0.16369027074827905,0.0,40.55082702636719,4.204422950744629,10.0
3600,190,0.03316095843911171,0.008957527577877045,0.9059326648712158,0.016075422366460163,0.8469925771156946,7.355450656767149e-22,1.0,0.5000897645950317,0.8257412910461426,0.0,0.161196339379716,0.0,40.80742645263672,4.1984100341796875,10.0
3800,200,0.031156716868281364,0.008087879978120327,0.9104558229446411,0.016269889970620472,0.8441626032193502,7.355450656767149e-22,1.0,0.5000897645950317,0.8257412910461426,0.0,0.17225764492713688,0.0,39.64143753051758,4.197418212890625,10.0
4000,211,0.03414686769247055,0.00957290269434452,0.9032180309295654,0.016922229435294867,0.8447626382112503,7.355450656767149e-22,1.0,0.5000897645950317,0.8257412910461426,0.0,0.19135772770875567,0.0,41.375946044921875,4.189997673034668,10.0
