step,epoch,loss,train_mse,train_ssim,val_mse,val_ssim,H_t_min,H_t_max,H_t_mean,H_t_binary_fraction,grad_norm_W,grad_norm_inverse,detector_min,detector_max,detector_mean,sigmoid_m
200,11,0.09724096953868866,0.05114129185676575,0.5645053386688232,0.05087945330888033,0.5653626024723053,7.355450656767149e-22,1.0,0.5000897645950317,0.8257412910461426,0.0,0.18433294512007387,0.0,39.20372772216797,4.210864067077637,10.0
400,22,0.08352211117744446,0.04041793942451477,0.6563211679458618,0.040416610427200794,0.6566152721643448,7.355450656767149e-22,1.0,0.5000897645950317,0.8257412910461426,0.0,0.16609745333243905,0.0,44.7532958984375,4.206027507781982,10.0
600,32,0.07976828515529633,0.038532622158527374,0.680568277835846,0.03863990896691879,0.6820438206195831,7.355450656767149e-22,1.0,0.5000897645950317,0.8257412910461426,0.0,0.2060125696957973,0.0,42.878868103027344,4.195644378662109,10.0
800,43,0.07856357097625732,0.03833930566906929,0.685197114944458,0.03824279922991991,0.6880604028701782,7.355450656767149e-22,1.0,0.5000897645950317,0.8257412910461426,0.0,0.21427780315838396,0.0,39.96284103393555,4.176366806030273,10.0
1000,53,0.07804907113313675,0.03731141984462738,0.6883991956710815,0.037139856877426304,0.6915087103843689,7.355450656767149e-22,1.0,0.5000897645950317,0.8257412910461426,0.0,0.20057846330610948,0.0,38.83694839477539,4.17732048034668,10.0
1200,64,0.07740767300128937,0.03723643720149994,0.6907470226287842,0.037153188760081925,0.6942576617002487,7.355450656767149e-22,1.0,0.5000897645950317,0.8257412910461426,0.0,0.11996834606614025,0.0,41.375946044921875,4.1794538497924805,10.0
1400,74,0.0769827738404274,0.03691316395998001,0.695792019367218,0.03665149056663116,0.698285698890686,7.355450656767149e-22,1.0,0.5000897645950317,0.8257412910461426,0.0,0.10907751012673077,0.0,39.39048767089844,4.211647033691406,10.0
1600,85,0.07666821777820587,0.03665687516331673,0.6990863084793091,0.03639492734024922,0.7033967475096384,7.355450656767149e-22,1.0,0.5000897645950317,0.8257412910461426,0.0,0.13912141973709774,0.0,39.23928451538086,4.184150695800781,10.0
1800,95,0.07574565708637238,0.03607553988695145,0.7031724452972412,0.03613111190497875,0.7053854614496231,7.355450656767149e-22,1.0,0.5000897645950317,0.8257412910461426,0.0,0.6353199472259521,0.0,40.80742645263672,4.171894073486328,10.0
2000,106,0.07553151249885559,0.035982485860586166,0.704152524471283,0.03620214822391669,0.7044648478428522,7.355450656767149e-22,1.0,0.5000897645950317,0.8257412910461426,0.0,0.16419299163898377,0.0,40.27131652832031,4.187451362609863,10.0
2200,116,0.0756596177816391,0.038473520427942276,0.692166805267334,0.038634274154901505,0.6934890002012253,7.355450656767149e-22,1.0,0.5000897645950317,0.8257412910461426,0.0,0.4118795611521639,0.0,39.95655822753906,4.190868377685547,10.0
2400,127,0.07520151138305664,0.036323122680187225,0.7049870491027832,0.036312274324397244,0.7063924620548884,7.355450656767149e-22,1.0,0.5000897645950317,0.8257412910461426,0.0,0.10007988621277306,0.0,40.55082702636719,4.211735725402832,10.0
2600,137,0.07525473088026047,0.03588378429412842,0.7010022401809692,0.03586297295987606,0.7031787782907486,7.355450656767149e-22,1.0,0.5000897645950317,0.8257412910461426,0.0,0.14234326617537368,0.0,39.82548522949219,4.197090148925781,10.0
2800,148,0.07551753520965576,0.03637060150504112,0.6979076266288757,0.03621091414242983,0.7002743929624557,7.355450656767149e-22,1.0,0.5000897645950317,0.8257412910461426,0.0,0.10124357161343481,0.0,38.277069091796875,4.203624725341797,10.0
3000,158,0.0753319263458252,0.035483792424201965,0.7049343585968018,0.03529875539243221,0.707972119251887,7.355450656767149e-22,1.0,0.5000897645950317,0.8257412910461426,0.0,0.2330628471083309,0.0,39.03520584106445,4.199918746948242,10.0
3200,169,0.0751579999923706,0.03608248010277748,0.6999239325523376,0.03584533277899027,0.7029665460189184,7.355450656767149e-22,1.0,0.5000897645950317,0.8257412910461426,0.0,0.1513497995041333,0.0,39.77497100830078,4.1755170822143555,10.0
3400,179,0.07509119063615799,0.035088323056697845,0.7039737105369568,0.03503180295228958,0.7062750458717346,7.355450656767149e-22,1.0,0.5000897645950317,0.8257412910461426,0.0,0.1572777000694406,0.0,40.41920852661133,4.193068504333496,10.0
3600,190,0.07465432584285736,0.03581046313047409,0.704374372959137,0.03581668995320797,0.706360916296641,7.355450656767149e-22,1.0,0.5000897645950317,0.8257412910461426,0.0,0.12367568863284396,0.0,39.242042541503906,4.170662879943848,10.0
3800,200,0.07442270964384079,0.036478191614151,0.696556568145752,0.036551790311932564,0.6978371739387512,7.355450656767149e-22,1.0,0.5000897645950317,0.8257412910461426,0.0,0.24460621998506948,0.0,44.537086486816406,4.19052791595459,10.0
4000,211,0.07468552887439728,0.03633452206850052,0.7095945477485657,0.03614757830897967,0.7109563400348028,7.355450656767149e-22,1.0,0.5000897645950317,0.8257412910461426,0.0,0.33892381888070244,0.0,39.20372772216797,4.210864067077637,10.0
