run_id,image_size,num_train,upsampling,test_mse,test_ssim,seed
fig5_is64_n600_locality,64,600,locality_aware,0.020702888102581102,0.819819857676824,42
fig5_is64_n600_transpose,64,600,transpose_conv,0.03324289961407582,0.7333816985289255,42
fig5_is64_n3000_locality,64,3000,locality_aware,0.01414533246619006,0.8698470344146093,42
fig5_is64_n3000_transpose,64,3000,transpose_conv,0.026650644062707823,0.7725075284639994,42
fig5_is64_n6000_locality,64,6000,locality_aware,0.012962941080331802,0.8732573588689169,42
fig5_is64_n6000_transpose,64,6000,transpose_conv,0.024615822980801266,0.782397985458374,42
fig5_is128_n600_locality,128,600,locality_aware,0.017862615796426933,0.83751214047273,42
fig5_is128_n600_transpose,128,600,transpose_conv,0.03868438924352328,0.6945544381936392,42
fig5_is128_n3000_locality,128,3000,locality_aware,0.012392593237260977,0.8796652207771937,42
fig5_is128_n3000_transpose,128,3000,transpose_conv,0.03603587454805771,0.7060058414936066,42
fig5_is128_n6000_locality,128,6000,locality_aware,0.011734109915172061,0.8868306875228882,42
fig5_is128_n6000_transpose,128,6000,transpose_conv,0.03564351952324311,0.7031816691160202,42
fig5_is256_n600_locality,256,600,locality_aware,0.0166991554821531,0.8449689000844955,42
fig5_is256_n600_transpose,256,600,transpose_conv,0.03675132244825363,0.702883337934812,42
fig5_is256_n3000_locality,256,3000,locality_aware,0.011946701832736531,0.8835399200518926,42
fig5_is256_n3000_transpose,256,3000,transpose_conv,0.03639420152952274,0.7029527773459753,42
fig5_is256_n6000_locality,256,6000,locality_aware,0.011383164130772153,0.8863021781047186,42
fig5_is256_n6000_transpose,256,6000,transpose_conv,0.03608345581839482,0.7070359537998835,42
fig5_is512_n600_locality,512,600,locality_aware,0.016199510854979355,0.8465295086304346,42
fig5_is512_n600_transpose,512,600,transpose_conv,0.035414716539283596,0.7049353420734406,42
fig5_is512_n3000_locality,512,3000,locality_aware,0.011724128077427546,0.8856154829263687,42
fig5_is512_n3000_transpose,512,3000,transpose_conv,0.03500991904487213,0.7107276121775309,42
fig5_is512_n6000_locality,512,6000,locality_aware,0.011210263473913074,0.888952707250913,42
fig5_is512_n6000_transpose,512,6000,transpose_conv,0.035301701786617436,0.7051344563563665,42
