run_id,image_size,num_train,upsampling,test_mse,test_ssim,seed
fig5_is64_n600_transpose,64,600,transpose_conv,0.03386294934898615,0.7279211431741714,42
fig5_is64_n600_locality,64,600,locality_aware,0.020994951482862234,0.8166685203711191,42
fig5_is64_n3000_transpose,64,3000,transpose_conv,0.027583707123994827,0.7650954226652781,42
fig5_is64_n3000_locality,64,3000,locality_aware,0.013277754265194138,0.8732432077328364,42
fig5_is64_n6000_transpose,64,6000,transpose_conv,0.025438048411160707,0.7817895362774531,42
fig5_is64_n6000_locality,64,6000,locality_aware,0.01269354298710823,0.8807145754496256,42
fig5_is128_n600_transpose,128,600,transpose_conv,0.03857592244942983,0.6923868556817373,42
fig5_is128_n600_locality,128,600,locality_aware,0.01770530299594005,0.8362491130828857,42
fig5_is128_n3000_transpose,128,3000,transpose_conv,0.036248448925713696,0.705168733994166,42
fig5_is128_n3000_locality,128,3000,locality_aware,0.012380608900760611,0.8816558569669724,42
fig5_is128_n6000_transpose,128,6000,transpose_conv,0.03645716638614734,0.7015075733264288,42
fig5_is128_n6000_locality,128,6000,locality_aware,0.01196808647364378,0.8832605928182602,42
fig5_is256_n600_transpose,256,600,transpose_conv,0.03660043670485417,0.7031412869691849,42
fig5_is256_n600_locality,256,600,locality_aware,0.016945723133782547,0.8412761936585108,42
fig5_is256_n3000_transpose,256,3000,transpose_conv,0.03639743632326523,0.7025175740321478,42
fig5_is256_n3000_locality,256,3000,locality_aware,0.011730866273865104,0.8852263043324152,42
fig5_is256_n6000_transpose,256,6000,transpose_conv,0.03570691682398319,0.7047898372014364,42
fig5_is256_n6000_locality,256,6000,locality_aware,0.01104625795657436,0.8898927271366119,42
fig5_is512_n600_transpose,512,600,transpose_conv,0.03534885495901108,0.7091211577256521,42
fig5_is512_n600_locality,512,600,locality_aware,0.016330149490386248,0.8465880751609802,42
fig5_is512_n3000_transpose,512,3000,transpose_conv,0.03516819793730974,0.7108440001805624,42
fig5_is512_n3000_locality,512,3000,locality_aware,0.011784355156123638,0.8843321204185486,42
fig5_is512_n6000_transpose,512,6000,transpose_conv,0.03547539127369722,0.7031662960847219,42
fig5_is512_n6000_locality,512,6000,locality_aware,0.010958285381396612,0.8926262309153875,42
