method,photon_count,sigma_read,our_mse
learnable (Our),10.0,0.0,0.0064
fixed_random,10.0,0.0,0.0208
learnable (Our),10.0,2.7,0.0066
fixed_random,10.0,2.7,0.0211
learnable (Our),10.0,2.0,0.0066
fixed_random,10.0,2.0,0.0207
learnable (Our),10.0,6.0,0.0074
fixed_random,10.0,6.0,0.0230
learnable (Our),10000.0,0.0,0.0030
fixed_random,10000.0,0.0,0.0109
learnable (Our),10000.0,2.7,0.0031
fixed_random,10000.0,2.7,0.0109
learnable (Our),10000.0,2.0,0.0032
fixed_random,10000.0,2.0,0.0109
learnable (Our),10000.0,6.0,0.0032
fixed_random,10000.0,6.0,0.0110
