step,phase,epoch,loss,train_mse,train_ssim,val_mse,val_ssim,H_t_min,H_t_max,H_t_mean,H_t_binary_fraction,grad_norm_W,grad_norm_inverse,detector_min,detector_max,detector_mean,sigmoid_m
200,inverse_warmup_m1,34,0.19100096821784973,0.13236212730407715,0.5462523698806763,0.1519124060869217,0.5077228546142578,0.005578533746302128,0.986409068107605,0.49952149391174316,0.0278167724609375,0.0,0.10903664727912454,40.168975830078125,1195.5330810546875,519.48779296875,1.0
400,inverse_warmup_m1,67,0.19310644268989563,0.13447776436805725,0.5407992601394653,0.14478954672813416,0.5215655565261841,0.005578533746302128,0.986409068107605,0.49952149391174316,0.0278167724609375,0.0,0.04197809299652217,58.98992919921875,1296.8116455078125,550.8557739257812,1.0
600,inverse_warmup_m1,100,0.18407858908176422,0.12887105345726013,0.5780787467956543,0.14714863896369934,0.5209689736366272,0.005578533746302128,0.986409068107605,0.49952149391174316,0.0278167724609375,0.0,0.10162782870753825,79.96015167236328,1173.4791259765625,522.7654418945312,1.0
800,inverse_warmup_m1,134,0.19759294390678406,0.1363474428653717,0.5389634370803833,0.1455821990966797,0.5176343321800232,0.005578533746302128,0.986409068107605,0.49952149391174316,0.0278167724609375,0.0,0.050788654430768757,78.49115753173828,2062.008544921875,574.8681640625,1.0
1000,inverse_warmup_m1,167,0.19622743129730225,0.13258108496665955,0.5243155360221863,0.14330437779426575,0.5206328630447388,0.005578533746302128,0.986409068107605,0.49952149391174316,0.0278167724609375,0.0,0.03487713846177926,84.02328491210938,1388.911865234375,568.5651245117188,1.0
1200,inverse_warmup_m1,200,0.21450254321098328,0.14252957701683044,0.49920785427093506,0.14755216240882874,0.524495005607605,0.005578533746302128,0.986409068107605,0.49952149391174316,0.0278167724609375,0.0,0.0940681328289355,102.80105590820312,1195.4080810546875,617.983154296875,1.0
1400,inverse_warmup_m1,234,0.18734808266162872,0.12969887256622314,0.5571004748344421,0.14203596115112305,0.5142810344696045,0.005578533746302128,0.986409068107605,0.49952149391174316,0.0278167724609375,0.0,0.10922361726715822,40.168975830078125,1313.0732421875,532.36669921875,1.0
1500,inverse_warmup_m1,250,0.12973561882972717,0.07859154045581818,0.6953093409538269,0.14294561743736267,0.5159074068069458,0.005578533746302128,0.986409068107605,0.49952149391174316,0.0278167724609375,0.0,0.13564131124009102,84.02328491210938,1156.544677734375,354.00006103515625,1.0
1700,joint_soft_m1,34,0.1898941993713379,0.12888294458389282,0.5422794818878174,0.14358684420585632,0.518402636051178,0.005597091745585203,0.9864224791526794,0.4995132088661194,0.0278167724609375,2.3290580486445833e-07,0.03799734941730063,58.98231887817383,1307.0299072265625,550.9652709960938,1.0
1900,joint_soft_m1,67,0.18136517703533173,0.12346495687961578,0.5679404139518738,0.14445629715919495,0.523248016834259,0.005613628774881363,0.9864338636398315,0.49950194358825684,0.027805328369140625,9.342229390085777e-08,0.10454154581600196,40.16014862060547,2061.46240234375,541.1541748046875,1.0
