/home/leonidas/workspace/differentiable_micoscopy_replication/microscopy-clean/.venv/lib/python3.12/site-packages/timm/models/layers/__init__.py:49: FutureWarning: Importing from timm.models.layers is deprecated, please import via timm.layers
  warnings.warn(f"Importing from {__name__} is deprecated, please import via timm.layers", FutureWarning)
/home/leonidas/workspace/differentiable_micoscopy_replication/microscopy-clean/.venv/lib/python3.12/site-packages/torch/functional.py:505: UserWarning: torch.meshgrid: in an upcoming release, it will be required to pass the indexing argument. (Triggered internally at /pytorch/aten/src/ATen/native/TensorShape.cpp:4381.)
  return _VF.meshgrid(tensors, **kwargs)  # type: ignore[attr-defined]
[swinir_with_li] step 100/20000 g=2.0459 pix=0.2442 1.86 it/s
[swinir_with_li] step 200/20000 g=1.8665 pix=0.1839 1.86 it/s
[swinir_with_li] step 300/20000 g=1.8928 pix=0.2138 1.85 it/s
[swinir_with_li] step 400/20000 g=1.7137 pix=0.1120 1.85 it/s
[swinir_with_li] step 500/20000 g=2.0797 pix=0.0685 1.85 it/s
[swinir_with_li] step 600/20000 g=2.0708 pix=0.0731 1.85 it/s
[swinir_with_li] step 700/20000 g=1.6155 pix=0.0703 1.86 it/s
[swinir_with_li] step 800/20000 g=1.8457 pix=0.0669 1.86 it/s
[swinir_with_li] step 900/20000 g=1.8871 pix=0.0760 1.86 it/s
[swinir_with_li] step 1000/20000 g=1.4795 pix=0.0524 1.86 it/s
[swinir_with_li] step 1100/20000 g=1.7520 pix=0.0825 1.86 it/s
[swinir_with_li] step 1200/20000 g=2.1482 pix=0.0761 1.86 it/s
[swinir_with_li] step 1300/20000 g=1.6085 pix=0.0479 1.86 it/s
[swinir_with_li] step 1400/20000 g=1.7862 pix=0.1847 1.86 it/s
[swinir_with_li] step 1500/20000 g=1.5177 pix=0.0893 1.86 it/s
[swinir_with_li] step 1600/20000 g=1.8952 pix=0.0836 1.86 it/s
[swinir_with_li] step 1700/20000 g=1.5856 pix=0.0762 1.86 it/s
[swinir_with_li] step 1800/20000 g=1.6522 pix=0.0656 1.86 it/s
