/home/leonidas/workspace/differentiable_micoscopy_replication/microscopy-clean/.venv/lib/python3.12/site-packages/timm/models/layers/__init__.py:49: FutureWarning: Importing from timm.models.layers is deprecated, please import via timm.layers
  warnings.warn(f"Importing from {__name__} is deprecated, please import via timm.layers", FutureWarning)
/home/leonidas/workspace/differentiable_micoscopy_replication/microscopy-clean/.venv/lib/python3.12/site-packages/torch/functional.py:505: UserWarning: torch.meshgrid: in an upcoming release, it will be required to pass the indexing argument. (Triggered internally at /pytorch/aten/src/ATen/native/TensorShape.cpp:4381.)
  return _VF.meshgrid(tensors, **kwargs)  # type: ignore[attr-defined]
[swinir_wo_li] step 100/20000 g=2.0788 pix=0.2433 1.85 it/s
[swinir_wo_li] step 200/20000 g=1.8771 pix=0.1834 1.85 it/s
[swinir_wo_li] step 300/20000 g=1.8478 pix=0.2069 1.85 it/s
[swinir_wo_li] step 400/20000 g=1.6995 pix=0.0791 1.85 it/s
[swinir_wo_li] step 500/20000 g=2.0283 pix=0.0796 1.85 it/s
[swinir_wo_li] step 600/20000 g=2.0081 pix=0.0739 1.85 it/s
[swinir_wo_li] step 700/20000 g=1.6668 pix=0.0530 1.86 it/s
[swinir_wo_li] step 800/20000 g=1.9768 pix=0.1751 1.86 it/s
[swinir_wo_li] step 900/20000 g=1.8939 pix=0.0917 1.86 it/s
[swinir_wo_li] step 1000/20000 g=1.4765 pix=0.0607 1.86 it/s
[swinir_wo_li] step 1100/20000 g=1.7750 pix=0.0759 1.86 it/s
[swinir_wo_li] step 1200/20000 g=2.0788 pix=0.0807 1.86 it/s
[swinir_wo_li] step 1300/20000 g=1.6038 pix=0.0727 1.86 it/s
[swinir_wo_li] step 1400/20000 g=1.6625 pix=0.0913 1.86 it/s
[swinir_wo_li] step 1500/20000 g=1.5280 pix=0.0547 1.86 it/s
[swinir_wo_li] step 1600/20000 g=1.9456 pix=0.0699 1.86 it/s
[swinir_wo_li] step 1700/20000 g=1.5972 pix=0.0519 1.86 it/s
[swinir_wo_li] step 1800/20000 g=1.6048 pix=0.0558 1.86 it/s
[swinir_wo_li] step 1900/20000 g=1.6817 pix=0.0637 1.86 it/s
[swinir_wo_li] step 2000/20000 g=1.7739 pix=0.0645 1.86 it/s
[swinir_wo_li] step 2100/20000 g=1.7460 pix=0.0849 1.86 it/s
[swinir_wo_li] step 2200/20000 g=1.5837 pix=0.0518 1.86 it/s
[swinir_wo_li] step 2300/20000 g=1.5742 pix=0.0660 1.86 it/s
[swinir_wo_li] step 2400/20000 g=1.8112 pix=0.0645 1.86 it/s
[swinir_wo_li] step 2500/20000 g=1.4229 pix=0.0415 1.86 it/s
[swinir_wo_li] step 2600/20000 g=1.6785 pix=0.0517 1.86 it/s
[swinir_wo_li] step 2700/20000 g=1.4561 pix=0.0402 1.86 it/s
[swinir_wo_li] step 2800/20000 g=1.6184 pix=0.0528 1.86 it/s
[swinir_wo_li] step 2900/20000 g=1.6899 pix=0.0549 1.86 it/s
[swinir_wo_li] step 3000/20000 g=1.7653 pix=0.0625 1.86 it/s
[swinir_wo_li] step 3100/20000 g=1.5757 pix=0.0507 1.86 it/s
[swinir_wo_li] step 3200/20000 g=1.6561 pix=0.0566 1.86 it/s
[swinir_wo_li] step 3300/20000 g=1.5034 pix=0.0465 1.86 it/s
[swinir_wo_li] step 3400/20000 g=1.7854 pix=0.0562 1.86 it/s
[swinir_wo_li] step 3500/20000 g=1.7178 pix=0.0534 1.86 it/s
[swinir_wo_li] step 3600/20000 g=2.0713 pix=0.0701 1.86 it/s
[swinir_wo_li] step 3700/20000 g=1.6427 pix=0.0513 1.86 it/s
[swinir_wo_li] step 3800/20000 g=1.8214 pix=0.0637 1.86 it/s
[swinir_wo_li] step 3900/20000 g=1.9124 pix=0.0537 1.86 it/s
[swinir_wo_li] step 4000/20000 g=1.6792 pix=0.0650 1.86 it/s
[swinir_wo_li] step 4100/20000 g=1.4864 pix=0.0455 1.86 it/s
[swinir_wo_li] step 4200/20000 g=1.6384 pix=0.0782 1.86 it/s
[swinir_wo_li] step 4300/20000 g=1.5784 pix=0.0541 1.86 it/s
[swinir_wo_li] step 4400/20000 g=1.8553 pix=0.0655 1.86 it/s
[swinir_wo_li] step 4500/20000 g=1.4549 pix=0.0430 1.86 it/s
[swinir_wo_li] step 4600/20000 g=1.5601 pix=0.0472 1.86 it/s
[swinir_wo_li] step 4700/20000 g=1.5334 pix=0.0494 1.86 it/s
[swinir_wo_li] step 4800/20000 g=1.6982 pix=0.0528 1.86 it/s
[swinir_wo_li] step 4900/20000 g=1.4946 pix=0.0413 1.86 it/s
[swinir_wo_li] step 5000/20000 g=1.5709 pix=0.0645 1.86 it/s
[swinir_wo_li] step 5000 VAL_L1=0.05974 (best inf@-1)
[swinir_wo_li] step 5100/20000 g=1.9446 pix=0.0654 1.86 it/s
[swinir_wo_li] step 5200/20000 g=1.6795 pix=0.0630 1.86 it/s
[swinir_wo_li] step 5300/20000 g=1.7010 pix=0.0536 1.86 it/s
[swinir_wo_li] step 5400/20000 g=1.4890 pix=0.0486 1.86 it/s
[swinir_wo_li] step 5500/20000 g=1.6008 pix=0.0563 1.86 it/s
[swinir_wo_li] step 5600/20000 g=1.8076 pix=0.0662 1.86 it/s
[swinir_wo_li] step 5700/20000 g=1.7987 pix=0.0551 1.86 it/s
[swinir_wo_li] step 5800/20000 g=1.8026 pix=0.0746 1.86 it/s
[swinir_wo_li] step 5900/20000 g=1.8920 pix=0.0619 1.86 it/s
[swinir_wo_li] step 6000/20000 g=1.9681 pix=0.0617 1.86 it/s
[swinir_wo_li] step 6100/20000 g=1.5418 pix=0.0487 1.86 it/s
[swinir_wo_li] step 6200/20000 g=1.7605 pix=0.0636 1.86 it/s
[swinir_wo_li] step 6300/20000 g=1.8201 pix=0.0774 1.86 it/s
[swinir_wo_li] step 6400/20000 g=1.6048 pix=0.0481 1.86 it/s
[swinir_wo_li] step 6500/20000 g=1.8849 pix=0.0662 1.86 it/s
[swinir_wo_li] step 6600/20000 g=1.6020 pix=0.0475 1.86 it/s
[swinir_wo_li] step 6700/20000 g=1.6122 pix=0.0478 1.86 it/s
[swinir_wo_li] step 6800/20000 g=1.7676 pix=0.0530 1.86 it/s
[swinir_wo_li] step 6900/20000 g=1.8137 pix=0.0553 1.86 it/s
[swinir_wo_li] step 7000/20000 g=1.7501 pix=0.0541 1.86 it/s
[swinir_wo_li] step 7100/20000 g=1.9211 pix=0.0710 1.86 it/s
[swinir_wo_li] step 7200/20000 g=1.4957 pix=0.0412 1.86 it/s
[swinir_wo_li] step 7300/20000 g=1.5906 pix=0.0479 1.86 it/s
[swinir_wo_li] step 7400/20000 g=1.4470 pix=0.0450 1.86 it/s
[swinir_wo_li] step 7500/20000 g=1.3739 pix=0.0417 1.86 it/s
[swinir_wo_li] step 7600/20000 g=1.3123 pix=0.0370 1.86 it/s
[swinir_wo_li] step 7700/20000 g=1.4767 pix=0.0444 1.86 it/s
[swinir_wo_li] step 7800/20000 g=1.3555 pix=0.0340 1.86 it/s
[swinir_wo_li] step 7900/20000 g=1.6494 pix=0.0602 1.86 it/s
[swinir_wo_li] step 8000/20000 g=1.7280 pix=0.0530 1.86 it/s
[swinir_wo_li] step 8100/20000 g=1.6655 pix=0.0585 1.86 it/s
[swinir_wo_li] step 8200/20000 g=1.5062 pix=0.0430 1.86 it/s
[swinir_wo_li] step 8300/20000 g=1.8403 pix=0.0539 1.86 it/s
[swinir_wo_li] step 8400/20000 g=1.8768 pix=0.0581 1.86 it/s
[swinir_wo_li] step 8500/20000 g=1.5419 pix=0.0502 1.86 it/s
[swinir_wo_li] step 8600/20000 g=1.5647 pix=0.0486 1.86 it/s
[swinir_wo_li] step 8700/20000 g=1.7545 pix=0.0680 1.86 it/s
[swinir_wo_li] step 8800/20000 g=1.7474 pix=0.0558 1.86 it/s
[swinir_wo_li] step 8900/20000 g=1.5149 pix=0.0513 1.86 it/s
[swinir_wo_li] step 9000/20000 g=1.8867 pix=0.0634 1.86 it/s
[swinir_wo_li] step 9100/20000 g=1.6806 pix=0.0497 1.86 it/s
[swinir_wo_li] step 9200/20000 g=1.7962 pix=0.0601 1.86 it/s
[swinir_wo_li] step 9300/20000 g=1.6761 pix=0.0566 1.86 it/s
[swinir_wo_li] step 9400/20000 g=1.6684 pix=0.0509 1.86 it/s
[swinir_wo_li] step 9500/20000 g=1.5333 pix=0.0494 1.86 it/s
[swinir_wo_li] step 9600/20000 g=1.5785 pix=0.0496 1.86 it/s
[swinir_wo_li] step 9700/20000 g=1.7564 pix=0.0607 1.86 it/s
[swinir_wo_li] step 9800/20000 g=1.7489 pix=0.0626 1.86 it/s
[swinir_wo_li] step 9900/20000 g=1.6573 pix=0.0511 1.86 it/s
[swinir_wo_li] step 10000/20000 g=1.8918 pix=0.0591 1.86 it/s
[swinir_wo_li] step 10000 VAL_L1=0.06017 (best 0.05974@5000)
[swinir_wo_li] step 10100/20000 g=1.7820 pix=0.0512 1.86 it/s
[swinir_wo_li] step 10200/20000 g=1.4894 pix=0.0445 1.86 it/s
[swinir_wo_li] step 10300/20000 g=1.6718 pix=0.0526 1.86 it/s
[swinir_wo_li] step 10400/20000 g=1.7014 pix=0.0496 1.86 it/s
[swinir_wo_li] step 10500/20000 g=1.4905 pix=0.0434 1.86 it/s
[swinir_wo_li] step 10600/20000 g=1.6406 pix=0.0493 1.86 it/s
[swinir_wo_li] step 10700/20000 g=1.7785 pix=0.0641 1.86 it/s
[swinir_wo_li] step 10800/20000 g=1.4041 pix=0.0393 1.86 it/s
[swinir_wo_li] step 10900/20000 g=1.7048 pix=0.0579 1.86 it/s
[swinir_wo_li] step 11000/20000 g=1.4670 pix=0.0349 1.86 it/s
[swinir_wo_li] step 11100/20000 g=1.6491 pix=0.0529 1.86 it/s
[swinir_wo_li] step 11200/20000 g=1.7960 pix=0.0622 1.86 it/s
[swinir_wo_li] step 11300/20000 g=1.6565 pix=0.0650 1.86 it/s
[swinir_wo_li] step 11400/20000 g=1.6203 pix=0.0505 1.86 it/s
[swinir_wo_li] step 11500/20000 g=1.5284 pix=0.0478 1.86 it/s
[swinir_wo_li] step 11600/20000 g=1.8287 pix=0.0676 1.86 it/s
[swinir_wo_li] step 11700/20000 g=1.4942 pix=0.0426 1.86 it/s
[swinir_wo_li] step 11800/20000 g=1.4965 pix=0.0424 1.86 it/s
[swinir_wo_li] step 11900/20000 g=1.3672 pix=0.0424 1.86 it/s
[swinir_wo_li] step 12000/20000 g=1.4778 pix=0.0481 1.86 it/s
[swinir_wo_li] step 12100/20000 g=1.5216 pix=0.0615 1.86 it/s
[swinir_wo_li] step 12200/20000 g=1.6934 pix=0.0614 1.86 it/s
[swinir_wo_li] step 12300/20000 g=1.5242 pix=0.0499 1.86 it/s
[swinir_wo_li] step 12400/20000 g=1.4598 pix=0.0431 1.86 it/s
[swinir_wo_li] step 12500/20000 g=1.6445 pix=0.0515 1.86 it/s
[swinir_wo_li] step 12600/20000 g=1.9381 pix=0.0786 1.86 it/s
[swinir_wo_li] step 12700/20000 g=1.5380 pix=0.0409 1.86 it/s
[swinir_wo_li] step 12800/20000 g=1.7666 pix=0.0581 1.86 it/s
[swinir_wo_li] step 12900/20000 g=1.8351 pix=0.0590 1.86 it/s
