stage,condition,metric,n_seeds,mean,std
segmentation,x64_random_fixed,val_dice,3,0.858837262032524,0.007828149572482955
segmentation,x64_random_fixed,val_iou,3,0.7533887577435326,0.011903750767533356
segmentation,x64_random_fixed,test_dice,3,0.8616527773085095,0.008120217997530085
segmentation,x64_random_fixed,test_iou,3,0.7575518337507097,0.01245188280669363
segmentation,x64_random_fixed,test_dice_at_0p5,3,0.8577909535831876,0.011730292331869844
segmentation,x64_random_fixed,test_iou_at_0p5,3,0.7517280058255271,0.01781873420716513
segmentation,x64_random_fixed,stage2_val_dice,3,0.8768158819940355,0.004115145025517003
segmentation,x64_learnable_frequency,val_dice,3,0.9020103235093374,0.012897336834393794
segmentation,x64_learnable_frequency,val_iou,3,0.8219939612206958,0.021128127975443375
segmentation,x64_learnable_frequency,test_dice,3,0.9029769112193395,0.01316978790819782
segmentation,x64_learnable_frequency,test_iou,3,0.8235306815495567,0.021727270051527654
segmentation,x64_learnable_frequency,test_dice_at_0p5,3,0.899555832620651,0.014355365415972812
segmentation,x64_learnable_frequency,test_iou_at_0p5,3,0.8179107620602563,0.02352272030365779
segmentation,x64_learnable_frequency,stage2_val_dice,3,0.9093343889902509,0.01332499653141738
segmentation,x256_random_fixed,val_dice,3,0.6679235980624244,0.012709156855483015
segmentation,x256_random_fixed,val_iou,3,0.5028454789093563,0.01419533844050278
segmentation,x256_random_fixed,test_dice,3,0.6717748585201445,0.008849292688923142
segmentation,x256_random_fixed,test_iou,3,0.5070009529590607,0.009869744638533826
segmentation,x256_random_fixed,test_dice_at_0p5,3,0.6491663039676726,0.014544777951543969
segmentation,x256_random_fixed,test_iou_at_0p5,3,0.4819570779800415,0.015742700224830555
segmentation,x256_random_fixed,stage2_val_dice,3,0.69713627819031,0.0077386046118162605
segmentation,x256_learnable_frequency,val_dice,3,0.8345832550336444,0.003924675727933503
segmentation,x256_learnable_frequency,val_iou,3,0.716765356442285,0.00578477051883717
segmentation,x256_learnable_frequency,test_dice,3,0.8373962593457055,0.0048695249768202845
segmentation,x256_learnable_frequency,test_iou,3,0.7212202378681728,0.007091052622480463
segmentation,x256_learnable_frequency,test_dice_at_0p5,3,0.8347910074960617,0.004033684212824797
segmentation,x256_learnable_frequency,test_iou_at_0p5,3,0.7174192771079049,0.005958365941251619
segmentation,x256_learnable_frequency,stage2_val_dice,3,0.849685669891418,0.0010217432872021513
segmentation,x1024_random_fixed,val_dice,3,0.4007420927759201,0.022274385623043645
segmentation,x1024_random_fixed,val_iou,3,0.2520019889823974,0.017277658700583946
segmentation,x1024_random_fixed,test_dice,3,0.3993494926937043,0.02021417038825936
segmentation,x1024_random_fixed,test_iou,3,0.2512852391080251,0.015266298287727331
segmentation,x1024_random_fixed,test_dice_at_0p5,3,0.2985431691483846,0.05060065405829242
segmentation,x1024_random_fixed,test_iou_at_0p5,3,0.17901822679217846,0.03463904085260588
