job,stage,condition,seed,metric,value,source
segmentation/x64_random_fixed_seed42,segmentation,x64_random_fixed,42,val_dice,0.8676926266579401,jobs/segmentation/x64_random_fixed_seed42/attempt_001/metrics/run_summary.json
segmentation/x64_random_fixed_seed42,segmentation,x64_random_fixed,42,val_iou,0.7668006760733468,jobs/segmentation/x64_random_fixed_seed42/attempt_001/metrics/run_summary.json
segmentation/x64_random_fixed_seed42,segmentation,x64_random_fixed,42,test_dice,0.8686755980764117,jobs/segmentation/x64_random_fixed_seed42/attempt_001/metrics/run_summary.json
segmentation/x64_random_fixed_seed42,segmentation,x64_random_fixed,42,test_iou,0.7684105634689331,jobs/segmentation/x64_random_fixed_seed42/attempt_001/metrics/run_summary.json
segmentation/x64_random_fixed_seed42,segmentation,x64_random_fixed,42,test_dice_at_0p5,0.867891496136075,jobs/segmentation/x64_random_fixed_seed42/attempt_001/metrics/run_summary.json
segmentation/x64_random_fixed_seed42,segmentation,x64_random_fixed,42,test_iou_at_0p5,0.7671822139195034,jobs/segmentation/x64_random_fixed_seed42/attempt_001/metrics/run_summary.json
segmentation/x64_random_fixed_seed42,segmentation,x64_random_fixed,42,stage2_val_dice,0.8797258110273452,jobs/segmentation/x64_random_fixed_seed42/attempt_001/metrics/run_summary.json
segmentation/x64_learnable_frequency_seed42,segmentation,x64_learnable_frequency,42,val_dice,0.9113036479268756,jobs/segmentation/x64_learnable_frequency_seed42/attempt_001/metrics/run_summary.json
segmentation/x64_learnable_frequency_seed42,segmentation,x64_learnable_frequency,42,val_iou,0.8372487539336795,jobs/segmentation/x64_learnable_frequency_seed42/attempt_001/metrics/run_summary.json
segmentation/x64_learnable_frequency_seed42,segmentation,x64_learnable_frequency,42,test_dice,0.9118352078256153,jobs/segmentation/x64_learnable_frequency_seed42/attempt_001/metrics/run_summary.json
segmentation/x64_learnable_frequency_seed42,segmentation,x64_learnable_frequency,42,test_iou,0.8381968935330709,jobs/segmentation/x64_learnable_frequency_seed42/attempt_001/metrics/run_summary.json
segmentation/x64_learnable_frequency_seed42,segmentation,x64_learnable_frequency,42,test_dice_at_0p5,0.9072847905613127,jobs/segmentation/x64_learnable_frequency_seed42/attempt_001/metrics/run_summary.json
segmentation/x64_learnable_frequency_seed42,segmentation,x64_learnable_frequency,42,test_iou_at_0p5,0.8305928196225848,jobs/segmentation/x64_learnable_frequency_seed42/attempt_001/metrics/run_summary.json
