step,epoch,loss,train_mse,train_ssim,val_mse,val_ssim,H_t_min,H_t_max,H_t_mean,H_t_binary_fraction,grad_norm_W,grad_norm_inverse,detector_min,detector_max,detector_mean,sigmoid_m
200,4,0.09635890275239944,0.03876011073589325,0.6317051649093628,0.03658502697944641,0.6392548084259033,0.0,1.0,0.625,1.0,0.0,0.6824418212759958,4.052681922912598,826.2506103515625,88.62120819091797,1.0
400,7,0.07759935408830643,0.022111298516392708,0.641472339630127,0.024616336077451707,0.6305781841278076,0.0,1.0,0.625,1.0,0.0,0.04870840929312506,3.7424333095550537,575.0463256835938,78.36456298828125,1.0
600,10,0.0795845240354538,0.023617403581738472,0.6420212388038635,0.025542131811380386,0.6484727978706359,0.0,1.0,0.625,1.0,0.0,0.12924046097248312,4.13857364654541,607.0914306640625,79.26463317871094,1.0
800,13,0.07382575422525406,0.020276471972465515,0.6483078002929688,0.023300359025597572,0.6238104581832886,0.0,1.0,0.625,1.0,0.0,0.131944568239905,3.915515661239624,684.801513671875,72.38241577148438,1.0
1000,17,0.08148634433746338,0.024429041892290115,0.6299256086349487,0.02474176473915577,0.6440340518951416,0.0,1.0,0.625,1.0,0.0,0.13002802778715317,4.522879123687744,755.4757690429688,91.27413940429688,1.0
1200,20,0.07359965145587921,0.021543696522712708,0.6529910564422607,0.023878716677427293,0.6511918425559997,0.0,1.0,0.625,1.0,0.0,0.11862878652611976,2.563286066055298,565.3059692382812,75.95974731445312,1.0
1400,23,0.08282327651977539,0.024008728563785553,0.6208183765411377,0.023013856261968613,0.6390330076217652,0.0,1.0,0.625,1.0,0.0,0.12061950913226979,6.398183345794678,650.766357421875,86.15432739257812,1.0
1600,26,0.06664478778839111,0.017614854499697685,0.6306533217430115,0.021445783227682112,0.6284384846687316,0.0,1.0,0.625,1.0,0.0,0.08752472225124391,1.9495294094085693,547.6023559570312,68.85554504394531,1.0
1800,30,0.07169467210769653,0.01806274987757206,0.645371675491333,0.02033422663807869,0.6429101467132569,0.0,1.0,0.625,1.0,0.0,0.08219047265716009,2.1692516803741455,742.6137084960938,79.20834350585938,1.0
2000,33,0.07714323699474335,0.020692717283964157,0.6377831697463989,0.02031363844871521,0.6686629772186279,0.0,1.0,0.625,1.0,0.0,0.06786012332783396,3.387418270111084,653.1180419921875,85.73492431640625,1.0
2200,36,0.0636497363448143,0.017070848494768143,0.7022619247436523,0.0197549007833004,0.6647107601165771,0.0,1.0,0.625,1.0,0.0,0.08152807172616902,2.310610294342041,687.0580444335938,72.38795471191406,1.0
2400,39,0.07094070315361023,0.018021726980805397,0.6530318260192871,0.01894763968884945,0.6627686738967895,0.0,1.0,0.625,1.0,0.0,0.09480946485796732,5.841842174530029,661.15283203125,80.33529663085938,1.0
2600,42,0.07722846418619156,0.01897064968943596,0.6289929151535034,0.018879150599241258,0.6631153583526611,0.0,1.0,0.625,1.0,0.0,0.09174322911523776,2.2270901203155518,798.6495361328125,94.70993041992188,1.0
2800,46,0.06750311702489853,0.01601172238588333,0.6422658562660217,0.018365763872861863,0.6447067499160767,0.0,1.0,0.625,1.0,0.0,0.046107690924579746,4.460089683532715,691.3125610351562,80.81587219238281,1.0
3000,49,0.06959962099790573,0.01611495390534401,0.6510895490646362,0.017326066084206105,0.662926173210144,0.0,1.0,0.625,1.0,0.0,0.11074777690247917,5.469616889953613,538.405517578125,81.11088562011719,1.0
3200,52,0.06506481021642685,0.014895949512720108,0.6663522720336914,0.017626598477363586,0.6676316261291504,0.0,1.0,0.625,1.0,0.0,0.056223862281227534,3.62329363822937,605.6209106445312,76.55754852294922,1.0
3400,55,0.07485122978687286,0.020275413990020752,0.6066945195198059,0.019234805181622506,0.6349996089935303,0.0,1.0,0.625,1.0,0.0,0.07368965942073805,3.1012792587280273,736.2562866210938,91.09537506103516,1.0
3600,59,0.06471359729766846,0.01573636382818222,0.6771560907363892,0.017707685381174086,0.6734751105308533,0.0,1.0,0.625,1.0,0.0,0.10682184580834618,3.118668794631958,730.594970703125,74.28228759765625,1.0
3800,62,0.0686977356672287,0.015701865777373314,0.6501650214195251,0.01748160533607006,0.6724906206130982,0.0,1.0,0.625,1.0,0.0,0.18277320985205367,4.797460079193115,753.0487670898438,85.88408660888672,1.0
4000,65,0.07218116521835327,0.01661572977900505,0.6350964903831482,0.017426591366529465,0.6762730836868286,0.0,1.0,0.625,1.0,0.0,0.09166636348227038,4.776126384735107,754.0043334960938,92.06322479248047,1.0
4200,68,0.061736203730106354,0.014944612979888916,0.6916533708572388,0.017609500885009767,0.6649514555931091,0.0,1.0,0.625,1.0,0.0,0.12793051247881793,3.7965176105499268,634.1103515625,73.82727813720703,1.0
4400,71,0.07035993039608002,0.016363948583602905,0.6419321298599243,0.016957006603479385,0.667328667640686,0.0,1.0,0.625,1.0,0.0,0.05316675020046112,3.6690521240234375,694.1409301757812,82.3028793334961,1.0
4600,75,0.06833318620920181,0.016901548951864243,0.6671404838562012,0.017485344596207143,0.675120222568512,0.0,1.0,0.625,1.0,0.0,0.07778317197536425,3.761286973953247,717.4996337890625,81.69847106933594,1.0
4800,78,0.07350368797779083,0.018397636711597443,0.6539322137832642,0.017500163242220878,0.6793186664581299,0.0,1.0,0.625,1.0,0.0,0.10797201092775909,6.094743728637695,603.374755859375,84.44305419921875,1.0
5000,81,0.06676800549030304,0.01600976660847664,0.6626935005187988,0.017242368124425412,0.6685736894607544,0.0,1.0,0.625,1.0,0.0,0.06758940955664544,3.0285096168518066,547.0286865234375,78.98491668701172,1.0
5200,84,0.060077473521232605,0.01465696096420288,0.7154796123504639,0.016863790713250636,0.6740879774093628,0.0,1.0,0.625,1.0,0.0,0.0632589267646601,3.200875997543335,585.8533935546875,69.84616088867188,1.0
5400,88,0.06682796776294708,0.015429854393005371,0.6667002439498901,0.017046839371323584,0.6724966764450073,0.0,1.0,0.625,1.0,0.0,0.08062716104893713,3.258467197418213,696.2794189453125,86.17709350585938,1.0
5600,91,0.06411460041999817,0.01594126969575882,0.6889031529426575,0.01731714066118002,0.6757152080535889,0.0,1.0,0.625,1.0,0.0,0.057933034865792016,2.4872255325317383,688.111083984375,76.413330078125,1.0
5800,94,0.06506672501564026,0.01596245914697647,0.670136034488678,0.017447024956345557,0.6822722792625427,0.0,1.0,0.625,1.0,0.0,0.06438543248103283,4.4600982666015625,640.223388671875,74.27702331542969,1.0
6000,97,0.07020395994186401,0.01725826784968376,0.6485846042633057,0.017117787152528763,0.6697646379470825,0.0,1.0,0.625,1.0,0.0,0.06224130449899276,4.229736804962158,598.10791015625,81.1374740600586,1.0
6200,100,0.06451866030693054,0.015098055824637413,0.6830635666847229,0.016891955211758614,0.6781128406524658,0.0,1.0,0.625,1.0,0.0,0.1579652941780606,2.7727372646331787,604.2767333984375,73.06226348876953,1.0
6400,104,0.06771780550479889,0.01603652536869049,0.6637359857559204,0.017084209993481637,0.6784769058227539,0.0,1.0,0.625,1.0,0.0,0.043434394384489566,4.843105316162109,573.7797241210938,82.67469787597656,1.0
6600,107,0.05908691883087158,0.014102871529757977,0.7097702622413635,0.017114156298339366,0.6694626808166504,0.0,1.0,0.625,1.0,0.0,0.1521574127295488,4.634793281555176,774.001220703125,71.59468841552734,1.0
6800,110,0.06580434739589691,0.01604480855166912,0.6714689135551453,0.016951385512948038,0.669626259803772,0.0,1.0,0.625,1.0,0.0,0.04694184156912409,3.836354970932007,736.6425170898438,80.1935806274414,1.0
7000,113,0.0659053772687912,0.015495289117097855,0.6703639030456543,0.016801845096051694,0.6738029241561889,0.0,1.0,0.625,1.0,0.0,0.06174522864635704,3.0697147846221924,589.2659912109375,82.65164184570312,1.0
7200,117,0.062423110008239746,0.014113585464656353,0.6651816964149475,0.01637278273701668,0.6725132703781128,0.0,1.0,0.625,1.0,0.0,0.03305929412347915,2.3010077476501465,669.1219482421875,76.64676666259766,1.0
7400,120,0.05946868658065796,0.014608066529035568,0.7074517011642456,0.01729196421802044,0.6843147873878479,0.0,1.0,0.625,1.0,0.0,0.1326021808577833,3.4046642780303955,545.5880737304688,71.84976196289062,1.0
7600,123,0.06257303804159164,0.014209544286131859,0.6836211085319519,0.016620948910713196,0.6804306745529175,0.0,1.0,0.625,1.0,0.0,0.0480328046571455,4.182507514953613,580.59130859375,78.7435073852539,1.0
7800,126,0.05817791447043419,0.013489148579537868,0.7142841219902039,0.016912491619586946,0.6814595103263855,0.0,1.0,0.625,1.0,0.0,0.08697726055256225,2.8294291496276855,578.5086669921875,69.91435241699219,1.0
8000,130,0.05718950182199478,0.014552369713783264,0.7323920726776123,0.01718039494007826,0.6829912185668945,0.0,1.0,0.625,1.0,0.0,0.055544369435971866,4.160977840423584,690.5462036132812,71.22987365722656,1.0
8200,133,0.060288380831480026,0.014057708904147148,0.697435736656189,0.016249917075037958,0.6774028897285461,0.0,1.0,0.625,1.0,0.0,0.057612085610927864,4.617021560668945,519.0035400390625,72.56047058105469,1.0
8400,136,0.06304369866847992,0.014574255794286728,0.6855084896087646,0.016362755186855794,0.6742540240287781,0.0,1.0,0.625,1.0,0.0,0.04443857224325057,2.422823667526245,686.170654296875,74.571533203125,1.0
8600,139,0.06381776183843613,0.014978998340666294,0.6897176504135132,0.01651785522699356,0.67913738489151,0.0,1.0,0.625,1.0,0.0,0.08637779374082624,4.051822662353516,657.8682861328125,78.88838195800781,1.0
8800,142,0.06083657592535019,0.014387514442205429,0.6918121576309204,0.016570445522665976,0.6731228947639465,0.0,1.0,0.625,1.0,0.0,0.05208915656405295,2.785688877105713,627.4207763671875,74.23931884765625,1.0
9000,146,0.05683721601963043,0.013049280270934105,0.7202514410018921,0.01642693355679512,0.6785831809043884,0.0,1.0,0.625,1.0,0.0,0.0994929823729564,2.707613945007324,692.3880004882812,69.558349609375,1.0
9200,149,0.06654976308345795,0.016086943447589874,0.6682144403457642,0.01667295191437006,0.6801744103431702,0.0,1.0,0.625,1.0,0.0,0.053599697932822786,5.381743431091309,603.62841796875,79.54097747802734,1.0
9400,152,0.06426601856946945,0.014834322966635227,0.6714010238647461,0.01633818820118904,0.6818993330001831,0.0,1.0,0.625,1.0,0.0,0.03964805272508861,4.404427528381348,728.596435546875,77.39265441894531,1.0
9600,155,0.06384876370429993,0.014791794121265411,0.6765750646591187,0.01613001897931099,0.67658771276474,0.0,1.0,0.625,1.0,0.0,0.04421959843362434,4.167128562927246,717.56884765625,77.43771362304688,1.0
9800,159,0.058160293847322464,0.013052929192781448,0.6935337781906128,0.016545895114541055,0.6802569389343261,0.0,1.0,0.625,1.0,0.0,0.12556130015169423,3.0539464950561523,555.2039794921875,73.12052917480469,1.0
10000,162,0.06461156904697418,0.01492635440081358,0.6679843664169312,0.0163461621850729,0.6770336627960205,0.0,1.0,0.625,1.0,0.0,0.034771924765369104,4.420782089233398,580.4203491210938,78.91193389892578,1.0
10100,163,0.064802385866642,0.0159556046128273,0.6879279017448425,0.016577997244894505,0.6796807289123535,0.0,1.0,0.625,1.0,0.0,0.059583816865370454,4.5715651512146,540.3796997070312,78.40499877929688,1.0
