[x16/learnable_frequency] loading frozen base ...
[x16/learnable_frequency] building caches (frozen base forward) ...
[x16/learnable_frequency] cache: train=7920 val=40 test=60 (60s)
/home/leonidas/workspace/differentiable_micoscopy_replication/microscopy-clean/.venv/lib/python3.12/site-packages/timm/models/layers/__init__.py:49: FutureWarning: Importing from timm.models.layers is deprecated, please import via timm.layers
  warnings.warn(f"Importing from {__name__} is deprecated, please import via timm.layers", FutureWarning)
/home/leonidas/workspace/differentiable_micoscopy_replication/microscopy-clean/.venv/lib/python3.12/site-packages/torch/functional.py:505: UserWarning: torch.meshgrid: in an upcoming release, it will be required to pass the indexing argument. (Triggered internally at /pytorch/aten/src/ATen/native/TensorShape.cpp:4381.)
  return _VF.meshgrid(tensors, **kwargs)  # type: ignore[attr-defined]
[x16/learnable_frequency] SwinIR params=11.50M embed_dim=180 depths=[6, 6, 6, 6, 6, 6] identity_init=True
[x16/learnable_frequency] base val: ssim=0.9192 mse=0.000881
[x16/learnable_frequency] step 100/50000 lr=4.00e-05 d=0.6241 pixel=0.0202 perceptual=1.1431 adv=0.0662 g_total=1.2296 1.62 it/s
[x16/learnable_frequency] step 200/50000 lr=8.00e-05 d=0.6313 pixel=0.0171 perceptual=0.9931 adv=0.0545 g_total=1.0647 1.60 it/s
[x16/learnable_frequency] step 300/50000 lr=1.20e-04 d=0.6171 pixel=0.0138 perceptual=0.7616 adv=0.0769 g_total=0.8523 1.61 it/s
[x16/learnable_frequency] step 400/50000 lr=1.60e-04 d=0.6644 pixel=0.0174 perceptual=0.8013 adv=0.0872 g_total=0.9059 1.62 it/s
[x16/learnable_frequency] step 500/50000 lr=2.00e-04 d=0.6481 pixel=0.0171 perceptual=0.8105 adv=0.0597 g_total=0.8872 1.62 it/s
[x16/learnable_frequency] step 600/50000 lr=2.00e-04 d=0.7579 pixel=0.0185 perceptual=0.7389 adv=0.0580 g_total=0.8153 1.62 it/s
[x16/learnable_frequency] step 700/50000 lr=2.00e-04 d=0.6183 pixel=0.0183 perceptual=0.8106 adv=0.0740 g_total=0.9028 1.62 it/s
[x16/learnable_frequency] step 800/50000 lr=2.00e-04 d=0.6973 pixel=0.0133 perceptual=0.6133 adv=0.0798 g_total=0.7064 1.62 it/s
[x16/learnable_frequency] step 900/50000 lr=2.00e-04 d=0.6970 pixel=0.0159 perceptual=0.7050 adv=0.0788 g_total=0.7998 1.62 it/s
[x16/learnable_frequency] step 1000/50000 lr=2.00e-04 d=0.7956 pixel=0.0161 perceptual=0.7303 adv=0.0592 g_total=0.8056 1.62 it/s
[x16/learnable_frequency] step 1000 VAL ref_ssim=0.8989 (base 0.9192) ref_mse=0.000976 (base 0.000881) best_ssim=0.8989@1000 *
[x16/learnable_frequency] step 1100/50000 lr=2.00e-04 d=0.6894 pixel=0.0183 perceptual=0.6962 adv=0.0678 g_total=0.7824 1.59 it/s
[x16/learnable_frequency] step 1200/50000 lr=2.00e-04 d=0.6934 pixel=0.0155 perceptual=0.6426 adv=0.0705 g_total=0.7286 1.60 it/s
[x16/learnable_frequency] step 1300/50000 lr=2.00e-04 d=0.6880 pixel=0.0168 perceptual=0.6989 adv=0.0712 g_total=0.7869 1.60 it/s
[x16/learnable_frequency] step 1400/50000 lr=2.00e-04 d=0.6946 pixel=0.0176 perceptual=0.6637 adv=0.0741 g_total=0.7554 1.60 it/s
[x16/learnable_frequency] step 1500/50000 lr=2.00e-04 d=0.6924 pixel=0.0127 perceptual=0.5654 adv=0.0698 g_total=0.6479 1.60 it/s
[x16/learnable_frequency] step 1600/50000 lr=2.00e-04 d=0.6931 pixel=0.0141 perceptual=0.6366 adv=0.0741 g_total=0.7248 1.60 it/s
[x16/learnable_frequency] step 1700/50000 lr=2.00e-04 d=0.6934 pixel=0.0139 perceptual=0.5922 adv=0.0720 g_total=0.6781 1.60 it/s
[x16/learnable_frequency] step 1800/50000 lr=2.00e-04 d=0.6987 pixel=0.0186 perceptual=0.8409 adv=0.0732 g_total=0.9327 1.60 it/s
[x16/learnable_frequency] step 1900/50000 lr=2.00e-04 d=0.6918 pixel=0.0157 perceptual=0.6631 adv=0.0695 g_total=0.7483 1.60 it/s
[x16/learnable_frequency] step 2000/50000 lr=2.00e-04 d=0.6946 pixel=0.0132 perceptual=0.6171 adv=0.0710 g_total=0.7013 1.61 it/s
[x16/learnable_frequency] step 2000 VAL ref_ssim=0.9069 (base 0.9192) ref_mse=0.000805 (base 0.000881) best_ssim=0.9069@2000 *
[x16/learnable_frequency] step 2100/50000 lr=1.99e-04 d=0.6931 pixel=0.0143 perceptual=0.6216 adv=0.0699 g_total=0.7057 1.59 it/s
[x16/learnable_frequency] step 2200/50000 lr=1.99e-04 d=0.6905 pixel=0.0134 perceptual=0.6117 adv=0.0672 g_total=0.6922 1.59 it/s
[x16/learnable_frequency] step 2300/50000 lr=1.99e-04 d=0.6582 pixel=0.0140 perceptual=0.6207 adv=0.0686 g_total=0.7033 1.60 it/s
[x16/learnable_frequency] step 2400/50000 lr=1.99e-04 d=0.6933 pixel=0.0146 perceptual=0.6551 adv=0.0706 g_total=0.7403 1.60 it/s
[x16/learnable_frequency] step 2500/50000 lr=1.99e-04 d=0.6931 pixel=0.0146 perceptual=0.6223 adv=0.0696 g_total=0.7065 1.60 it/s
[x16/learnable_frequency] step 2600/50000 lr=1.99e-04 d=0.6927 pixel=0.0144 perceptual=0.5863 adv=0.0697 g_total=0.6704 1.60 it/s
[x16/learnable_frequency] step 2700/50000 lr=1.99e-04 d=0.6908 pixel=0.0128 perceptual=0.5630 adv=0.0692 g_total=0.6450 1.60 it/s
[x16/learnable_frequency] step 2800/50000 lr=1.99e-04 d=0.6707 pixel=0.0144 perceptual=0.6267 adv=0.0692 g_total=0.7103 1.60 it/s
[x16/learnable_frequency] step 2900/50000 lr=1.99e-04 d=0.7094 pixel=0.0171 perceptual=0.7123 adv=0.0706 g_total=0.8000 1.60 it/s
[x16/learnable_frequency] step 3000/50000 lr=1.99e-04 d=0.6928 pixel=0.0128 perceptual=0.5574 adv=0.0694 g_total=0.6396 1.60 it/s
[x16/learnable_frequency] step 3000 VAL ref_ssim=0.9024 (base 0.9192) ref_mse=0.000797 (base 0.000881) best_ssim=0.9069@2000
[x16/learnable_frequency] step 3100/50000 lr=1.99e-04 d=0.7175 pixel=0.0142 perceptual=0.6131 adv=0.0648 g_total=0.6922 1.59 it/s
[x16/learnable_frequency] step 3200/50000 lr=1.99e-04 d=0.6679 pixel=0.0138 perceptual=0.5959 adv=0.0752 g_total=0.6848 1.59 it/s
[x16/learnable_frequency] step 3300/50000 lr=1.98e-04 d=0.6893 pixel=0.0162 perceptual=0.7341 adv=0.0685 g_total=0.8188 1.59 it/s
[x16/learnable_frequency] step 3400/50000 lr=1.98e-04 d=0.6851 pixel=0.0134 perceptual=0.6179 adv=0.0687 g_total=0.7000 1.59 it/s
[x16/learnable_frequency] step 3500/50000 lr=1.98e-04 d=0.6895 pixel=0.0122 perceptual=0.5759 adv=0.0701 g_total=0.6582 1.60 it/s
[x16/learnable_frequency] step 3600/50000 lr=1.98e-04 d=0.6828 pixel=0.0148 perceptual=0.6023 adv=0.0721 g_total=0.6892 1.60 it/s
[x16/learnable_frequency] step 3700/50000 lr=1.98e-04 d=0.6994 pixel=0.0136 perceptual=0.6256 adv=0.0737 g_total=0.7128 1.60 it/s
[x16/learnable_frequency] step 3800/50000 lr=1.98e-04 d=0.6734 pixel=0.0167 perceptual=0.6320 adv=0.0762 g_total=0.7249 1.60 it/s
[x16/learnable_frequency] step 3900/50000 lr=1.98e-04 d=0.6919 pixel=0.0138 perceptual=0.5808 adv=0.0696 g_total=0.6642 1.60 it/s
[x16/learnable_frequency] step 4000/50000 lr=1.98e-04 d=0.6909 pixel=0.0132 perceptual=0.5786 adv=0.0714 g_total=0.6632 1.60 it/s
[x16/learnable_frequency] step 4000 VAL ref_ssim=0.8977 (base 0.9192) ref_mse=0.000784 (base 0.000881) best_ssim=0.9069@2000
[x16/learnable_frequency] step 4100/50000 lr=1.97e-04 d=0.7286 pixel=0.0142 perceptual=0.5983 adv=0.0691 g_total=0.6816 1.59 it/s
[x16/learnable_frequency] step 4200/50000 lr=1.97e-04 d=0.6905 pixel=0.0122 perceptual=0.5396 adv=0.0695 g_total=0.6213 1.59 it/s
[x16/learnable_frequency] step 4300/50000 lr=1.97e-04 d=0.6928 pixel=0.0145 perceptual=0.6282 adv=0.0675 g_total=0.7102 1.59 it/s
[x16/learnable_frequency] step 4400/50000 lr=1.97e-04 d=0.6996 pixel=0.0130 perceptual=0.5801 adv=0.0692 g_total=0.6623 1.59 it/s
[x16/learnable_frequency] step 4500/50000 lr=1.97e-04 d=0.6931 pixel=0.0136 perceptual=0.6199 adv=0.0697 g_total=0.7033 1.59 it/s
[x16/learnable_frequency] step 4600/50000 lr=1.97e-04 d=0.6913 pixel=0.0154 perceptual=0.5329 adv=0.0701 g_total=0.6183 1.59 it/s
[x16/learnable_frequency] step 4700/50000 lr=1.97e-04 d=0.6938 pixel=0.0126 perceptual=0.5555 adv=0.0687 g_total=0.6367 1.59 it/s
[x16/learnable_frequency] step 4800/50000 lr=1.96e-04 d=0.6774 pixel=0.0152 perceptual=0.6258 adv=0.0726 g_total=0.7135 1.60 it/s
[x16/learnable_frequency] step 4900/50000 lr=1.96e-04 d=0.6920 pixel=0.0126 perceptual=0.5485 adv=0.0704 g_total=0.6315 1.60 it/s
[x16/learnable_frequency] step 5000/50000 lr=1.96e-04 d=0.6809 pixel=0.0145 perceptual=0.6572 adv=0.0709 g_total=0.7426 1.60 it/s
[x16/learnable_frequency] step 5000 VAL ref_ssim=0.9107 (base 0.9192) ref_mse=0.000734 (base 0.000881) best_ssim=0.9107@5000 *
[x16/learnable_frequency] step 5100/50000 lr=1.96e-04 d=0.6819 pixel=0.0116 perceptual=0.5455 adv=0.0712 g_total=0.6282 1.59 it/s
[x16/learnable_frequency] step 5200/50000 lr=1.96e-04 d=0.6804 pixel=0.0126 perceptual=0.5673 adv=0.0732 g_total=0.6531 1.59 it/s
[x16/learnable_frequency] step 5300/50000 lr=1.95e-04 d=0.6897 pixel=0.0139 perceptual=0.6027 adv=0.0689 g_total=0.6854 1.59 it/s
[x16/learnable_frequency] step 5400/50000 lr=1.95e-04 d=0.7300 pixel=0.0154 perceptual=0.6724 adv=0.0660 g_total=0.7538 1.59 it/s
[x16/learnable_frequency] step 5500/50000 lr=1.95e-04 d=0.6809 pixel=0.0134 perceptual=0.6001 adv=0.0756 g_total=0.6891 1.59 it/s
[x16/learnable_frequency] step 5600/50000 lr=1.95e-04 d=0.7064 pixel=0.0129 perceptual=0.5311 adv=0.0739 g_total=0.6179 1.59 it/s
[x16/learnable_frequency] step 5700/50000 lr=1.95e-04 d=0.6935 pixel=0.0145 perceptual=0.6635 adv=0.0688 g_total=0.7469 1.59 it/s
[x16/learnable_frequency] step 5800/50000 lr=1.95e-04 d=0.6926 pixel=0.0136 perceptual=0.5971 adv=0.0691 g_total=0.6798 1.60 it/s
[x16/learnable_frequency] step 5900/50000 lr=1.94e-04 d=0.6913 pixel=0.0138 perceptual=0.6069 adv=0.0691 g_total=0.6898 1.60 it/s
[x16/learnable_frequency] step 6000/50000 lr=1.94e-04 d=0.8188 pixel=0.0133 perceptual=0.5975 adv=0.0420 g_total=0.6529 1.60 it/s
[x16/learnable_frequency] step 6000 VAL ref_ssim=0.9138 (base 0.9192) ref_mse=0.000709 (base 0.000881) best_ssim=0.9138@6000 *
[x16/learnable_frequency] step 6100/50000 lr=1.94e-04 d=0.6876 pixel=0.0123 perceptual=0.5403 adv=0.0690 g_total=0.6216 1.59 it/s
[x16/learnable_frequency] step 6200/50000 lr=1.94e-04 d=0.7360 pixel=0.0124 perceptual=0.5577 adv=0.0675 g_total=0.6375 1.59 it/s
[x16/learnable_frequency] step 6300/50000 lr=1.93e-04 d=0.7776 pixel=0.0133 perceptual=0.5535 adv=0.0570 g_total=0.6239 1.59 it/s
[x16/learnable_frequency] step 6400/50000 lr=1.93e-04 d=0.6744 pixel=0.0151 perceptual=0.5816 adv=0.0831 g_total=0.6798 1.59 it/s
[x16/learnable_frequency] step 6500/50000 lr=1.93e-04 d=0.6908 pixel=0.0112 perceptual=0.5594 adv=0.0711 g_total=0.6418 1.59 it/s
[x16/learnable_frequency] step 6600/50000 lr=1.93e-04 d=0.6711 pixel=0.0119 perceptual=0.5282 adv=0.0789 g_total=0.6190 1.59 it/s
[x16/learnable_frequency] step 6700/50000 lr=1.93e-04 d=0.6910 pixel=0.0111 perceptual=0.4894 adv=0.0698 g_total=0.5703 1.59 it/s
[x16/learnable_frequency] step 6800/50000 lr=1.92e-04 d=0.6689 pixel=0.0136 perceptual=0.6003 adv=0.0767 g_total=0.6906 1.60 it/s
[x16/learnable_frequency] step 6900/50000 lr=1.92e-04 d=0.6812 pixel=0.0143 perceptual=0.6317 adv=0.0780 g_total=0.7240 1.60 it/s
[x16/learnable_frequency] step 7000/50000 lr=1.92e-04 d=0.7043 pixel=0.0139 perceptual=0.5907 adv=0.0690 g_total=0.6736 1.60 it/s
[x16/learnable_frequency] step 7000 VAL ref_ssim=0.9110 (base 0.9192) ref_mse=0.000713 (base 0.000881) best_ssim=0.9138@6000
[x16/learnable_frequency] step 7100/50000 lr=1.92e-04 d=0.6856 pixel=0.0143 perceptual=0.6335 adv=0.0717 g_total=0.7195 1.59 it/s
[x16/learnable_frequency] step 7200/50000 lr=1.91e-04 d=0.6955 pixel=0.0106 perceptual=0.4833 adv=0.0642 g_total=0.5582 1.59 it/s
[x16/learnable_frequency] step 7300/50000 lr=1.91e-04 d=0.7049 pixel=0.0134 perceptual=0.5800 adv=0.0742 g_total=0.6676 1.59 it/s
[x16/learnable_frequency] step 7400/50000 lr=1.91e-04 d=0.6821 pixel=0.0111 perceptual=0.5369 adv=0.0730 g_total=0.6210 1.59 it/s
[x16/learnable_frequency] step 7500/50000 lr=1.90e-04 d=0.6890 pixel=0.0132 perceptual=0.5801 adv=0.0818 g_total=0.6751 1.59 it/s
[x16/learnable_frequency] step 7600/50000 lr=1.90e-04 d=0.6835 pixel=0.0122 perceptual=0.5250 adv=0.0729 g_total=0.6100 1.59 it/s
[x16/learnable_frequency] step 7700/50000 lr=1.90e-04 d=0.6904 pixel=0.0131 perceptual=0.5752 adv=0.0738 g_total=0.6621 1.59 it/s
[x16/learnable_frequency] step 7800/50000 lr=1.90e-04 d=0.6791 pixel=0.0120 perceptual=0.5537 adv=0.0686 g_total=0.6343 1.59 it/s
[x16/learnable_frequency] step 7900/50000 lr=1.89e-04 d=0.6674 pixel=0.0150 perceptual=0.6167 adv=0.0816 g_total=0.7132 1.60 it/s
[x16/learnable_frequency] step 8000/50000 lr=1.89e-04 d=0.6760 pixel=0.0157 perceptual=0.6498 adv=0.0799 g_total=0.7454 1.60 it/s
[x16/learnable_frequency] step 8000 VAL ref_ssim=0.9118 (base 0.9192) ref_mse=0.000737 (base 0.000881) best_ssim=0.9138@6000
[x16/learnable_frequency] step 8100/50000 lr=1.89e-04 d=0.7406 pixel=0.0152 perceptual=0.5952 adv=0.1024 g_total=0.7128 1.59 it/s
[x16/learnable_frequency] step 8200/50000 lr=1.89e-04 d=0.6740 pixel=0.0118 perceptual=0.5206 adv=0.0782 g_total=0.6106 1.59 it/s
[x16/learnable_frequency] step 8300/50000 lr=1.88e-04 d=0.6773 pixel=0.0138 perceptual=0.5818 adv=0.0690 g_total=0.6647 1.59 it/s
[x16/learnable_frequency] step 8400/50000 lr=1.88e-04 d=0.7075 pixel=0.0123 perceptual=0.5869 adv=0.0610 g_total=0.6603 1.59 it/s
[x16/learnable_frequency] step 8500/50000 lr=1.88e-04 d=0.6410 pixel=0.0141 perceptual=0.6061 adv=0.0627 g_total=0.6829 1.59 it/s
[x16/learnable_frequency] step 8600/50000 lr=1.87e-04 d=0.6849 pixel=0.0126 perceptual=0.5169 adv=0.0777 g_total=0.6072 1.59 it/s
[x16/learnable_frequency] step 8700/50000 lr=1.87e-04 d=0.6626 pixel=0.0166 perceptual=0.6155 adv=0.0698 g_total=0.7019 1.59 it/s
[x16/learnable_frequency] step 8800/50000 lr=1.87e-04 d=0.6891 pixel=0.0132 perceptual=0.5896 adv=0.0632 g_total=0.6660 1.59 it/s
[x16/learnable_frequency] step 8900/50000 lr=1.86e-04 d=0.6114 pixel=0.0140 perceptual=0.5831 adv=0.0586 g_total=0.6557 1.59 it/s
[x16/learnable_frequency] step 9000/50000 lr=1.86e-04 d=0.6175 pixel=0.0138 perceptual=0.6099 adv=0.0675 g_total=0.6912 1.59 it/s
[x16/learnable_frequency] step 9000 VAL ref_ssim=0.9093 (base 0.9192) ref_mse=0.000745 (base 0.000881) best_ssim=0.9138@6000
[x16/learnable_frequency] step 9100/50000 lr=1.86e-04 d=0.6782 pixel=0.0134 perceptual=0.5771 adv=0.0824 g_total=0.6730 1.59 it/s
[x16/learnable_frequency] step 9200/50000 lr=1.85e-04 d=0.6862 pixel=0.0147 perceptual=0.6416 adv=0.0708 g_total=0.7270 1.59 it/s
[x16/learnable_frequency] step 9300/50000 lr=1.85e-04 d=0.7023 pixel=0.0149 perceptual=0.5827 adv=0.0775 g_total=0.6751 1.59 it/s
[x16/learnable_frequency] step 9400/50000 lr=1.85e-04 d=0.6394 pixel=0.0139 perceptual=0.5662 adv=0.0665 g_total=0.6466 1.59 it/s
[x16/learnable_frequency] step 9500/50000 lr=1.84e-04 d=0.6563 pixel=0.0165 perceptual=0.5969 adv=0.0766 g_total=0.6900 1.59 it/s
[x16/learnable_frequency] step 9600/50000 lr=1.84e-04 d=0.6893 pixel=0.0129 perceptual=0.5657 adv=0.0723 g_total=0.6510 1.59 it/s
[x16/learnable_frequency] step 9700/50000 lr=1.84e-04 d=0.6581 pixel=0.0150 perceptual=0.6314 adv=0.0799 g_total=0.7263 1.59 it/s
[x16/learnable_frequency] step 9800/50000 lr=1.83e-04 d=0.6554 pixel=0.0132 perceptual=0.5820 adv=0.0815 g_total=0.6767 1.59 it/s
[x16/learnable_frequency] step 9900/50000 lr=1.83e-04 d=0.6945 pixel=0.0135 perceptual=0.5650 adv=0.0907 g_total=0.6691 1.59 it/s
[x16/learnable_frequency] step 10000/50000 lr=1.83e-04 d=0.6317 pixel=0.0155 perceptual=0.5901 adv=0.0800 g_total=0.6856 1.59 it/s
[x16/learnable_frequency] step 10000 VAL ref_ssim=0.9074 (base 0.9192) ref_mse=0.000836 (base 0.000881) best_ssim=0.9138@6000
[x16/learnable_frequency] step 10100/50000 lr=1.82e-04 d=0.6648 pixel=0.0134 perceptual=0.5860 adv=0.0735 g_total=0.6728 1.59 it/s
[x16/learnable_frequency] step 10200/50000 lr=1.82e-04 d=0.7207 pixel=0.0122 perceptual=0.5220 adv=0.0829 g_total=0.6171 1.59 it/s
[x16/learnable_frequency] step 10300/50000 lr=1.82e-04 d=0.6135 pixel=0.0143 perceptual=0.6061 adv=0.0745 g_total=0.6948 1.59 it/s
[x16/learnable_frequency] step 10400/50000 lr=1.81e-04 d=0.7036 pixel=0.0142 perceptual=0.5936 adv=0.0881 g_total=0.6959 1.59 it/s
[x16/learnable_frequency] step 10500/50000 lr=1.81e-04 d=0.6901 pixel=0.0121 perceptual=0.5278 adv=0.0624 g_total=0.6023 1.59 it/s
[x16/learnable_frequency] step 10600/50000 lr=1.81e-04 d=0.6726 pixel=0.0137 perceptual=0.5980 adv=0.0682 g_total=0.6798 1.59 it/s
[x16/learnable_frequency] step 10700/50000 lr=1.80e-04 d=0.6818 pixel=0.0142 perceptual=0.6334 adv=0.0775 g_total=0.7251 1.59 it/s
[x16/learnable_frequency] step 10800/50000 lr=1.80e-04 d=0.7125 pixel=0.0129 perceptual=0.5283 adv=0.0754 g_total=0.6166 1.59 it/s
[x16/learnable_frequency] step 10900/50000 lr=1.79e-04 d=0.6884 pixel=0.0129 perceptual=0.6006 adv=0.0839 g_total=0.6974 1.59 it/s
[x16/learnable_frequency] step 11000/50000 lr=1.79e-04 d=0.6619 pixel=0.0123 perceptual=0.5637 adv=0.0490 g_total=0.6251 1.59 it/s
[x16/learnable_frequency] step 11000 VAL ref_ssim=0.9075 (base 0.9192) ref_mse=0.000767 (base 0.000881) best_ssim=0.9138@6000
[x16/learnable_frequency] step 11100/50000 lr=1.79e-04 d=0.6819 pixel=0.0139 perceptual=0.6213 adv=0.0741 g_total=0.7092 1.59 it/s
[x16/learnable_frequency] step 11200/50000 lr=1.78e-04 d=0.6645 pixel=0.0135 perceptual=0.5701 adv=0.0709 g_total=0.6544 1.59 it/s
[x16/learnable_frequency] step 11300/50000 lr=1.78e-04 d=0.6902 pixel=0.0134 perceptual=0.6039 adv=0.0743 g_total=0.6916 1.59 it/s
[x16/learnable_frequency] step 11400/50000 lr=1.77e-04 d=0.7420 pixel=0.0119 perceptual=0.5266 adv=0.0790 g_total=0.6176 1.59 it/s
[x16/learnable_frequency] step 11500/50000 lr=1.77e-04 d=0.6738 pixel=0.0116 perceptual=0.5237 adv=0.0768 g_total=0.6122 1.59 it/s
[x16/learnable_frequency] step 11600/50000 lr=1.77e-04 d=0.6676 pixel=0.0155 perceptual=0.5646 adv=0.0737 g_total=0.6538 1.59 it/s
[x16/learnable_frequency] step 11700/50000 lr=1.76e-04 d=0.6923 pixel=0.0120 perceptual=0.5366 adv=0.0722 g_total=0.6207 1.59 it/s
[x16/learnable_frequency] step 11800/50000 lr=1.76e-04 d=0.6487 pixel=0.0161 perceptual=0.6427 adv=0.0782 g_total=0.7369 1.59 it/s
[x16/learnable_frequency] step 11900/50000 lr=1.75e-04 d=0.6916 pixel=0.0165 perceptual=0.6810 adv=0.0698 g_total=0.7673 1.59 it/s
[x16/learnable_frequency] step 12000/50000 lr=1.75e-04 d=0.7908 pixel=0.0132 perceptual=0.5682 adv=0.0572 g_total=0.6387 1.59 it/s
[x16/learnable_frequency] step 12000 VAL ref_ssim=0.8787 (base 0.9192) ref_mse=0.000864 (base 0.000881) best_ssim=0.9138@6000
[x16/learnable_frequency] step 12100/50000 lr=1.75e-04 d=0.6828 pixel=0.0181 perceptual=0.7453 adv=0.0639 g_total=0.8273 1.59 it/s
[x16/learnable_frequency] step 12200/50000 lr=1.74e-04 d=0.7019 pixel=0.0116 perceptual=0.5453 adv=0.0770 g_total=0.6339 1.59 it/s
[x16/learnable_frequency] step 12300/50000 lr=1.74e-04 d=0.7017 pixel=0.0149 perceptual=0.6553 adv=0.0763 g_total=0.7465 1.59 it/s
[x16/learnable_frequency] step 12400/50000 lr=1.73e-04 d=0.6613 pixel=0.0138 perceptual=0.5817 adv=0.0664 g_total=0.6620 1.59 it/s
[x16/learnable_frequency] step 12500/50000 lr=1.73e-04 d=0.7050 pixel=0.0130 perceptual=0.5829 adv=0.0794 g_total=0.6753 1.59 it/s
[x16/learnable_frequency] step 12600/50000 lr=1.72e-04 d=0.6648 pixel=0.0120 perceptual=0.5476 adv=0.0714 g_total=0.6310 1.59 it/s
[x16/learnable_frequency] step 12700/50000 lr=1.72e-04 d=0.6856 pixel=0.0112 perceptual=0.5194 adv=0.0710 g_total=0.6016 1.59 it/s
[x16/learnable_frequency] step 12800/50000 lr=1.72e-04 d=0.6937 pixel=0.0141 perceptual=0.5944 adv=0.0663 g_total=0.6748 1.59 it/s
[x16/learnable_frequency] step 12900/50000 lr=1.71e-04 d=0.7119 pixel=0.0149 perceptual=0.6645 adv=0.0954 g_total=0.7748 1.59 it/s
[x16/learnable_frequency] step 13000/50000 lr=1.71e-04 d=0.7483 pixel=0.0129 perceptual=0.5670 adv=0.0521 g_total=0.6319 1.59 it/s
[x16/learnable_frequency] step 13000 VAL ref_ssim=0.9082 (base 0.9192) ref_mse=0.000726 (base 0.000881) best_ssim=0.9138@6000
[x16/learnable_frequency] step 13100/50000 lr=1.70e-04 d=0.6028 pixel=0.0153 perceptual=0.6246 adv=0.0764 g_total=0.7163 1.59 it/s
