[x64/random_fixed] loading frozen base ...
[x64/random_fixed] building caches (frozen base forward) ...
[x64/random_fixed] cache: train=7920 val=40 test=60 (61s)
/home/leonidas/workspace/differentiable_micoscopy_replication/microscopy-clean/.venv/lib/python3.12/site-packages/timm/models/layers/__init__.py:49: FutureWarning: Importing from timm.models.layers is deprecated, please import via timm.layers
  warnings.warn(f"Importing from {__name__} is deprecated, please import via timm.layers", FutureWarning)
/home/leonidas/workspace/differentiable_micoscopy_replication/microscopy-clean/.venv/lib/python3.12/site-packages/torch/functional.py:505: UserWarning: torch.meshgrid: in an upcoming release, it will be required to pass the indexing argument. (Triggered internally at /pytorch/aten/src/ATen/native/TensorShape.cpp:4381.)
  return _VF.meshgrid(tensors, **kwargs)  # type: ignore[attr-defined]
[x64/random_fixed] SwinIR params=11.50M embed_dim=180 depths=[6, 6, 6, 6, 6, 6] identity_init=True
[x64/random_fixed] base val: ssim=0.8635 mse=0.002681
[x64/random_fixed] step 100/50000 lr=4.00e-05 d=0.6785 pixel=0.0270 perceptual=1.2086 adv=0.0635 g_total=1.2990 1.63 it/s
[x64/random_fixed] step 200/50000 lr=8.00e-05 d=0.6328 pixel=0.0262 perceptual=1.1860 adv=0.0689 g_total=1.2810 1.61 it/s
[x64/random_fixed] step 300/50000 lr=1.20e-04 d=0.5351 pixel=0.0471 perceptual=1.1925 adv=0.0845 g_total=1.3241 1.61 it/s
[x64/random_fixed] step 400/50000 lr=1.60e-04 d=0.6817 pixel=0.0278 perceptual=1.0790 adv=0.0660 g_total=1.1729 1.62 it/s
[x64/random_fixed] step 500/50000 lr=2.00e-04 d=0.6648 pixel=0.0286 perceptual=0.9997 adv=0.0945 g_total=1.1229 1.62 it/s
[x64/random_fixed] step 600/50000 lr=2.00e-04 d=0.6823 pixel=0.0269 perceptual=1.0094 adv=0.0733 g_total=1.1097 1.62 it/s
[x64/random_fixed] step 700/50000 lr=2.00e-04 d=0.7110 pixel=0.0285 perceptual=0.9133 adv=0.0501 g_total=0.9920 1.62 it/s
[x64/random_fixed] step 800/50000 lr=2.00e-04 d=0.6328 pixel=0.0219 perceptual=0.8413 adv=0.0837 g_total=0.9469 1.62 it/s
[x64/random_fixed] step 900/50000 lr=2.00e-04 d=0.7113 pixel=0.0322 perceptual=0.9927 adv=0.0755 g_total=1.1004 1.62 it/s
[x64/random_fixed] step 1000/50000 lr=2.00e-04 d=0.7116 pixel=0.0209 perceptual=0.7994 adv=0.0801 g_total=0.9004 1.62 it/s
[x64/random_fixed] step 1000 VAL ref_ssim=0.8512 (base 0.8635) ref_mse=0.002529 (base 0.002681) best_ssim=0.8512@1000 *
[x64/random_fixed] step 1100/50000 lr=2.00e-04 d=0.6768 pixel=0.0209 perceptual=0.7398 adv=0.0886 g_total=0.8492 1.60 it/s
[x64/random_fixed] step 1200/50000 lr=2.00e-04 d=0.6356 pixel=0.0258 perceptual=0.9684 adv=0.0695 g_total=1.0636 1.60 it/s
[x64/random_fixed] step 1300/50000 lr=2.00e-04 d=0.6864 pixel=0.0283 perceptual=0.8302 adv=0.0801 g_total=0.9385 1.60 it/s
[x64/random_fixed] step 1400/50000 lr=2.00e-04 d=0.6597 pixel=0.0234 perceptual=0.8624 adv=0.0781 g_total=0.9639 1.60 it/s
[x64/random_fixed] step 1500/50000 lr=2.00e-04 d=0.6955 pixel=0.0220 perceptual=0.8345 adv=0.0812 g_total=0.9378 1.60 it/s
[x64/random_fixed] step 1600/50000 lr=2.00e-04 d=0.6289 pixel=0.0209 perceptual=0.7546 adv=0.0730 g_total=0.8485 1.60 it/s
[x64/random_fixed] step 1700/50000 lr=2.00e-04 d=0.7019 pixel=0.0300 perceptual=0.8294 adv=0.0654 g_total=0.9249 1.60 it/s
[x64/random_fixed] step 1800/50000 lr=2.00e-04 d=0.6457 pixel=0.0216 perceptual=0.8206 adv=0.0804 g_total=0.9227 1.60 it/s
[x64/random_fixed] step 1900/50000 lr=2.00e-04 d=0.6606 pixel=0.0233 perceptual=0.7999 adv=0.0789 g_total=0.9022 1.60 it/s
[x64/random_fixed] step 2000/50000 lr=2.00e-04 d=0.6085 pixel=0.0206 perceptual=0.7963 adv=0.0795 g_total=0.8964 1.60 it/s
[x64/random_fixed] step 2000 VAL ref_ssim=0.8395 (base 0.8635) ref_mse=0.002614 (base 0.002681) best_ssim=0.8512@1000
[x64/random_fixed] step 2100/50000 lr=1.99e-04 d=0.6307 pixel=0.0253 perceptual=0.8727 adv=0.0686 g_total=0.9665 1.59 it/s
[x64/random_fixed] step 2200/50000 lr=1.99e-04 d=0.6363 pixel=0.0235 perceptual=0.8472 adv=0.0772 g_total=0.9479 1.59 it/s
[x64/random_fixed] step 2300/50000 lr=1.99e-04 d=0.6386 pixel=0.0233 perceptual=0.8509 adv=0.0611 g_total=0.9353 1.60 it/s
[x64/random_fixed] step 2400/50000 lr=1.99e-04 d=0.7103 pixel=0.0291 perceptual=0.8898 adv=0.0757 g_total=0.9946 1.60 it/s
[x64/random_fixed] step 2500/50000 lr=1.99e-04 d=0.5981 pixel=0.0226 perceptual=0.8184 adv=0.0708 g_total=0.9118 1.60 it/s
[x64/random_fixed] step 2600/50000 lr=1.99e-04 d=0.6902 pixel=0.0240 perceptual=0.9035 adv=0.0651 g_total=0.9925 1.60 it/s
[x64/random_fixed] step 2700/50000 lr=1.99e-04 d=0.5767 pixel=0.0222 perceptual=0.8526 adv=0.0713 g_total=0.9462 1.60 it/s
[x64/random_fixed] step 2800/50000 lr=1.99e-04 d=0.6928 pixel=0.0220 perceptual=0.8037 adv=0.0746 g_total=0.9003 1.60 it/s
[x64/random_fixed] step 2900/50000 lr=1.99e-04 d=0.6344 pixel=0.0221 perceptual=0.8005 adv=0.0797 g_total=0.9023 1.60 it/s
[x64/random_fixed] step 3000/50000 lr=1.99e-04 d=0.6944 pixel=0.0260 perceptual=0.8654 adv=0.0716 g_total=0.9629 1.60 it/s
[x64/random_fixed] step 3000 VAL ref_ssim=0.8642 (base 0.8635) ref_mse=0.002366 (base 0.002681) best_ssim=0.8642@3000 *
[x64/random_fixed] step 3100/50000 lr=1.99e-04 d=0.6840 pixel=0.0224 perceptual=0.7913 adv=0.0709 g_total=0.8846 1.59 it/s
[x64/random_fixed] step 3200/50000 lr=1.99e-04 d=0.6544 pixel=0.0258 perceptual=0.8625 adv=0.0758 g_total=0.9641 1.59 it/s
[x64/random_fixed] step 3300/50000 lr=1.98e-04 d=0.6779 pixel=0.0229 perceptual=0.7841 adv=0.0684 g_total=0.8753 1.59 it/s
[x64/random_fixed] step 3400/50000 lr=1.98e-04 d=0.6966 pixel=0.0231 perceptual=0.8209 adv=0.0875 g_total=0.9315 1.59 it/s
[x64/random_fixed] step 3500/50000 lr=1.98e-04 d=0.5668 pixel=0.0236 perceptual=0.8839 adv=0.0676 g_total=0.9751 1.59 it/s
[x64/random_fixed] step 3600/50000 lr=1.98e-04 d=0.7469 pixel=0.0245 perceptual=0.9026 adv=0.0917 g_total=1.0188 1.60 it/s
[x64/random_fixed] step 3700/50000 lr=1.98e-04 d=0.6894 pixel=0.0245 perceptual=0.8930 adv=0.0750 g_total=0.9925 1.60 it/s
[x64/random_fixed] step 3800/50000 lr=1.98e-04 d=0.7012 pixel=0.0268 perceptual=0.9760 adv=0.0845 g_total=1.0873 1.60 it/s
[x64/random_fixed] step 3900/50000 lr=1.98e-04 d=0.6714 pixel=0.0228 perceptual=0.8614 adv=0.0509 g_total=0.9351 1.60 it/s
[x64/random_fixed] step 4000/50000 lr=1.98e-04 d=0.6833 pixel=0.0225 perceptual=0.7991 adv=0.0678 g_total=0.8894 1.60 it/s
[x64/random_fixed] step 4000 VAL ref_ssim=0.8714 (base 0.8635) ref_mse=0.002260 (base 0.002681) best_ssim=0.8714@4000 *
[x64/random_fixed] step 4100/50000 lr=1.97e-04 d=0.6267 pixel=0.0262 perceptual=0.7833 adv=0.0764 g_total=0.8858 1.59 it/s
[x64/random_fixed] step 4200/50000 lr=1.97e-04 d=0.6897 pixel=0.0227 perceptual=0.8221 adv=0.0733 g_total=0.9181 1.59 it/s
[x64/random_fixed] step 4300/50000 lr=1.97e-04 d=0.7002 pixel=0.0256 perceptual=0.8711 adv=0.0825 g_total=0.9792 1.59 it/s
[x64/random_fixed] step 4400/50000 lr=1.97e-04 d=0.6896 pixel=0.0225 perceptual=0.7962 adv=0.0786 g_total=0.8972 1.59 it/s
[x64/random_fixed] step 4500/50000 lr=1.97e-04 d=0.6951 pixel=0.0231 perceptual=0.8506 adv=0.0770 g_total=0.9507 1.59 it/s
[x64/random_fixed] step 4600/50000 lr=1.97e-04 d=0.6580 pixel=0.0224 perceptual=0.7705 adv=0.0668 g_total=0.8597 1.59 it/s
[x64/random_fixed] step 4700/50000 lr=1.97e-04 d=0.6924 pixel=0.0285 perceptual=0.9510 adv=0.0765 g_total=1.0560 1.59 it/s
[x64/random_fixed] step 4800/50000 lr=1.96e-04 d=0.7344 pixel=0.0252 perceptual=0.9209 adv=0.0890 g_total=1.0352 1.59 it/s
[x64/random_fixed] step 4900/50000 lr=1.96e-04 d=0.6936 pixel=0.0189 perceptual=0.6922 adv=0.0743 g_total=0.7854 1.59 it/s
[x64/random_fixed] step 5000/50000 lr=1.96e-04 d=0.7302 pixel=0.0213 perceptual=0.8121 adv=0.0852 g_total=0.9185 1.60 it/s
[x64/random_fixed] step 5000 VAL ref_ssim=0.8617 (base 0.8635) ref_mse=0.002311 (base 0.002681) best_ssim=0.8714@4000
[x64/random_fixed] step 5100/50000 lr=1.96e-04 d=0.6837 pixel=0.0221 perceptual=0.8369 adv=0.0823 g_total=0.9413 1.59 it/s
[x64/random_fixed] step 5200/50000 lr=1.96e-04 d=0.6642 pixel=0.0195 perceptual=0.6574 adv=0.0474 g_total=0.7242 1.59 it/s
[x64/random_fixed] step 5300/50000 lr=1.95e-04 d=0.6118 pixel=0.0196 perceptual=0.7675 adv=0.0708 g_total=0.8579 1.59 it/s
[x64/random_fixed] step 5400/50000 lr=1.95e-04 d=0.6905 pixel=0.0232 perceptual=0.8652 adv=0.0751 g_total=0.9635 1.59 it/s
[x64/random_fixed] step 5500/50000 lr=1.95e-04 d=0.6971 pixel=0.0242 perceptual=0.9059 adv=0.0838 g_total=1.0138 1.59 it/s
[x64/random_fixed] step 5600/50000 lr=1.95e-04 d=0.6933 pixel=0.0187 perceptual=0.7359 adv=0.0755 g_total=0.8301 1.59 it/s
[x64/random_fixed] step 5700/50000 lr=1.95e-04 d=0.6998 pixel=0.0253 perceptual=0.8888 adv=0.0788 g_total=0.9929 1.59 it/s
[x64/random_fixed] step 5800/50000 lr=1.95e-04 d=0.6925 pixel=0.0219 perceptual=0.8159 adv=0.0700 g_total=0.9078 1.59 it/s
[x64/random_fixed] step 5900/50000 lr=1.94e-04 d=0.6682 pixel=0.0253 perceptual=0.8566 adv=0.0700 g_total=0.9520 1.59 it/s
[x64/random_fixed] step 6000/50000 lr=1.94e-04 d=0.6152 pixel=0.0244 perceptual=0.8439 adv=0.0757 g_total=0.9440 1.59 it/s
[x64/random_fixed] step 6000 VAL ref_ssim=0.8323 (base 0.8635) ref_mse=0.002265 (base 0.002681) best_ssim=0.8714@4000
[x64/random_fixed] step 6100/50000 lr=1.94e-04 d=0.6364 pixel=0.0176 perceptual=0.6884 adv=0.0735 g_total=0.7795 1.59 it/s
[x64/random_fixed] step 6200/50000 lr=1.94e-04 d=0.6232 pixel=0.0196 perceptual=0.6692 adv=0.0689 g_total=0.7577 1.59 it/s
[x64/random_fixed] step 6300/50000 lr=1.93e-04 d=0.6349 pixel=0.0213 perceptual=0.7773 adv=0.0668 g_total=0.8655 1.59 it/s
[x64/random_fixed] step 6400/50000 lr=1.93e-04 d=0.6907 pixel=0.0246 perceptual=0.8289 adv=0.0755 g_total=0.9290 1.59 it/s
[x64/random_fixed] step 6500/50000 lr=1.93e-04 d=0.6593 pixel=0.0274 perceptual=0.8552 adv=0.0598 g_total=0.9424 1.59 it/s
[x64/random_fixed] step 6600/50000 lr=1.93e-04 d=0.6746 pixel=0.0238 perceptual=0.7778 adv=0.0680 g_total=0.8695 1.59 it/s
[x64/random_fixed] step 6700/50000 lr=1.93e-04 d=0.5998 pixel=0.0226 perceptual=0.8147 adv=0.0683 g_total=0.9055 1.59 it/s
[x64/random_fixed] step 6800/50000 lr=1.92e-04 d=0.6909 pixel=0.0247 perceptual=0.8529 adv=0.0792 g_total=0.9569 1.59 it/s
[x64/random_fixed] step 6900/50000 lr=1.92e-04 d=0.7693 pixel=0.0291 perceptual=0.8911 adv=0.0664 g_total=0.9866 1.59 it/s
[x64/random_fixed] step 7000/50000 lr=1.92e-04 d=0.6857 pixel=0.0224 perceptual=0.8431 adv=0.0674 g_total=0.9329 1.59 it/s
[x64/random_fixed] step 7000 VAL ref_ssim=0.8759 (base 0.8635) ref_mse=0.002117 (base 0.002681) best_ssim=0.8759@7000 *
[x64/random_fixed] step 7100/50000 lr=1.92e-04 d=0.6870 pixel=0.0261 perceptual=0.7860 adv=0.0895 g_total=0.9016 1.59 it/s
[x64/random_fixed] step 7200/50000 lr=1.91e-04 d=0.6994 pixel=0.0242 perceptual=0.8905 adv=0.0850 g_total=0.9997 1.59 it/s
[x64/random_fixed] step 7300/50000 lr=1.91e-04 d=0.5184 pixel=0.0249 perceptual=0.8572 adv=0.0738 g_total=0.9559 1.59 it/s
[x64/random_fixed] step 7400/50000 lr=1.91e-04 d=0.6875 pixel=0.0195 perceptual=0.7295 adv=0.0766 g_total=0.8256 1.59 it/s
[x64/random_fixed] step 7500/50000 lr=1.90e-04 d=0.6543 pixel=0.0214 perceptual=0.7517 adv=0.0590 g_total=0.8320 1.59 it/s
[x64/random_fixed] step 7600/50000 lr=1.90e-04 d=0.7640 pixel=0.0236 perceptual=0.7977 adv=0.0495 g_total=0.8708 1.59 it/s
[x64/random_fixed] step 7700/50000 lr=1.90e-04 d=0.6864 pixel=0.0196 perceptual=0.7185 adv=0.0761 g_total=0.8142 1.59 it/s
[x64/random_fixed] step 7800/50000 lr=1.90e-04 d=0.6826 pixel=0.0214 perceptual=0.7323 adv=0.0734 g_total=0.8271 1.59 it/s
[x64/random_fixed] step 7900/50000 lr=1.89e-04 d=0.6909 pixel=0.0259 perceptual=0.8397 adv=0.0841 g_total=0.9498 1.59 it/s
[x64/random_fixed] step 8000/50000 lr=1.89e-04 d=0.6686 pixel=0.0158 perceptual=0.6269 adv=0.0852 g_total=0.7279 1.59 it/s
[x64/random_fixed] step 8000 VAL ref_ssim=0.8723 (base 0.8635) ref_mse=0.002316 (base 0.002681) best_ssim=0.8759@7000
[x64/random_fixed] step 8100/50000 lr=1.89e-04 d=0.6633 pixel=0.0236 perceptual=0.7681 adv=0.0591 g_total=0.8508 1.59 it/s
[x64/random_fixed] step 8200/50000 lr=1.89e-04 d=0.6531 pixel=0.0256 perceptual=0.8937 adv=0.0542 g_total=0.9735 1.59 it/s
[x64/random_fixed] step 8300/50000 lr=1.88e-04 d=0.6907 pixel=0.0231 perceptual=0.7768 adv=0.0802 g_total=0.8801 1.59 it/s
[x64/random_fixed] step 8400/50000 lr=1.88e-04 d=0.6997 pixel=0.0213 perceptual=0.7886 adv=0.0852 g_total=0.8951 1.59 it/s
[x64/random_fixed] step 8500/50000 lr=1.88e-04 d=0.7341 pixel=0.0223 perceptual=0.8137 adv=0.0887 g_total=0.9247 1.59 it/s
[x64/random_fixed] step 8600/50000 lr=1.87e-04 d=0.6911 pixel=0.0230 perceptual=0.7025 adv=0.0727 g_total=0.7982 1.59 it/s
[x64/random_fixed] step 8700/50000 lr=1.87e-04 d=0.6934 pixel=0.0212 perceptual=0.7952 adv=0.0863 g_total=0.9027 1.59 it/s
[x64/random_fixed] step 8800/50000 lr=1.87e-04 d=0.6784 pixel=0.0177 perceptual=0.6755 adv=0.0829 g_total=0.7761 1.59 it/s
[x64/random_fixed] step 8900/50000 lr=1.86e-04 d=0.6943 pixel=0.0186 perceptual=0.6763 adv=0.0850 g_total=0.7800 1.59 it/s
[x64/random_fixed] step 9000/50000 lr=1.86e-04 d=0.6353 pixel=0.0237 perceptual=0.8209 adv=0.0688 g_total=0.9133 1.59 it/s
[x64/random_fixed] step 9000 VAL ref_ssim=0.8584 (base 0.8635) ref_mse=0.002219 (base 0.002681) best_ssim=0.8759@7000
[x64/random_fixed] step 9100/50000 lr=1.86e-04 d=0.6383 pixel=0.0213 perceptual=0.7697 adv=0.0713 g_total=0.8623 1.59 it/s
[x64/random_fixed] step 9200/50000 lr=1.85e-04 d=0.6481 pixel=0.0252 perceptual=0.8888 adv=0.0692 g_total=0.9831 1.59 it/s
[x64/random_fixed] step 9300/50000 lr=1.85e-04 d=0.6817 pixel=0.0219 perceptual=0.7728 adv=0.0745 g_total=0.8692 1.59 it/s
[x64/random_fixed] step 9400/50000 lr=1.85e-04 d=0.7236 pixel=0.0238 perceptual=0.8699 adv=0.0896 g_total=0.9833 1.59 it/s
[x64/random_fixed] step 9500/50000 lr=1.84e-04 d=0.6828 pixel=0.0215 perceptual=0.7453 adv=0.0778 g_total=0.8446 1.59 it/s
[x64/random_fixed] step 9600/50000 lr=1.84e-04 d=0.6741 pixel=0.0260 perceptual=0.8408 adv=0.0786 g_total=0.9454 1.59 it/s
[x64/random_fixed] step 9700/50000 lr=1.84e-04 d=0.6237 pixel=0.0293 perceptual=0.9256 adv=0.0851 g_total=1.0400 1.59 it/s
[x64/random_fixed] step 9800/50000 lr=1.83e-04 d=0.6282 pixel=0.0180 perceptual=0.6948 adv=0.0748 g_total=0.7876 1.59 it/s
[x64/random_fixed] step 9900/50000 lr=1.83e-04 d=0.6927 pixel=0.0186 perceptual=0.7048 adv=0.0832 g_total=0.8066 1.59 it/s
[x64/random_fixed] step 10000/50000 lr=1.83e-04 d=0.6392 pixel=0.0199 perceptual=0.7669 adv=0.0707 g_total=0.8575 1.59 it/s
[x64/random_fixed] step 10000 VAL ref_ssim=0.8671 (base 0.8635) ref_mse=0.002176 (base 0.002681) best_ssim=0.8759@7000
[x64/random_fixed] step 10100/50000 lr=1.82e-04 d=0.6676 pixel=0.0236 perceptual=0.7858 adv=0.0867 g_total=0.8961 1.59 it/s
[x64/random_fixed] step 10200/50000 lr=1.82e-04 d=0.6571 pixel=0.0178 perceptual=0.6828 adv=0.0650 g_total=0.7655 1.59 it/s
[x64/random_fixed] step 10300/50000 lr=1.82e-04 d=0.6842 pixel=0.0202 perceptual=0.7400 adv=0.0883 g_total=0.8484 1.59 it/s
[x64/random_fixed] step 10400/50000 lr=1.81e-04 d=0.6534 pixel=0.0205 perceptual=0.7830 adv=0.0768 g_total=0.8803 1.59 it/s
[x64/random_fixed] step 10500/50000 lr=1.81e-04 d=0.7467 pixel=0.0212 perceptual=0.6943 adv=0.0689 g_total=0.7844 1.59 it/s
[x64/random_fixed] step 10600/50000 lr=1.81e-04 d=0.7123 pixel=0.0221 perceptual=0.7618 adv=0.0782 g_total=0.8621 1.59 it/s
[x64/random_fixed] step 10700/50000 lr=1.80e-04 d=0.6737 pixel=0.0214 perceptual=0.7646 adv=0.0873 g_total=0.8733 1.59 it/s
[x64/random_fixed] step 10800/50000 lr=1.80e-04 d=0.6864 pixel=0.0255 perceptual=0.8798 adv=0.0766 g_total=0.9819 1.59 it/s
[x64/random_fixed] step 10900/50000 lr=1.79e-04 d=0.6842 pixel=0.0264 perceptual=0.7521 adv=0.0937 g_total=0.8723 1.59 it/s
[x64/random_fixed] step 11000/50000 lr=1.79e-04 d=0.7320 pixel=0.0248 perceptual=0.8430 adv=0.0728 g_total=0.9405 1.59 it/s
[x64/random_fixed] step 11000 VAL ref_ssim=0.8639 (base 0.8635) ref_mse=0.002398 (base 0.002681) best_ssim=0.8759@7000
[x64/random_fixed] step 11100/50000 lr=1.79e-04 d=0.7343 pixel=0.0266 perceptual=0.8449 adv=0.0923 g_total=0.9638 1.59 it/s
[x64/random_fixed] step 11200/50000 lr=1.78e-04 d=0.7092 pixel=0.0218 perceptual=0.7554 adv=0.0884 g_total=0.8656 1.59 it/s
[x64/random_fixed] step 11300/50000 lr=1.78e-04 d=0.7089 pixel=0.0189 perceptual=0.6912 adv=0.0900 g_total=0.8001 1.59 it/s
[x64/random_fixed] step 11400/50000 lr=1.77e-04 d=0.6938 pixel=0.0211 perceptual=0.6983 adv=0.0884 g_total=0.8078 1.59 it/s
[x64/random_fixed] step 11500/50000 lr=1.77e-04 d=0.7014 pixel=0.0187 perceptual=0.6822 adv=0.0891 g_total=0.7901 1.59 it/s
[x64/random_fixed] step 11600/50000 lr=1.77e-04 d=0.7150 pixel=0.0242 perceptual=0.7657 adv=0.0643 g_total=0.8542 1.59 it/s
[x64/random_fixed] step 11700/50000 lr=1.76e-04 d=0.7064 pixel=0.0240 perceptual=0.8442 adv=0.0893 g_total=0.9575 1.59 it/s
[x64/random_fixed] step 11800/50000 lr=1.76e-04 d=0.6936 pixel=0.0206 perceptual=0.7597 adv=0.0825 g_total=0.8628 1.59 it/s
[x64/random_fixed] step 11900/50000 lr=1.75e-04 d=0.6976 pixel=0.0210 perceptual=0.7234 adv=0.0457 g_total=0.7901 1.59 it/s
[x64/random_fixed] step 12000/50000 lr=1.75e-04 d=0.6928 pixel=0.0239 perceptual=0.8081 adv=0.0815 g_total=0.9136 1.59 it/s
[x64/random_fixed] step 12000 VAL ref_ssim=0.8668 (base 0.8635) ref_mse=0.002084 (base 0.002681) best_ssim=0.8759@7000
[x64/random_fixed] step 12100/50000 lr=1.75e-04 d=0.6517 pixel=0.0206 perceptual=0.7162 adv=0.0655 g_total=0.8023 1.59 it/s
[x64/random_fixed] step 12200/50000 lr=1.74e-04 d=0.6706 pixel=0.0222 perceptual=0.8086 adv=0.0689 g_total=0.8996 1.59 it/s
[x64/random_fixed] step 12300/50000 lr=1.74e-04 d=0.6714 pixel=0.0202 perceptual=0.7879 adv=0.0715 g_total=0.8796 1.59 it/s
[x64/random_fixed] step 12400/50000 lr=1.73e-04 d=0.7061 pixel=0.0196 perceptual=0.7160 adv=0.0886 g_total=0.8242 1.59 it/s
[x64/random_fixed] step 12500/50000 lr=1.73e-04 d=0.6101 pixel=0.0234 perceptual=0.8386 adv=0.0660 g_total=0.9281 1.59 it/s
[x64/random_fixed] step 12600/50000 lr=1.72e-04 d=0.6797 pixel=0.0242 perceptual=0.8037 adv=0.0883 g_total=0.9161 1.59 it/s
[x64/random_fixed] step 12700/50000 lr=1.72e-04 d=0.6734 pixel=0.0258 perceptual=0.8168 adv=0.0628 g_total=0.9055 1.59 it/s
[x64/random_fixed] step 12800/50000 lr=1.72e-04 d=0.8534 pixel=0.0221 perceptual=0.8129 adv=0.0459 g_total=0.8809 1.59 it/s
[x64/random_fixed] step 12900/50000 lr=1.71e-04 d=0.5255 pixel=0.0208 perceptual=0.7924 adv=0.0709 g_total=0.8842 1.59 it/s
[x64/random_fixed] step 13000/50000 lr=1.71e-04 d=0.6808 pixel=0.0212 perceptual=0.8160 adv=0.0746 g_total=0.9118 1.59 it/s
[x64/random_fixed] step 13000 VAL ref_ssim=0.8734 (base 0.8635) ref_mse=0.002264 (base 0.002681) best_ssim=0.8759@7000
[x64/random_fixed] step 13100/50000 lr=1.70e-04 d=0.6880 pixel=0.0221 perceptual=0.8039 adv=0.0816 g_total=0.9076 1.59 it/s
[x64/random_fixed] step 13200/50000 lr=1.70e-04 d=0.7011 pixel=0.0195 perceptual=0.7540 adv=0.0831 g_total=0.8565 1.59 it/s
[x64/random_fixed] step 13300/50000 lr=1.69e-04 d=0.8512 pixel=0.0269 perceptual=0.7799 adv=0.0435 g_total=0.8503 1.59 it/s
[x64/random_fixed] step 13400/50000 lr=1.69e-04 d=0.5868 pixel=0.0187 perceptual=0.6796 adv=0.0566 g_total=0.7550 1.59 it/s
