step,epoch,loss,train_mse,train_ssim,val_mse,val_ssim,H_t_min,H_t_max,H_t_mean,H_t_binary_fraction,grad_norm_W,grad_norm_inverse,detector_min,detector_max,detector_mean,sigmoid_m
500,6,0.05454619228839874,0.020612791180610657,0.807387113571167,0.02224740336338679,0.7974387081464132,3.0866855577518976e-23,1.0,0.49965739250183105,0.8254203796386719,0.0,0.17010300408997667,-0.0009071160457096994,37.985897064208984,4.150674343109131,1.0
1000,11,0.0445876307785511,0.014745463617146015,0.8546949625015259,0.015935455193122228,0.8459287228584289,3.0866855577518976e-23,1.0,0.49965739250183105,0.8254203796386719,0.0,0.1329521290212257,-0.0007963991956785321,37.804866790771484,4.19590425491333,1.0
1500,16,0.04144999757409096,0.012688416987657547,0.8727277517318726,0.014105824100474517,0.8620402979850769,3.0866855577518976e-23,1.0,0.49965739250183105,0.8254203796386719,0.0,0.14229473438306459,-0.0008993127848953009,38.86091995239258,4.190026760101318,1.0
2000,22,0.03961312025785446,0.012074824422597885,0.8809705972671509,0.013338861224551996,0.8714226894378662,3.0866855577518976e-23,1.0,0.49965739250183105,0.8254203796386719,0.0,0.17555594764303437,-0.0007281818543560803,37.49850082397461,4.159703254699707,1.0
2500,27,0.03852751851081848,0.01147671788930893,0.88443922996521,0.012706595840553442,0.8749094033241271,3.0866855577518976e-23,1.0,0.49965739250183105,0.8254203796386719,0.0,0.14955518714397878,-0.0008631687960587442,39.32667922973633,4.152234077453613,1.0
3000,32,0.03725225850939751,0.011047491803765297,0.8878204822540283,0.012189420407017072,0.8787701058387757,3.0866855577518976e-23,1.0,0.49965739250183105,0.8254203796386719,0.0,0.08459347881890086,-0.0007334526744671166,37.78211212158203,4.128798961639404,1.0
3500,38,0.03611455857753754,0.010631830431520939,0.8947906494140625,0.012170128193994363,0.8819315025011698,3.0866855577518976e-23,1.0,0.49965739250183105,0.8254203796386719,0.0,0.08472586348250574,-0.0007069512503221631,38.641868591308594,4.205477714538574,1.0
4000,43,0.03652939200401306,0.010251587256789207,0.8965358734130859,0.011570365851124127,0.8858522667884826,3.0866855577518976e-23,1.0,0.49965739250183105,0.8254203796386719,0.0,0.1569452814213826,-0.0007846652297303081,39.08559036254883,4.203589916229248,1.0
4500,48,0.03609708696603775,0.010275598615407944,0.8989729881286621,0.011417626693844796,0.8895233991940816,3.0866855577518976e-23,1.0,0.49965739250183105,0.8254203796386719,0.0,0.1445338390271952,-0.0007900164928287268,39.176937103271484,4.20274019241333,1.0
5000,54,0.03488257899880409,0.009823184460401535,0.8991100788116455,0.01122478328148524,0.8882200323740641,3.0866855577518976e-23,1.0,0.49965739250183105,0.8254203796386719,0.0,0.09579089456861616,-0.0007259764242917299,37.40428161621094,4.230353355407715,1.0
5500,59,0.034374989569187164,0.009549281559884548,0.9028773307800293,0.01096197783946991,0.8917078102429707,3.0866855577518976e-23,1.0,0.49965739250183105,0.8254203796386719,0.0,0.07977226150536675,-0.0009984904900193214,38.646602630615234,4.146062850952148,1.0
6000,64,0.03428192436695099,0.009506854228675365,0.9021906852722168,0.01085317240903775,0.8927409744262695,3.0866855577518976e-23,1.0,0.49965739250183105,0.8254203796386719,0.0,0.07692911627667585,-0.000871433992870152,37.61953353881836,4.203248977661133,1.0
6500,70,0.03355221822857857,0.009219689294695854,0.9059415459632874,0.010820733892420928,0.8930701754887899,3.0866855577518976e-23,1.0,0.49965739250183105,0.8254203796386719,0.0,0.10097309298917462,-0.0008297470631077886,37.07407760620117,4.172054767608643,1.0
7000,75,0.03411996737122536,0.009899024851620197,0.8965240716934204,0.011435028252502283,0.8845564680099487,3.0866855577518976e-23,1.0,0.49965739250183105,0.8254203796386719,0.0,0.1409315805514687,-0.0009260074002668262,36.68021774291992,4.169461727142334,1.0
