step,phase,m,loss,train_mse,val_mse,val_ssim,grad_norm_illum,grad_norm_upsampler,grad_norm_recon,H_t_min,H_t_max,H_t_mean,H_t_std,H_t_binary_fraction,illum_l2,illum_delta
200,inverse_warmup,1.0,0.10297489166259766,0.05886566638946533,0.0573489355246226,0.6092650829950969,0.0,0.1467554321338519,0.7870538756907157,0.010045974515378475,0.990330696105957,0.4999280571937561,0.20856866240501404,0.028331756591796875,131365.10976663476,0.0
400,inverse_warmup,1.0,0.08636300265789032,0.04414060339331627,0.0471778304874897,0.639713662147522,0.0,0.11720266333850836,0.3298711942025231,0.010045974515378475,0.990330696105957,0.4999280571937561,0.20856866240501404,0.028331756591796875,131365.10976663476,0.0
600,inverse_warmup,1.0,0.0809718519449234,0.0397878959774971,0.04166674765944481,0.6760814258257548,0.0,0.09761531011399611,0.11833315767750917,0.010045974515378475,0.990330696105957,0.4999280571937561,0.20856866240501404,0.028331756591796875,131365.10976663476,0.0
800,inverse_warmup,1.0,0.07987377792596817,0.03813959285616875,0.03880893073479334,0.6859395971298218,0.0,0.15759415781389907,0.16661088429439916,0.010045974515378475,0.990330696105957,0.4999280571937561,0.20856866240501404,0.028331756591796875,131365.10976663476,0.0
1000,inverse_warmup,1.0,0.07907942682504654,0.03800036758184433,0.038541593541701634,0.6905139153798421,0.0,0.13882496690120763,0.11603362985621365,0.010045974515378475,0.990330696105957,0.4999280571937561,0.20856866240501404,0.028331756591796875,131365.10976663476,0.0
1200,inverse_warmup,1.0,0.07840646803379059,0.03711547330021858,0.037206672877073285,0.6959543557167053,0.0,0.17412533615930884,0.14917922464323322,0.010045974515378475,0.990330696105957,0.4999280571937561,0.20856866240501404,0.028331756591796875,131365.10976663476,0.0
1400,inverse_warmup,1.0,0.07819932699203491,0.03724858909845352,0.03674831259250641,0.6952687431971232,0.0,0.0782177184001485,0.0810154589195425,0.010045974515378475,0.990330696105957,0.4999280571937561,0.20856866240501404,0.028331756591796875,131365.10976663476,0.0
1600,joint_soft,1.0,0.07860849797725677,0.037752434611320496,0.037711419850587846,0.699389284769694,1.6574213645981217e-07,0.21150268948411854,0.15551030387209672,0.010031985118985176,0.9903169870376587,0.4999566674232483,0.2085178643465042,0.02831268310546875,131328.70175251106,36.40801412370638
1800,joint_soft,1.0,0.07743702083826065,0.037397269159555435,0.0373434242606163,0.6938132279713949,1.825524975629378e-07,0.11427694936104947,0.10370224793438083,0.009999126195907593,0.9902875423431396,0.5000090003013611,0.20842018723487854,0.028232574462890625,131259.02282129027,106.08694534449023
2000,joint_soft,1.0,0.07706178724765778,0.03690421208739281,0.03647045863668124,0.7026260070800782,2.0174420001239923e-07,0.14361114876931483,0.09824225605933896,0.00995991937816143,0.9902524948120117,0.50005704164505,0.20833228528499603,0.028171539306640625,131195.30137927958,169.80838735518046
