step,phase,m,loss,train_mse,val_mse,val_ssim,grad_norm_illum,grad_norm_upsampler,grad_norm_recon,H_t_min,H_t_max,H_t_mean,H_t_std,H_t_binary_fraction,illum_l2,illum_delta
200,inverse_warmup,1.0,0.1065245047211647,0.06214931979775429,0.058210029393434524,0.5583139403661093,0.0,0.0198488999158144,0.7148409962705647,0.010045968927443027,0.990330696105957,0.4999280869960785,0.20856866240501404,0.028331756591796875,513.144960025917,0.0
400,inverse_warmup,1.0,0.08756177127361298,0.04357337951660156,0.04507436990737915,0.6298472998936971,0.0,0.020421789959073067,0.12441420644729734,0.010045968927443027,0.990330696105957,0.4999280869960785,0.20856866240501404,0.028331756591796875,513.144960025917,0.0
600,inverse_warmup,1.0,0.078126460313797,0.03724425286054611,0.0377574494878451,0.6784077606201172,0.0,0.028049256652593613,0.11890562703509827,0.010045968927443027,0.990330696105957,0.4999280869960785,0.20856866240501404,0.028331756591796875,513.144960025917,0.0
800,inverse_warmup,1.0,0.07322312891483307,0.03405316174030304,0.03451677682002385,0.7078176633516947,0.0,0.03473760932683945,0.19608812595598046,0.010045968927443027,0.990330696105957,0.4999280869960785,0.20856866240501404,0.028331756591796875,513.144960025917,0.0
1000,inverse_warmup,1.0,0.07054679095745087,0.031615979969501495,0.03250196587045987,0.7214146574338277,0.0,0.0336005836725235,0.20284784835433628,0.010045968927443027,0.990330696105957,0.4999280869960785,0.20856866240501404,0.028331756591796875,513.144960025917,0.0
1200,inverse_warmup,1.0,0.06740213185548782,0.029885467141866684,0.030742084418733915,0.7371756000518799,0.0,0.03697563707828522,0.10944460612987114,0.010045968927443027,0.990330696105957,0.4999280869960785,0.20856866240501404,0.028331756591796875,513.144960025917,0.0
1400,inverse_warmup,1.0,0.06525035202503204,0.028696775436401367,0.02895982154707114,0.747589484055837,0.0,0.03672116622328758,0.12125083985016624,0.010045968927443027,0.990330696105957,0.4999280869960785,0.20856866240501404,0.028331756591796875,513.144960025917,0.0
1600,joint_soft,1.0,0.044223811477422714,0.015359319746494293,0.014988477354248365,0.858200556119283,1.059048099705251e-05,0.01019122451543808,0.04835708673694125,8.306022891702014e-07,0.9999991655349731,0.5159561634063721,0.4870184063911438,0.9635696411132812,3317.951777829208,2804.806817803291
1800,joint_soft,1.0,0.03599761798977852,0.010844630189239979,0.01097965620458126,0.8984025430679321,7.034062946331687e-06,0.010856973938643932,0.09391125676372833,1.1425759005589953e-08,1.0,0.5180613994598389,0.49289509654045105,0.9858551025390625,3492.080468717753,2978.935508691836
2000,joint_soft,1.0,0.03349379077553749,0.009271252900362015,0.009479663029313088,0.9087135979334513,5.834366675117053e-06,0.010831661522388458,0.1046988080744151,1.2691085959914972e-09,1.0,0.5172938108444214,0.49475979804992676,0.9911537170410156,3626.529194698424,3113.384234672507
2200,joint_soft,1.0,0.03156974911689758,0.008399272337555885,0.008689023243884245,0.9195336656570434,4.968331722920993e-06,0.010833618231117725,0.1047329506002182,3.124764891282439e-10,1.0,0.5160465240478516,0.49587610363960266,0.9941368103027344,3748.1731550183217,3235.0281949924047
2400,joint_soft,1.0,0.03231361508369446,0.009005822241306305,0.010403361188868681,0.8999080023765564,4.310598342271987e-06,0.010876759886741638,0.11066130202724253,4.92181642663958e-11,1.0,0.5152158141136169,0.49665337800979614,0.9956588745117188,3868.044725697985,3354.899765672068
2600,joint_soft,1.0,0.03001336380839348,0.007828203961253166,0.008154609384636084,0.9210434568723043,3.6382032249093754e-06,0.010927310213446617,0.11345724695143995,4.5608093690585605e-11,1.0,0.5144139528274536,0.49720409512519836,0.9969978332519531,3975.4720474429196,3462.3270874170025
2800,joint_soft,1.0,0.029456522315740585,0.007456975057721138,0.007683097779750824,0.9279299904505411,3.4461352242942667e-06,0.01067996397614479,0.10238739450402419,2.199794599949678e-12,1.0,0.5140327215194702,0.49761664867401123,0.9976806640625,4078.382767715654,3565.237807689737
3000,joint_soft,1.0,0.029641123488545418,0.007771340198814869,0.007532591798653205,0.9305959223111471,3.0511482691508718e-06,0.010744658298790455,0.07159939393272327,2.199794599949678e-12,1.0,0.5135601758956909,0.49793317914009094,0.9982872009277344,4173.579758432801,3660.434798406884
3200,joint_soft,1.0,0.028407907113432884,0.007012609858065844,0.007503940778474013,0.9319675046602885,2.7462047000881284e-06,0.010547647252678871,0.07106900093615318,4.096607764386001e-13,1.0,0.5133649110794067,0.4981512129306793,0.9985694885253906,4260.397164584541,3747.2522045586243
3400,joint_soft,1.0,0.028419025242328644,0.006966422311961651,0.0072995841999848685,0.9317474177678426,2.6751627046905924e-06,0.010202067904174328,0.0712575670773167,4.0893471334874087e-13,1.0,0.5129991769790649,0.4983310103416443,0.99871826171875,4343.557988561912,3830.4130285359947
3600,joint_soft,1.0,0.027586447075009346,0.006665936671197414,0.007069759825865427,0.9337041451136271,2.0783952550118556e-06,0.009819507598876953,0.0845624394751712,4.0893471334874087e-13,1.0,0.5129090547561646,0.4985089600086212,0.9990501403808594,4420.251802782281,3907.1068427563637
3800,joint_soft,1.0,0.02792540192604065,0.006720233708620071,0.007020867439607779,0.9351332213083903,2.2305409856926417e-06,0.010020311921834946,0.094504125884358,4.0893471334874087e-13,1.0,0.5126520395278931,0.4985947012901306,0.9989395141601562,4490.008463243694,3976.8635032177767
4000,joint_soft,1.0,0.027362406253814697,0.006659181788563728,0.0069402591437101365,0.9355090638796488,2.3139064069255255e-06,0.00966720376163721,0.048608734001118974,4.0893471334874087e-13,1.0,0.512481689453125,0.49872705340385437,0.9992256164550781,4557.833695956885,4044.688735930968
4200,joint_soft,1.0,0.027632415294647217,0.0067698466591537,0.0068712632432579995,0.9353883072535197,1.8666770529307541e-06,0.009548445232212543,0.0982383644498375,3.547164461031177e-13,1.0,0.5124224424362183,0.49883008003234863,0.99932861328125,4621.805707729393,4108.660747703476
4400,joint_soft,1.0,0.027439463883638382,0.006608935538679361,0.006864529264469941,0.9374139405886333,1.7426339127268875e-06,0.009685246273875237,0.0405776587735245,3.547164461031177e-13,1.0,0.5124030113220215,0.4989253580570221,0.9994735717773438,4681.828488955997,4168.68352893008
4600,joint_soft,1.0,0.02678868919610977,0.00650210352614522,0.006739581962426504,0.9369427660306294,1.7052429939212743e-06,0.008993154391646385,0.05862625965668487,1.5496562637707517e-13,1.0,0.5123633146286011,0.49898120760917664,0.999481201171875,4737.220493073972,4224.075533048055
4800,joint_soft,1.0,0.026517529040575027,0.006309502758085728,0.0068907557018101214,0.936812309106191,1.4836865602774196e-06,0.009153077378869057,0.06903656856928314,1.5496562637707517e-13,1.0,0.5122717618942261,0.49904078245162964,0.9995460510253906,4790.097702552632,4276.952742526715
5000,joint_soft,1.0,0.026725977659225464,0.006288425996899605,0.006686176516115665,0.9389431564013163,1.662004137870099e-06,0.00914827175438404,0.11492430419743115,1.5496562637707517e-13,1.0,0.5121718645095825,0.4990907907485962,0.9995841979980469,4839.06933201003,4325.924371984112
5200,joint_soft,1.0,0.026312023401260376,0.006142632104456425,0.00660068191960454,0.9392990673383077,1.4461754744843347e-06,0.00884329155087471,0.05057246193253312,1.5496562637707517e-13,1.0,0.5121734142303467,0.49911603331565857,0.9995689392089844,4884.546242999446,4371.401282973529
5400,joint_soft,1.0,0.026749683544039726,0.006395382806658745,0.006670668320109447,0.9388829469680786,1.4013221516506746e-06,0.008897940628230572,0.06781712593496404,1.5496562637707517e-13,1.0,0.5121209621429443,0.4991779029369354,0.9997024536132812,4930.379904226448,4417.234944200531
5600,harden_m2,2.0,0.026765206828713417,0.006320802960544825,0.006590086417893569,0.9402005877494812,4.405742402013857e-07,0.008683314546942711,0.07962023598634299,2.4014348061598535e-26,1.0,0.5120785236358643,0.4998462498188019,0.9999847412109375,4957.532450725865,4444.387490699948
5800,harden_m2,2.0,0.02636832930147648,0.00614872295409441,0.006470535447200139,0.9401707483927408,3.94359432220881e-07,0.008419651538133621,0.04586354811305884,2.4014348061598535e-26,1.0,0.5120852589607239,0.49984654784202576,0.9999885559082031,4959.378590105821,4446.233630079903
6000,harden_m2,2.0,0.02636566385626793,0.006221177987754345,0.006590448696166277,0.9403869177500407,2.0140420531333803e-07,0.008394370786845684,0.07501993948662544,2.4014348061598535e-26,1.0,0.5120999813079834,0.4998472332954407,1.0,4961.417136262582,4448.2721762366655
6200,harden_m2,2.0,0.026042718440294266,0.00604508351534605,0.006406165019919475,0.941210145632426,3.251290934258577e-07,0.008062632754445076,0.06341623215034627,2.4014348061598535e-26,1.0,0.5121256113052368,0.49984651803970337,0.9999961853027344,4963.083517330733,4449.938557304817
6400,harden_m2,2.0,0.02562646009027958,0.005916176829487085,0.006404832532008489,0.9399621936480205,2.041121263118839e-07,0.008021711371839046,0.03661807460294942,2.4014348061598535e-26,1.0,0.5121181607246399,0.49984586238861084,0.9999961853027344,4964.273965042622,4451.1290050167045
6600,harden_m4,4.0,0.025700798258185387,0.006065583322197199,0.0064062958098948,0.9403991015752157,5.526997082228036e-09,0.007674893364310265,0.09213989175909246,0.0,1.0,0.5121002197265625,0.49985450506210327,1.0,4965.864275229439,4452.719315203522
6800,harden_m4,4.0,0.026310492306947708,0.006222273223102093,0.006551127428809801,0.9413076725006103,2.7124258394906064e-09,0.007953637279570103,0.056475494914268856,0.0,1.0,0.5121002197265625,0.49985450506210327,1.0,4965.935964146134,4452.791004120218
7000,harden_m4,4.0,0.025736793875694275,0.005959855392575264,0.0064873583788673085,0.939904917081197,4.4257145503934225e-08,0.0076980916783213615,0.053799397795560325,0.0,1.0,0.5121002197265625,0.4998544454574585,1.0,4965.9705999935195,4452.825639967603
7200,harden_m4,4.0,0.025908328592777252,0.006060401909053326,0.006422829308857521,0.9415285310745239,3.328502629074137e-08,0.007629967760294676,0.04344669970381008,0.0,1.0,0.5121002197265625,0.4998544454574585,1.0,4965.9762383644165,4452.831278338499
