stage,condition,metric,n_seeds,mean,std
patchmnist,A,test_mse,3,0.03631794733802478,0.00012121897464050393
patchmnist,A,test_ssim,3,0.7029476444456313,0.001320210358739333
patchmnist,A,best_val_mse,3,0.03602135017514229,0.00016262511971017196
patchmnist,A,best_train_mse,3,0.036099820087353386,0.000589290527329118
patchmnist,A,min_train_mse,3,0.03549334779381752,7.302843141670091e-05
patchmnist,A,final_train_mse,3,0.0359742609096898,0.0001432873490614113
patchmnist,B,test_mse,3,0.008226959571242334,0.002089767127893659
patchmnist,B,test_ssim,3,0.9226715024312337,0.017801008698925883
patchmnist,B,best_val_mse,3,0.008114258344802592,0.002062367008694803
patchmnist,B,best_train_mse,3,0.008102481563886007,0.0018197801774264856
patchmnist,B,min_train_mse,3,0.008072241054226955,0.0018614434159540468
patchmnist,B,final_train_mse,3,0.008138555235332913,0.0020338477074210264
patchmnist,C,test_mse,3,0.00680448245174355,4.6078150942683254e-05
patchmnist,C,test_ssim,3,0.9367124449412028,0.0012548131216887678
patchmnist,C,best_val_mse,3,0.006717728220340278,2.0376155505901964e-05
patchmnist,C,best_train_mse,3,0.006335947973032792,1.2838228464488274e-05
patchmnist,C,min_train_mse,3,0.006323825878401597,8.233921077253301e-06
patchmnist,C,final_train_mse,3,0.006235597492092185,2.319023275853137e-05
patchmnist,D,test_mse,3,0.006282337066200044,5.9359456584293315e-05
patchmnist,D,test_ssim,3,0.9421708642641703,0.00016627439169422832
patchmnist,D,best_val_mse,3,0.006192920797401005,6.383665210033383e-05
patchmnist,D,best_train_mse,3,0.005774548122038444,7.724608116727399e-05
patchmnist,D,min_train_mse,3,0.005722128786146641,3.420171965803917e-05
patchmnist,D,final_train_mse,3,0.005658171097437541,5.49165376962448e-05
upsampling,s128_n600_transpose_conv,test_mse,3,0.03864953159292539,0.0005533824077713216
upsampling,s128_n600_transpose_conv,test_ssim,3,0.6926247403886583,0.005360700420252792
upsampling,s128_n600_transpose_conv,best_val_mse,3,0.03875857926739587,0.0005552358908746934
upsampling,s128_n600_transpose_conv,final_val_mse,3,0.03976145609219869,0.0011264655257160667
upsampling,s128_n600_locality_aware,test_mse,3,0.01667436288462745,0.00045967320388945037
upsampling,s128_n600_locality_aware,test_ssim,3,0.8447777735392252,0.004196349870812197
upsampling,s128_n600_locality_aware,best_val_mse,3,0.01656115161875884,0.00041680722774502634
upsampling,s128_n600_locality_aware,final_val_mse,3,0.016693477229939566,0.0005132507332636123
upsampling,s128_n3000_transpose_conv,test_mse,3,0.0364241795208719,0.0004808138805044547
upsampling,s128_n3000_transpose_conv,test_ssim,3,0.7020679026709663,0.0011197725051199773
upsampling,s128_n3000_transpose_conv,best_val_mse,3,0.03640103883875741,0.000472427473389442
upsampling,s128_n3000_transpose_conv,final_val_mse,3,0.03683610897594028,0.0006244688784564449
upsampling,s128_n3000_locality_aware,test_mse,3,0.011906992125842307,0.00030214747258492503
upsampling,s128_n3000_locality_aware,test_ssim,3,0.8855930716726516,0.003506763972079728
upsampling,s128_n3000_locality_aware,best_val_mse,3,0.011862045477661821,0.00021753854693487296
upsampling,s128_n3000_locality_aware,final_val_mse,3,0.011915863489111264,0.00022463536866504597
upsampling,s128_n6000_transpose_conv,test_mse,3,0.036378645141919456,0.0008022132604025836
upsampling,s128_n6000_transpose_conv,test_ssim,3,0.7018393262757195,0.005710339564393302
upsampling,s128_n6000_transpose_conv,best_val_mse,3,0.036420964734421836,0.0008541156590591817
upsampling,s128_n6000_transpose_conv,final_val_mse,3,0.036716182245148554,0.0013494326339050272
upsampling,s128_n6000_locality_aware,test_mse,3,0.011610197295745214,0.0002176177358918652
upsampling,s128_n6000_locality_aware,test_ssim,3,0.8868520971934001,0.0016407872966266702
