job,paper_item,status,protocol
patchmnist/A_seed42,PatchMNIST A–D diagnostic (additional to the paper),completed,audited_legacy_soft_mask
patchmnist/B_seed42,PatchMNIST A–D diagnostic (additional to the paper),completed,audited_legacy_soft_mask
patchmnist/C_seed42,PatchMNIST A–D diagnostic (additional to the paper),completed,audited_legacy_soft_mask
patchmnist/D_seed42,PatchMNIST A–D diagnostic (additional to the paper),completed,audited_legacy_soft_mask
patchmnist/A_seed43,PatchMNIST A–D diagnostic (additional to the paper),completed,audited_legacy_soft_mask
patchmnist/B_seed43,PatchMNIST A–D diagnostic (additional to the paper),completed,audited_legacy_soft_mask
patchmnist/C_seed43,PatchMNIST A–D diagnostic (additional to the paper),completed,audited_legacy_soft_mask
patchmnist/D_seed43,PatchMNIST A–D diagnostic (additional to the paper),completed,audited_legacy_soft_mask
patchmnist/A_seed44,PatchMNIST A–D diagnostic (additional to the paper),completed,audited_legacy_soft_mask
patchmnist/B_seed44,PatchMNIST A–D diagnostic (additional to the paper),completed,audited_legacy_soft_mask
patchmnist/C_seed44,PatchMNIST A–D diagnostic (additional to the paper),completed,audited_legacy_soft_mask
patchmnist/D_seed44,PatchMNIST A–D diagnostic (additional to the paper),completed,audited_legacy_soft_mask
upsampling/s128_n600_transpose_conv_seed42,"Figure 5: upsamplers, image sizes and training set sizes",completed,audited_legacy_soft_mask
upsampling/s128_n600_locality_aware_seed42,"Figure 5: upsamplers, image sizes and training set sizes",completed,audited_legacy_soft_mask
upsampling/s128_n3000_transpose_conv_seed42,"Figure 5: upsamplers, image sizes and training set sizes",completed,audited_legacy_soft_mask
upsampling/s128_n3000_locality_aware_seed42,"Figure 5: upsamplers, image sizes and training set sizes",completed,audited_legacy_soft_mask
upsampling/s128_n6000_transpose_conv_seed42,"Figure 5: upsamplers, image sizes and training set sizes",completed,audited_legacy_soft_mask
upsampling/s128_n6000_locality_aware_seed42,"Figure 5: upsamplers, image sizes and training set sizes",completed,audited_legacy_soft_mask
upsampling/s256_n600_transpose_conv_seed42,"Figure 5: upsamplers, image sizes and training set sizes",completed,audited_legacy_soft_mask
upsampling/s256_n600_locality_aware_seed42,"Figure 5: upsamplers, image sizes and training set sizes",completed,audited_legacy_soft_mask
upsampling/s256_n3000_transpose_conv_seed42,"Figure 5: upsamplers, image sizes and training set sizes",completed,audited_legacy_soft_mask
upsampling/s256_n3000_locality_aware_seed42,"Figure 5: upsamplers, image sizes and training set sizes",completed,audited_legacy_soft_mask
upsampling/s256_n6000_transpose_conv_seed42,"Figure 5: upsamplers, image sizes and training set sizes",completed,audited_legacy_soft_mask
upsampling/s256_n6000_locality_aware_seed42,"Figure 5: upsamplers, image sizes and training set sizes",completed,audited_legacy_soft_mask
upsampling/s512_n600_transpose_conv_seed42,"Figure 5: upsamplers, image sizes and training set sizes",completed,audited_legacy_soft_mask
upsampling/s512_n600_locality_aware_seed42,"Figure 5: upsamplers, image sizes and training set sizes",completed,audited_legacy_soft_mask
upsampling/s512_n3000_transpose_conv_seed42,"Figure 5: upsamplers, image sizes and training set sizes",completed,audited_legacy_soft_mask
upsampling/s512_n3000_locality_aware_seed42,"Figure 5: upsamplers, image sizes and training set sizes",completed,audited_legacy_soft_mask
upsampling/s512_n6000_transpose_conv_seed42,"Figure 5: upsamplers, image sizes and training set sizes",completed,audited_legacy_soft_mask
upsampling/s512_n6000_locality_aware_seed42,"Figure 5: upsamplers, image sizes and training set sizes",completed,audited_legacy_soft_mask
upsampling/s128_n600_transpose_conv_seed43,"Figure 5: upsamplers, image sizes and training set sizes",completed,audited_legacy_soft_mask
upsampling/s128_n600_locality_aware_seed43,"Figure 5: upsamplers, image sizes and training set sizes",completed,audited_legacy_soft_mask
upsampling/s128_n3000_transpose_conv_seed43,"Figure 5: upsamplers, image sizes and training set sizes",completed,audited_legacy_soft_mask
upsampling/s128_n3000_locality_aware_seed43,"Figure 5: upsamplers, image sizes and training set sizes",completed,audited_legacy_soft_mask
upsampling/s128_n6000_transpose_conv_seed43,"Figure 5: upsamplers, image sizes and training set sizes",completed,audited_legacy_soft_mask
upsampling/s128_n6000_locality_aware_seed43,"Figure 5: upsamplers, image sizes and training set sizes",completed,audited_legacy_soft_mask
upsampling/s256_n600_transpose_conv_seed43,"Figure 5: upsamplers, image sizes and training set sizes",completed,audited_legacy_soft_mask
upsampling/s256_n600_locality_aware_seed43,"Figure 5: upsamplers, image sizes and training set sizes",completed,audited_legacy_soft_mask
upsampling/s256_n3000_transpose_conv_seed43,"Figure 5: upsamplers, image sizes and training set sizes",completed,audited_legacy_soft_mask
upsampling/s256_n3000_locality_aware_seed43,"Figure 5: upsamplers, image sizes and training set sizes",completed,audited_legacy_soft_mask
upsampling/s256_n6000_transpose_conv_seed43,"Figure 5: upsamplers, image sizes and training set sizes",completed,audited_legacy_soft_mask
upsampling/s256_n6000_locality_aware_seed43,"Figure 5: upsamplers, image sizes and training set sizes",completed,audited_legacy_soft_mask
upsampling/s512_n600_transpose_conv_seed43,"Figure 5: upsamplers, image sizes and training set sizes",completed,audited_legacy_soft_mask
upsampling/s512_n600_locality_aware_seed43,"Figure 5: upsamplers, image sizes and training set sizes",completed,audited_legacy_soft_mask
upsampling/s512_n3000_transpose_conv_seed43,"Figure 5: upsamplers, image sizes and training set sizes",completed,audited_legacy_soft_mask
upsampling/s512_n3000_locality_aware_seed43,"Figure 5: upsamplers, image sizes and training set sizes",completed,audited_legacy_soft_mask
upsampling/s512_n6000_transpose_conv_seed43,"Figure 5: upsamplers, image sizes and training set sizes",completed,audited_legacy_soft_mask
upsampling/s512_n6000_locality_aware_seed43,"Figure 5: upsamplers, image sizes and training set sizes",completed,audited_legacy_soft_mask
upsampling/s128_n600_transpose_conv_seed44,"Figure 5: upsamplers, image sizes and training set sizes",completed,audited_legacy_soft_mask
upsampling/s128_n600_locality_aware_seed44,"Figure 5: upsamplers, image sizes and training set sizes",completed,audited_legacy_soft_mask
upsampling/s128_n3000_transpose_conv_seed44,"Figure 5: upsamplers, image sizes and training set sizes",completed,audited_legacy_soft_mask
upsampling/s128_n3000_locality_aware_seed44,"Figure 5: upsamplers, image sizes and training set sizes",completed,audited_legacy_soft_mask
upsampling/s128_n6000_transpose_conv_seed44,"Figure 5: upsamplers, image sizes and training set sizes",completed,audited_legacy_soft_mask
upsampling/s128_n6000_locality_aware_seed44,"Figure 5: upsamplers, image sizes and training set sizes",completed,audited_legacy_soft_mask
upsampling/s256_n600_transpose_conv_seed44,"Figure 5: upsamplers, image sizes and training set sizes",completed,audited_legacy_soft_mask
upsampling/s256_n600_locality_aware_seed44,"Figure 5: upsamplers, image sizes and training set sizes",completed,audited_legacy_soft_mask
upsampling/s256_n3000_transpose_conv_seed44,"Figure 5: upsamplers, image sizes and training set sizes",completed,audited_legacy_soft_mask
upsampling/s256_n3000_locality_aware_seed44,"Figure 5: upsamplers, image sizes and training set sizes",completed,audited_legacy_soft_mask
upsampling/s256_n6000_transpose_conv_seed44,"Figure 5: upsamplers, image sizes and training set sizes",completed,audited_legacy_soft_mask
upsampling/s256_n6000_locality_aware_seed44,"Figure 5: upsamplers, image sizes and training set sizes",completed,audited_legacy_soft_mask
upsampling/s512_n600_transpose_conv_seed44,"Figure 5: upsamplers, image sizes and training set sizes",completed,audited_legacy_soft_mask
upsampling/s512_n600_locality_aware_seed44,"Figure 5: upsamplers, image sizes and training set sizes",completed,audited_legacy_soft_mask
upsampling/s512_n3000_transpose_conv_seed44,"Figure 5: upsamplers, image sizes and training set sizes",completed,audited_legacy_soft_mask
upsampling/s512_n3000_locality_aware_seed44,"Figure 5: upsamplers, image sizes and training set sizes",completed,audited_legacy_soft_mask
upsampling/s512_n6000_transpose_conv_seed44,"Figure 5: upsamplers, image sizes and training set sizes",completed,audited_legacy_soft_mask
upsampling/s512_n6000_locality_aware_seed44,"Figure 5: upsamplers, image sizes and training set sizes",completed,audited_legacy_soft_mask
noise/k10_sigma0_random_fixed_seed42,Table 1 / Figure 6: Poisson and read-noise grid,completed,audited_legacy_soft_mask
noise/k10_sigma0_learnable_frequency_seed42,Table 1 / Figure 6: Poisson and read-noise grid,completed,audited_legacy_soft_mask
noise/k10_sigma2.7_random_fixed_seed42,Table 1 / Figure 6: Poisson and read-noise grid,completed,audited_legacy_soft_mask
noise/k10_sigma2.7_learnable_frequency_seed42,Table 1 / Figure 6: Poisson and read-noise grid,completed,audited_legacy_soft_mask
noise/k10_sigma2_random_fixed_seed42,Table 1 / Figure 6: Poisson and read-noise grid,completed,audited_legacy_soft_mask
noise/k10_sigma2_learnable_frequency_seed42,Table 1 / Figure 6: Poisson and read-noise grid,completed,audited_legacy_soft_mask
noise/k10_sigma6_random_fixed_seed42,Table 1 / Figure 6: Poisson and read-noise grid,completed,audited_legacy_soft_mask
noise/k10_sigma6_learnable_frequency_seed42,Table 1 / Figure 6: Poisson and read-noise grid,completed,audited_legacy_soft_mask
noise/k10000_sigma0_random_fixed_seed42,Table 1 / Figure 6: Poisson and read-noise grid,completed,audited_legacy_soft_mask
noise/k10000_sigma0_learnable_frequency_seed42,Table 1 / Figure 6: Poisson and read-noise grid,completed,audited_legacy_soft_mask
noise/k10000_sigma2.7_random_fixed_seed42,Table 1 / Figure 6: Poisson and read-noise grid,completed,audited_legacy_soft_mask
noise/k10000_sigma2.7_learnable_frequency_seed42,Table 1 / Figure 6: Poisson and read-noise grid,completed,audited_legacy_soft_mask
noise/k10000_sigma2_random_fixed_seed42,Table 1 / Figure 6: Poisson and read-noise grid,completed,audited_legacy_soft_mask
noise/k10000_sigma2_learnable_frequency_seed42,Table 1 / Figure 6: Poisson and read-noise grid,completed,audited_legacy_soft_mask
noise/k10000_sigma6_random_fixed_seed42,Table 1 / Figure 6: Poisson and read-noise grid,completed,audited_legacy_soft_mask
