job,stage,condition,seed,metric,value,source
patchmnist/A_seed42,patchmnist,A,42,test_mse,0.03619467995564143,jobs/patchmnist/A_seed42/attempt_001/metrics/run_summary.json
patchmnist/A_seed42,patchmnist,A,42,test_ssim,0.7042355661392212,jobs/patchmnist/A_seed42/attempt_001/metrics/run_summary.json
patchmnist/A_seed42,patchmnist,A,42,best_val_mse,0.035838134586811066,jobs/patchmnist/A_seed42/attempt_001/metrics/run_summary.json
patchmnist/A_seed42,patchmnist,A,42,best_train_mse,0.03632029891014099,jobs/patchmnist/A_seed42/attempt_001/metrics/run_summary.json
patchmnist/A_seed42,patchmnist,A,42,min_train_mse,0.035574160516262054,jobs/patchmnist/A_seed42/attempt_001/metrics/run_summary.json
patchmnist/A_seed42,patchmnist,A,42,final_train_mse,0.0358149472673734,jobs/patchmnist/A_seed42/attempt_001/metrics/run_summary.json
patchmnist/B_seed42,patchmnist,B,42,test_mse,0.010460729477306207,jobs/patchmnist/B_seed42/attempt_001/metrics/run_summary.json
patchmnist/B_seed42,patchmnist,B,42,test_ssim,0.9038412830034892,jobs/patchmnist/B_seed42/attempt_001/metrics/run_summary.json
patchmnist/B_seed42,patchmnist,B,42,best_val_mse,0.010323577493429183,jobs/patchmnist/B_seed42/attempt_001/metrics/run_summary.json
patchmnist/B_seed42,patchmnist,B,42,best_train_mse,0.010048025287687778,jobs/patchmnist/B_seed42/attempt_001/metrics/run_summary.json
patchmnist/B_seed42,patchmnist,B,42,min_train_mse,0.010048025287687778,jobs/patchmnist/B_seed42/attempt_001/metrics/run_summary.json
patchmnist/B_seed42,patchmnist,B,42,final_train_mse,0.010311759198705356,jobs/patchmnist/B_seed42/attempt_001/metrics/run_summary.json
patchmnist/C_seed42,patchmnist,C,42,test_mse,0.00676654867331187,jobs/patchmnist/C_seed42/attempt_001/metrics/run_summary.json
patchmnist/C_seed42,patchmnist,C,42,test_ssim,0.9381527576446533,jobs/patchmnist/C_seed42/attempt_001/metrics/run_summary.json
patchmnist/C_seed42,patchmnist,C,42,best_val_mse,0.0067005555679400764,jobs/patchmnist/C_seed42/attempt_001/metrics/run_summary.json
patchmnist/C_seed42,patchmnist,C,42,best_train_mse,0.006327680312097073,jobs/patchmnist/C_seed42/attempt_001/metrics/run_summary.json
patchmnist/C_seed42,patchmnist,C,42,min_train_mse,0.006327680312097073,jobs/patchmnist/C_seed42/attempt_001/metrics/run_summary.json
patchmnist/C_seed42,patchmnist,C,42,final_train_mse,0.006233243808150292,jobs/patchmnist/C_seed42/attempt_001/metrics/run_summary.json
patchmnist/D_seed42,patchmnist,D,42,test_mse,0.0062733472747107345,jobs/patchmnist/D_seed42/attempt_001/metrics/run_summary.json
patchmnist/D_seed42,patchmnist,D,42,test_ssim,0.9421510060628255,jobs/patchmnist/D_seed42/attempt_001/metrics/run_summary.json
patchmnist/D_seed42,patchmnist,D,42,best_val_mse,0.00618065361926953,jobs/patchmnist/D_seed42/attempt_001/metrics/run_summary.json
patchmnist/D_seed42,patchmnist,D,42,best_train_mse,0.005686945281922817,jobs/patchmnist/D_seed42/attempt_001/metrics/run_summary.json
patchmnist/D_seed42,patchmnist,D,42,min_train_mse,0.005686945281922817,jobs/patchmnist/D_seed42/attempt_001/metrics/run_summary.json
patchmnist/D_seed42,patchmnist,D,42,final_train_mse,0.005663549518833558,jobs/patchmnist/D_seed42/attempt_001/metrics/run_summary.json
patchmnist/A_seed43,patchmnist,A,43,test_mse,0.03632215364774068,jobs/patchmnist/A_seed43/attempt_001/metrics/run_summary.json
patchmnist/A_seed43,patchmnist,A,43,test_ssim,0.7030100111961365,jobs/patchmnist/A_seed43/attempt_001/metrics/run_summary.json
patchmnist/A_seed43,patchmnist,A,43,best_val_mse,0.036077307363351185,jobs/patchmnist/A_seed43/attempt_001/metrics/run_summary.json
patchmnist/A_seed43,patchmnist,A,43,best_train_mse,0.03654707968235016,jobs/patchmnist/A_seed43/attempt_001/metrics/run_summary.json
patchmnist/A_seed43,patchmnist,A,43,min_train_mse,0.03547380119562149,jobs/patchmnist/A_seed43/attempt_001/metrics/run_summary.json
patchmnist/A_seed43,patchmnist,A,43,final_train_mse,0.036015244265397386,jobs/patchmnist/A_seed43/attempt_001/metrics/run_summary.json
patchmnist/B_seed43,patchmnist,B,43,test_mse,0.006319612314303716,jobs/patchmnist/B_seed43/attempt_001/metrics/run_summary.json
patchmnist/B_seed43,patchmnist,B,43,test_ssim,0.9392240513165792,jobs/patchmnist/B_seed43/attempt_001/metrics/run_summary.json
patchmnist/B_seed43,patchmnist,B,43,best_val_mse,0.006239832992355029,jobs/patchmnist/B_seed43/attempt_001/metrics/run_summary.json
patchmnist/B_seed43,patchmnist,B,43,best_train_mse,0.006442145444452763,jobs/patchmnist/B_seed43/attempt_001/metrics/run_summary.json
patchmnist/B_seed43,patchmnist,B,43,min_train_mse,0.006351423915475607,jobs/patchmnist/B_seed43/attempt_001/metrics/run_summary.json
patchmnist/B_seed43,patchmnist,B,43,final_train_mse,0.006280963696539402,jobs/patchmnist/B_seed43/attempt_001/metrics/run_summary.json
patchmnist/C_seed43,patchmnist,C,43,test_mse,0.006855759824315707,jobs/patchmnist/C_seed43/attempt_001/metrics/run_summary.json
patchmnist/C_seed43,patchmnist,C,43,test_ssim,0.9358556121190389,jobs/patchmnist/C_seed43/attempt_001/metrics/run_summary.json
patchmnist/C_seed43,patchmnist,C,43,best_val_mse,0.006740243391444286,jobs/patchmnist/C_seed43/attempt_001/metrics/run_summary.json
patchmnist/C_seed43,patchmnist,C,43,best_train_mse,0.006350737996399403,jobs/patchmnist/C_seed43/attempt_001/metrics/run_summary.json
patchmnist/C_seed43,patchmnist,C,43,min_train_mse,0.006314371712505817,jobs/patchmnist/C_seed43/attempt_001/metrics/run_summary.json
patchmnist/C_seed43,patchmnist,C,43,final_train_mse,0.006259874810775121,jobs/patchmnist/C_seed43/attempt_001/metrics/run_summary.json
patchmnist/D_seed43,patchmnist,D,43,test_mse,0.006345678651084503,jobs/patchmnist/D_seed43/attempt_001/metrics/run_summary.json
patchmnist/D_seed43,patchmnist,D,43,test_ssim,0.9420154107411702,jobs/patchmnist/D_seed43/attempt_001/metrics/run_summary.json
patchmnist/D_seed43,patchmnist,D,43,best_val_mse,0.006262000835190217,jobs/patchmnist/D_seed43/attempt_001/metrics/run_summary.json
patchmnist/D_seed43,patchmnist,D,43,best_train_mse,0.005803814623504877,jobs/patchmnist/D_seed43/attempt_001/metrics/run_summary.json
patchmnist/D_seed43,patchmnist,D,43,min_train_mse,0.005755255930125713,jobs/patchmnist/D_seed43/attempt_001/metrics/run_summary.json
patchmnist/D_seed43,patchmnist,D,43,final_train_mse,0.005710200535754363,jobs/patchmnist/D_seed43/attempt_001/metrics/run_summary.json
patchmnist/A_seed44,patchmnist,A,44,test_mse,0.036437008410692216,jobs/patchmnist/A_seed44/attempt_001/metrics/run_summary.json
patchmnist/A_seed44,patchmnist,A,44,test_ssim,0.701597356001536,jobs/patchmnist/A_seed44/attempt_001/metrics/run_summary.json
patchmnist/A_seed44,patchmnist,A,44,best_val_mse,0.03614860857526461,jobs/patchmnist/A_seed44/attempt_001/metrics/run_summary.json
